Applicant Name,Date Pre-App or  SUPP Received,Project Description,Applied for  Project  Amount,City/Town,County,Project Approved  (Yes or No),Project Award  Date (When  Grant is signed,Funded  Portion,Principal  Forgiveness  and/or Grant,Unfunded/Mat ch Portion
"Autaugaville, Town of",7/6/2022,Tank Rehab & Meter Replacement,"$850,000",Autaugaville,Autauga,,1/0/1900,$0,$0,$0
Marbury Water System,3/31/2022,Water System Improvements - Lead,"$16,900,000",Marbury,Autauga,,1/0/1900,$0,$0,$0
Prattville Water Works Board,2/1/2022,Water System Improvements,"$14,700,700",Prattville,Autauga,,1/0/1900,$0,$0,$0
Belforest Water System,2/1/2022,Improve Service by Replacement of Water Main along County  Road 13 and new Water Well,"$9,608,198",Daphne,Baldwin,,1/0/1900,$0,$0,$0
"Daphne, The Utilities Board of the City  of(Daphne Utilities)",2/1/2022,Various Water System Improvements,"$34,000,000",Daphne,Baldwin,,1/0/1900,$0,$0,$0
"East Central Baldwin County Water, Sewer, and  FPA",1/0/1900,2019 or 2020 Supplemental,"$238,794",Robertsdale,Baldwin,Yes,1/0/1900,"$238,794","$238,794",$0
"East Central Baldwin County Water, Sewer, and  FPA",1/26/2022,Water System Improvements,"$415,600",Robertsdale,Baldwin,,1/0/1900,$0,$0,$0
"Fairhope, City of",3/29/2022,CR 32 Water Main Extension Project,"$11,200,000",Fairhope,Baldwin,,1/0/1900,$0,$0,$0
"Foley, Utilities Board of the City of (DBA Riviera  Utilities)",4/1/2022,Water System Improvements,"$6,364,500",Foley,Baldwin,,1/0/1900,$0,$0,$0
"Loxley, Town of",2/1/2022,Water System Capacity Improvement,"$5,489,000",Loxley,Baldwin,,1/0/1900,$0,$0,$0
North Baldwin Utilities,3/30/2022,New Water Extension Durban Fork and Dogwood Fork Roads  (providing service to citizens with improper private wells),"$743,570",Bay Minette,Baldwin,,1/0/1900,$0,$0,$0
North Baldwin Utilities,3/31/2022,Water Line Extensions,"$1,379,840",Bay Minette,Baldwin,,1/0/1900,$0,$0,$0
North Baldwin Utilities,3/31/2022,Water Tower Improvements,"$6,000,000",Bay Minette,Baldwin,,1/0/1900,$0,$0,$0
"Orange Beach Water, Sewer & Fire Protection  Authority",2/1/2022,Booster Station Replacement,"$2,009,500",Orange Beach,Baldwin,,1/0/1900,$0,$0,$0
"Perdido Bay Water, Sewer, and Fire Protection  District",1/31/2022,Water System Improvements,"$1,708,000",Elberta,Baldwin,,1/0/1900,$0,$0,$0
"Robertsdale, City of",2/1/2022,Robertsdale Water Expansion,"$1,911,407",Robertsdale,Baldwin,,1/0/1900,$0,$0,$0
"Silverhill, Town of",1/27/2022,Elevated Storage Tank,"$1,867,250",Silver Hill,Baldwin,,1/0/1900,$0,$0,$0
"Summerdale, Town of",1/5/2022,AMI Meter Conversion,"$823,575",Summerdale,Baldwin,,1/0/1900,$0,$0,$0
"Summerdale, Town of",1/25/2022,Elevated Storage Tank,"$2,090,850",Summerdale,Baldwin,,1/0/1900,$0,$0,$0
White House Water System,1/28/2022,Water System Improvements,"$4,944,000",Bay Minette,Baldwin,Yes,1/0/1900,"$4,944,000","$1,648,000","$3,296,000"
AL Department of Conservation and Natural  Resources (ADCNR),8/4/2022,"Lakepoint State Park Water Improvements in Eufaula, AL - AL  (Barbour County) Department of Conservation and Natural  Resources (ADCNR)","$4,005,000",Eufaula,Barbour,,1/0/1900,$0,$0,$0
Bakerhill Water Authority,1/24/2022,2022 Remote Read Metering,"$950,000",Eufaula,Barbour,,1/0/1900,$0,$0,$0
"Clio, City of",2/2/2022,Water System Improvements,"$668,600",Clio,Barbour,Yes,1/0/1900,"$668,600","$668,600",$0
