Rating,Applicant,SRF ID,Project,Project Cost,IUP Cost 2022
NEW PROJECTS,,,,,
547,BOSTON WATER AND  SEWER COMMISSION(H)(L)(LR),7185,Elimination of Lead Water Services in Boston,"$28,039,539 ","$15,000,000 "
546,LEICESTER WATER SUPPLY  * DISTRICT (PF),7051,Water System Interconnection with Worcester,"$4,800,000 ","$4,800,000 "
545,PALMER (PF) *,6958,Water Storage Tanks Mitigation and Restoration,"$1,500,000 ","$1,500,000 "
541,SCITUATE (S),6985,Stearn's Meadow Water Treatment Plant,"$35,000,000 ","$15,000,000 "
540,AMHERST (BC)(PF)(H)#,7036,Centennial Water Treatment Plant Replacement,"$14,000,000 ","$14,000,000 "
535,SOMERSET (PF),7134,Booster Pump Station & High Service Area Rehab,"$3,300,000 ","$3,300,000 "
535,NEW BEDFORD (PF)(L)(LR),7168,Lead Service Line Replacement Program,"$16,170,000 ","$5,000,000 "
529,BLANDFORD (PF) *,6975,Water Treatment Plant Upgrade,"$350,000 ","$350,000 "
529,CONCORD (S),7059,Nagog Pond Water Treatment Plant,"$28,037,000 ","$15,000,000 "
527,NORTH ATTLEBOROUGH  (PF)(H)(EC),6956,McKeon WTF PFAS Treatment Facility,"$9,250,000 ","$9,250,000 "
527,LOWELL (PF)(H)(L)(LR),7106,Lead Services Replacement Project,"$3,930,929 ","$3,930,929 "
525,MANSFIELD (PF)(H)(EC),7040,Walsh Well PFAS Treatment System and Well  Upgrades,"$6,740,000 ","$6,740,000 "
525,ABINGTON-ROCKLAND JOINT  WATER WORKS (PF)(EC),7152,Hannigan and Myers Avenue WTP PFAS Treatment,"$26,672,000 ","$15,000,000 "
525,BURLINGTON (H)(EC),7245,Mill Pond Water Treatment Plant - PFAS,"$15,000,000 ","$15,000,000 "
525,SHARON (EC),6942,Production Well 4 PFAS Treatment,"$15,800,000 ","$15,000,000 "
520,TOWNSEND (PF)(EC) *,6964,PFAS Water Treatment Improvements,"$14,090,000 ","$14,090,000 "
520,COHASSET (EC) *,7169,GAC Treatment and Chlorine System Upgrades,"$4,035,000 ","$4,035,000 "
519,EASTHAM (BC)(PF) *,7047,Eastham Water System - Phase 2E,"$15,624,375 ","$15,000,000 "
517,SUDBURY (H)(EC),7156,Raymond Road Water Treatment Plant PFAS  Treatment,"$6,438,600 ","$6,438,600 "
516,HOPEDALE (PF)(EC) *,7201,Greene Street WTP PFAS Treatment,"$3,523,100 ","$3,523,100 "
516,BARNSTABLE FIRE DISTRICT  * (PF)(H)(EC),7128,Water Filtration Plant Construction - Wells 2 & 5,"$16,350,000 ","$15,000,000 "
514,MEDWAY (H)(S) *,7196,Medway - Populatic St. Water Treatment Plant,"$21,412,000 ","$15,000,000 "
513,NANTUCKET (H)(EC),7011,Water System Expansion West of Nantucket Airport,"$7,800,000 ","$7,800,000 "
449,NEW BEDFORD (PF)(S)#,7172,Quittacas Water Treatment Plant Upgrades,"$23,637,500 ","$5,000,000 "
445,NEW BEDFORD (PF),7173,Highway Bridge Crossing Replacement Project,"$6,300,000 ","$5,000,000 "
444,FITCHBURG (PF),7001,Oak Hill Water Storage Tank Replacement,"$2,750,000 ","$2,750,000 "
443,SPRINGFIELD WATER AND  SEWER COMMISSION (PF),6998,42 inch Raw Water Conduit Repair,"$7,908,700 ","$7,908,700 "
440,TAUNTON (PF)(H),7179,Assawompset Pumping Station Improvements,"$1,220,000 ","$1,220,000 "
439,FALL RIVER (PF)(H),7093,WTP Redundant Pipeline,"$4,647,500 ","$4,647,500 "
436,BROCKTON (PF)(H),7189,Transmission Main Replacement Project,"$11,000,000 ","$11,000,000 "
432,LOWELL (PF)(H),6957,Lowell High Pressure Zone Interconnection,"$4,435,000 ","$4,435,000 "
430,FALL RIVER (PF)(H),6988,Wilson Road Booster Pumping Station,"$2,167,000 ","$2,167,000 "
