System Name,MDH 2023 PPL Rank,MDH 2023 PPL Points,Project Description,Project Number,Population,Est. Const Start,Estimated Project Cost,Estimated DWRF Loan,Estimated DWRF Lead Service Line Replacement Principal Forgiveness NOT FINAL          (1),Estimated DWRF Emerging Contaminant Principal Forgiveness NOT FINAL          (2),Estimated DWRF Disadvantgd Community Principal Forgiveness NOT FINAL          (3),Estimated WIF Grant           NOT FINAL     (4),Other Funds (5),Status,
Princeton,182,10,Other - LSL Replacement,1480008-8,"4,636",May-23,"600,000",eligible,eligible, 	-   , 	-   , 	-   , 	-   ,"Part A5,LSL",
Sebeka,192,10,Other - LSL Replacement,1800002-15,777,Jun-23,"49,800",eligible,eligible, 	-   , 	-   , 	-   , 	-   ,"Part A5,LSL",
Hibbing,279,10,Other - LSL Replacement,1690022-9,"15,923",Jan-23,"500,000",eligible,eligible, 	-   , 	-   , 	-   , 	-   ,"Part A5,LSL",
International Falls,281,10,Other - LSL Replacement,1360002-2,"5,816",Jun-23,"970,000",eligible,eligible, 	-   , 	-   , 	-   , 	-   ,"Part A5,LSL",
Saint Cloud,310,10,Other - LSL Replacement Wilson Ave,1730027-10,"40,112",Apr-23,"364,000",eligible,eligible, 	-   , 	-   , 	-   , 	-   ,"Part A5,LSL",
Saint Cloud,311,10,Other - LSL Replacement Cooper Avenue,1730027-11,"40,112",Apr-23,"378,000",eligible,eligible, 	-   , 	-   , 	-   , 	-   ,"Part A5,LSL",
Saint Cloud,312,10,Other - LSL Replacement Germain St,1730027-12,"40,112",Apr-23,"56,000",eligible,eligible, 	-   , 	-   , 	-   , 	-   ,"Part A5,LSL",
Lewisville ,330,10,Other - LSL Replacement,1830003-8,333,May-23,"65,250",eligible,eligible, 	-   , 	-   , 	-   , 	-   ,"Part A5,LSL",
Sauk Rapids,352,10,Other - LSL Repl Along Division St. ,1050004-5,"13,926",May-23,"354,062",eligible,eligible, 	-   , 	-   , 	-   , 	-   ,"Part A5,LSL",
Duluth,368,10,Other - LSL Repl - Phase  1,1690011-12,"85,915",May-23,"2,500,000",eligible,eligible, 	-   , 	-   , 	-   , 	-   ,"Part A5,LSL",
Duluth,369,10,Other - LSL Repl - Phase 2,1690011-14,"85,852",May-23,"2,500,000",eligible,eligible, 	-   , 	-   , 	-   , 	-   ,"Part A5,LSL",
Duluth,370,10,Other - LSL Repl - Phase 3,1690011-15,"85,852",May-23,"2,500,000",eligible,eligible, 	-   , 	-   , 	-   , 	-   ,"Part A5,LSL",
Duluth,371,10,Other - LSL Repl - Phase 4,1690011-16,"85,852",May-23,"2,500,000",eligible,eligible, 	-   , 	-   , 	-   , 	-   ,"Part A5,LSL",
Royalton,378,10,Other - LSL Replacement,1490006-8,"1,236",Jun-23,"300,000",eligible,eligible, 	-   , 	-   , 	-   , 	-   ,"Part A5,LSL",
Saint Paul Regional Water Services,428,10,Other - LSL Replacement Phase 3,1620026-25,"305,877",Apr-23,"15,000,000",eligible,eligible, 	-   , 	-   , 	-   , 	-   ,"Part A5,LSL",
Moorhead,441,10,Other - LSL Replacement No Watermain,1140008-21,"43,409",Jun-23,"937,500",eligible,eligible, 	-   , 	-   , 	-   , 	-   ,"Part A5,LSL",
Moorhead,444,10,Other - LSL Replacement Phase 1,1140008-9,"43,409",Jun-23,"500,000",eligible,eligible, 	-   , 	-   , 	-   , 	-   ,"Part A5,LSL",
South Saint Paul,451,10,Other - LSL Replacement,1190020-4,"20,132",Apr-23,"3,115,000",eligible,eligible, 	-   , 	-   , 	-   , 	-   ,"Part A5,LSL",
Minneapolis,458,10,Other - LSL Replacement Streets Year 1,1270024-14,"424,536",Apr-23,"3,338,500",eligible,eligible, 	-   , 	-   , 	-   , 	-   ,"Part A5,LSL",
Minneapolis,462,10,Other - LSL Repl Green Zones Year 1,1270024-18,"424,536",Apr-23,"2,730,000",eligible,eligible, 	-   , 	-   , 	-   , 	-   ,"Part A5,LSL",
Pine River,154,10,Treatment - Manganese New Plant,1110019-6,960,Apr-23,"3,297,000",eligible,,eligible, 	-   , 	-   , 	-   ,"Part A6,EC",
Clearbrook,186,10,Treatment - Manganese Plant & Well,1150003-3,671,Jun-23,"3,700,820",eligible,,eligible, 	-   , 	-   , 	-   ,"Part A6,EC",
Browns Valley,201,10,Treatment - Manganese Treatment Plant,1780001-3,595,May-23,"3,622,610",eligible,,eligible, 	-   , 	-   , 	-   ,"Part A6,EC",
Wabasso,331,10,Treatment - Manganese Plant Rehab,1640013-3,738,Jun-23,"1,310,000",eligible,,eligible, 	-   , 	-   , 	-   ,"Part A6,EC",
Atwater,381,10,Treatment - Manganese Treatment & Well,1340001-9,"1,141",Jul-23,"7,303,000",eligible,,eligible, 	-   , 	-   , 	-   ,"Part A6,EC",
Delavan ,412,10,Treatment - Manganese Plant Rehab,1220003-1,206,May-23,"566,460",eligible,,eligible, 	-   , 	-   , 	-   ,"Part A6,EC",
Montrose,470,10,Treatment - Manganese Plant,1860016-5,"3,505",Jul-23,"13,850,000",eligible,,eligible, 	-   , 	-   , 	-   ,"Part A6,EC",
Lino Lakes,539,7,Treatment - Manganese Treatment Plant,1020023-3,"21,748",Apr-23,"23,080,750",eligible,,eligible, 	-   , 	-   , 	-   ,"Part A6,EC",
Westbrook,1,30,Treatment - New RO Plant for Nitrite,1170005-2,900,Jun-23,"6,890,100","6,890,100", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Hayward,3,30,Treatment - Radium Treatment & New Well,1240012-1,227,May-23,"3,528,000","3,528,000", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Elysian ,8,30,Treatment - Radium Treatment with RO,1400003-2,703,Apr-23,"7,600,000","7,600,000", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Coates,11,17.5,Other - New System Supplied by Rosemount,1190035-1,25,Jul-23,"16,800,000","16,800,000", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Aurora,16,15,Consolidation - E Mesabi Joint Water Sys,1690002-6,"2,225",Jun-23,"24,400,000","4,400,000", 	-   , 	-   , 	-   , 	-   ,"10,000,000",Part B,
Lafayette ,21,15,Treatment - Plant Addition,1520002-1,545,Jun-23,"2,606,337","2,606,337", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Sebeka ,41,12,Watermain - Repl & Loop - Phase 1,1800002-10,777,Dec-99,"1,309,600","1,309,600", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Elbow Lake,46,12,Watermain - Replace & Loop 2nd,1260003-7,"1,200",Jun-23,"1,200,000","1,200,000", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Madison,53,12,Watermain - NW Area Loop,1370004-5,"1,647",May-23,"819,400","819,400", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
International Falls,59,12,Treatment - Plant Rehab,1360002-1,"5,816",Jun-23,"10,400,000","10,400,000", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Fertile,64,12,Watermain - Replace & Loop,1600008-6,931,Jun-23,"1,090,000","1,090,000", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Stewart,66,12,Watermain - Looping Improvements,1430009-7,610,Jun-23,"1,316,700","1,316,700", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Silver Bay,81,12,Treatment - Plant Improvements,1380003-11,"1,610",Mar-23,"8,200,000","8,200,000", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Browerville,90,12,Watermain - Replace & Loop,1770002-6,689,May-23,"1,609,600","1,609,600", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Le Sueur,91,12,Treatment - Plant Rehab,1400010-6,"4,028",Jun-23,"4,000,000","4,000,000", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
South Saint Paul,93,12,Treatment - New Radium/Mn/Fe Plant,1190020-3,"20,132",Apr-23,"9,612,412","9,612,412", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Clearwater,94,12,Source - New Wells & Wellhouse,1860025-5,"1,859",Jul-23,"2,895,000","3,187,000", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Northfield,98,12,Treatment - Gravity Filters and RO,1660010-2,"19,449",Jul-23,"33,450,000","16,725,000", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Harris,100,12,Watermain - Looping,1130005-5,"1,065",Jun-23,"541,600","541,600", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Harris,101,12,Source - New Well,1130005-6,"1,065",Jun-23,"600,000", 	-   , 	-   , 	-   , 	-   , 	-   ,"600,000",Part B,
Zimmerman,103,12,Treatment - New Pressure Filter Plant,1710006-8,"5,657",Jun-23,"5,900,000","5,900,000", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Zimmerman,112,11,Storage - New 0.4 MG Tower,1710006-9,"5,657",Jun-23,"2,100,000","2,100,000", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Appleton,160,10,Watermain - Replace 20 Blocks,1760001-3,"1,339",Jun-23,"6,000,000","6,000,000", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Eagle Bend,175,10,Watermain -Phase 5,1770004-8,519,May-23,"899,800","899,800", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Frazee,184,10,Watermain - Replace East Main Ave.,1030014-5,"1,335",May-23,"670,400","670,400", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Pipestone,219,10,"Watermain - Replace NE Area, Ph 2",1590005-9,"4,317",May-23,"2,400,000","2,400,000", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Henning,226,10,Watermain - Replace Cast Iron Main,1560016-9,806,Jun-24,"5,000,000","8,325,000", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Fergus Falls,239,10,"Storage - Replace 750,000 Gallon GSR",1560014-1,"13,754",Jul-23,"2,000,000","2,000,000", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Crosby,242.2,10,Watermain - Phase 3B Improvements,1180008-9b,"2,749",May-23,"2,384,800","2,384,800", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Braham,250,10,Watermain - Repl Various Areas,1300001-3,"1,800",May-23,"11,950,000","11,950,000", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Detroit Lakes,251,10,Watermain -Repl Campbell Ave/Linden Ln,1030005-5,"9,200",May-23,"1,600,000","1,600,000", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
