Rank,Project Sponsor,Project Number,PWSID,Project Name,Population,Building Cost,Support Cost,Estimated Cost,Cat A,Cat B,Cat C.a,Cat C.b,Cat C.c,Cat C.d,Cat D,Cat E,Rank Points,BIL Eligibility
1,Newark City,0714001-012,NJ0714001,Construction of a cover for the Cedar Grove Reservoir,285000,50000000,12730000.000,62730000.000,500,50,20,0,0,0,80,2.85,652.85,BIL (GEN)
2,Passaic Valley Water Commission,1605002-024,NJ1605002,Installation of a 2.0 MG storage tank next to existing  Verona storage tank,347052,2970000.0,1566800.0,4536800.0,500,0,20,0,0,0,80,3.47052,603.47052,BIL (GEN)
3,Passaic Valley Water Commission,1605002-014,NJ1605002,Levine Reservoir Water Storage Improvements - Phase 1,314900,17142000.0000,5186920.0,22328920.000000,500,0,20,0,0,0,80,3.149,603.149,BIL (GEN)
4,Newark City,0714001-020,NJ0714001,Phase-2 Lead Service Line Replacement (LSLR) Project,280139,12989172.0000000,418386.0,15693186.0000000,250,50,20,0,5,0,80,2.90139,407.90139,BIL (LSLR)
5,Trenton City,1111001-011,NJ1111001,Lead Service line replacement,391000,13000000.0,2900000.0,15900000.00,250,50,15,0,5,0,80,3.91,403.91,BIL (LSLR)
6,Newark City,0714001-019,NJ0714001,Phase-1 Lead Service Line Replacement (LSLR) Project,280139,6000000.0,1528353.0,7528353.0,250,50,15,0,5,0,80,2.80139,402.80139,BIL (LSLR)
8,Hopatcong Borough,1912001-009,NJ1912001,Installation of 48-inch pipe at wells to increase chlorine  contact time at nine wells,7900,750000.0,525000.0,1275000.0,350,0,15,0,0,0,0,0.079,365.079,NA
9,Newark City,0714001-021,NJ0714001,Phase 3-10 Lead Service Line Replacement (LSLR) Project,280000,120000000.0,100000.0,144929550.0000000,250,0,20,0,5,0,80,2.94274,357.94274,BIL (LSLR)
10,Passaic Valley Water Commission,1605002-026,NJ1605002,PVWC Lead Service Line Replacement,147000,1400000.0,578000.0,1978000.0,250,0,20,0,0,0,80,3.10121,353.10121,BIL (LSLR)
10,Passaic Valley Water Commission,1605002-002,NJ1605002,Lead Service Line Replacement in Main System,306707,21918500.00000,66200.0,26302200.00000,250,0,15,0,5,0,80,3.10121,353.10121,BIL (LSLR)
11,New Brunswick City,1214001-005,NJ1214001,Water Treatment Plant Improvements,50000,10435000.0000,3443100.0,13878100.00000,250,0,15,5,0,0,80,0.55,350.55,BIL (GEN)
12,Orange City,0717001-011,NJ0717001,Orange Twp PFOA in Well 8 Drinking Water System,30731,1200000.0,NA,1550000.0,250,0,0,5,5,0,80,0.30134,340.30134,BIL (EC)
12,Orange City,0717001-015,NJ0717001,Orange Twp |PFAS in Well 7 Drinking Water System,32000,1200000.0,200000.0,1440000.0,250,0,0,5,5,0,80,0.30134,340.30134,BIL (EC)
12,Orange City,0717001-013,NJ0717001,Orange Twp | Well 5 Rehabilitation Project,30731,500000.0,173000.0,700000.0,250,0,0,5,5,0,80,0.30134,340.30134,BIL (GEN)
13,Newark City,0714001-022,NJ0714001,PROCESS AND OPERATIONAL UPGRADES AT THE  PEQUANNOCK WATER TREATMENT PLANT,280000,18729224.0000000,191411.0,22551068.0000000,250,0,0,0,0,0,80,2.94274,332.94274,BIL (GEN)
