Project  Number2,District  Number,Project  Type,Applicant,Project Title /  Description,Class,Consolidation  Project,Population,Service  Connections,Degree of  Disadvantaged,Estimated/  Requested Project  Costs
"Loan Projects (Non-DAC or Large DAC) - Sort Order: Applicant, Project Number",,,,,,,,,,
3010001-003C,8,Construction,"Anaheim, City of",Groundwater Treatment Plants (PFAS),F,No,"358,000","64,168",Not  Disadvantaged,"$85,000,000 "
2010009-003C,11,Construction,Bakman Water Company,Rolling Hills Water Meter Project,D,No,727,333,Not  Disadvantaged,"$5,000,000 "
7844-110,5,Construction,California American Water Company,Calam Monterey Peninsula Water Supply  Project,B,No,"93,000","38,000",Not  Disadvantaged,"$279,200,000 "
5610024-001C,6,Construction,Casitas Municipal Water District,Ventura-Santa Barbara Counties Intertie  (ASADRA),F,No,"65,000","3,184",Not  Disadvantaged,"$15,520,270 "
3610064-008C,13,Construction,East Valley Water District,Plant 134 Disinfection Byproduct Mitigation,C,No,"68,000","21,827",Not  Disadvantaged,"$4,000,000 "
1210004-001C,1,Construction,"Eureka, City of",City of Eureka Energy and Water  Conservation Project,F,No,"32,800","9,949",Large Severely  Disadvantaged,"$5,000,000 "
3310016-009C,20,Construction,"Hemet, City of",Water Distribution System Improvements,F,No,"20,047","8,667",Not  Disadvantaged,"$16,992,000 "
3310021-021C,20,Construction,Jurupa Community Services District,Roger Teagarden Ion Exchange Plant  Improvements Project,E,No,"68,297","24,684",Not  Disadvantaged,"$20,000,000 "
3310021-020C,20,Construction,Jurupa Community Services District,Etiwanda Intervalley Water Quality & Water  Resiliency Project - Pipeline Phase I & II,F,No,"68,297","24,684",Not  Disadvantaged,"$66,180,000 "
3010017-002C,8,Construction,Laguna Beach County Water District,Rimrock Reservoir and Pump Station  Replacement Project,F,No,"25,000","8,554",Pending,"$9,600,000 "
1910204-006C,16,Construction,Los Angeles County Waterworks  District 29,Creek Crossing Repairs,F,No,"27,807","7,733",Not  Disadvantaged,"$1,945,000 "
1910204-002C,16,Construction,Los Angeles County Waterworks  District 29,Coastline Drive 12-inch Waterline  Replacement,F,No,"27,807","7,733",Not  Disadvantaged,"$2,025,000 "
1910204-003C,16,Construction,Los Angeles County Waterworks  District 29,Owen Tank Replacement,F,No,"27,807","7,733",Not  Disadvantaged,"$3,500,000 "
1910248-001C,16,Construction,Los Angeles County Waterworks  District 37,Acton Well 37-5,C,No,"4,282","1,377",Not  Disadvantaged,"$1,365,000 "
1910248-002P,16,Planning,Los Angeles County Waterworks  District 37,3220 Tank,F,No,"4,282","1,377",Not  Disadvantaged,"$653,000 "
1910067-057C,15,Construction,"Los Angeles, City of Acting by and  through the Department of Water &  Power",Manhattan Wellfield On-site Hypochlorite  Generation Station,D,No,"4,071,873","680,607",Not  Disadvantaged,"$8,091,000 "
1910067-061C,15,Construction,"Los Angeles, City of Acting by and  through the Department of Water &  Power",Mission Wells Ammoniation Station,D,No,"4,071,873","680,607",Not  Disadvantaged,"$25,000,000 "
1910067-056C,15,Construction,"Los Angeles, City of Acting by and  through the Department of Water &  Power",Century Trunk Line Unit 2,F,No,"4,071,873","680,607",Not  Disadvantaged,"$43,900,000 "
1910067-059C,15,Construction,"Los Angeles, City of Acting by and  through the Department of Water &  Power",City Trunk Line North Unit 1,F,No,"4,071,873","680,607",Not  Disadvantaged,"$112,800,000 "
1910067-055C,15,Construction,"Los Angeles, City of Acting by and  through the Department of Water &  Power",Fairmont Sedimentation Plant,F,No,"4,071,873","680,607",Not  Disadvantaged,"$524,700,000 "
1910079-001P,22,Planning,"Lynwood, City of",Well 19 Improvement Project,F,No,"73,212","9,035",Large  Disadvantaged,"$100,000 "
2000865-001P,11,Planning,"Madera, County of (MD#58 Sierra  Highlands)",MD-58 Sierra Highlands Water System  Improvements,E,No,75,25,Not  Disadvantaged,"$350,000 "
4210007-001C,6,Construction,Montecito Water District,MONTECITO WATER RESILIENCE  PROJECT (ASADRA),F,No,"13,500","4,529",Not  Disadvantaged,"$21,226,654 "
3310051-001P,20,Planning,Myoma Dunes Mutual Water  Company,Chromium-6 Treatment and Compliance,C,No,"6,600","2,408",Not  Disadvantaged,"$2,671,640 "
0103040-001P,4,Planning,Norris Canyon Property Owners  Association,NCPOA Water System Upgrades,B,No,100,19,Not  Disadvantaged,"$245,000 "
0110008-001C,4,Construction,"Pleasanton, City of",Per- and Polyfluroroalkyl (PFAS) Treatment  and Wells Rehabilitation Project,F,No,"83,000","22,000",Not  Disadvantaged,"$31,400,000 "
4810004-002C,4,Construction,"Rio Vista, City of",New Well near the High School,F,No,"7,376","3,274",Pending,"$2,700,000 "
4810004-001C,4,Construction,"Rio Vista, City of","New Well, Storage Tank and Booster  Station in Core",F,No,"7,376","3,274",Pending,"$9,300,000 "
3310044-015C,20,Construction,Rubidoux Community Services  District,RCSD Advanced Meter Infrastructure (AMI)  Project,F,No,"26,177","6,206",Not  Disadvantaged,"$3,000,000 "
3610039-053C,13,Construction,"San Bernardino, City of - Municipal  Water Department",Water Distribution Mainline Replacement,F,No,"173,359","42,301",Large  Disadvantaged,"$3,406,000 "
3710020-080C,14,Construction,"San Diego, City of",Otay 2nd Pipeline Steel Replacement  Phase 3,F,No,"1,266,731","271,962",Pending,"$19,420,000 "
3710020-082C,14,Construction,"San Diego, City of",El Monte Pipeline Number 2,F,No,"1,266,731","271,962",Pending,"$28,000,000 "
3710020-081C,14,Construction,"San Diego, City of",Lakeside Valve Station Replacement,F,No,"1,266,731","271,962",Not  Disadvantaged,"$36,000,000 "
3710020-083C,14,Construction,"San Diego, City of",La Jolla View Reservoir,F,No,"1,266,731","271,962",Pending,"$37,000,000 "
3710020-077C,14,Construction,"San Diego, City of",Morena Pipeline,F,No,"1,266,731","271,962",Not  Disadvantaged,"$38,180,000 "
3710020-079C,14,Construction,"San Diego, City of",Alvarado 2nd Pipeline Extension,F,No,"1,266,731","271,962",Not  Disadvantaged,"$86,800,000 "
Project  Number2,District  Number,Project  Type,Applicant,Project Title /  Description,Class,Consolidation  Project,Population,Service  Connections,Degree of  Disadvantaged,Estimated/  Requested Project  Costs
3510002-002C,5,Construction,"San Juan Bautista, City of",Water Main from West Hills Water  Treatment Plant,F,No,"1,720",694,Not  Disadvantaged,"$13,150,000 "
