Rank,Water System/Borrower,PWSID #,PopulationServed,Fundable Project Name,Project Description,Amount,"DAC? -  A, E, W, U",Total Points,Funding  Appropriation,Financing,Terms,Anticipated subsidy,Anticipated SubsidyAmount,Notes
1,Countryside Hamlet MHP, DE0000817,66, Upgrades and Interconnect,"Consolidation to  Artesian - See Adam Gould emails New distribution, fire","$745,470 ",,800, State, , ,State Grant,"$745,470 ",Anticipated to be Bypassed  for State Funds
2,Stage Village MHP, DE0000569,93,Water System  Improvements and Consolidation with Delmar,"hydrants, water meters  and connections to Delmar System Upgrades, add","$687,800 ",U,730, State, , ,State Grant,"$687,800 ",Anticipated to be Bypassed  for State Funds
3,Willow Tree  MHP,DE0000134,141,MHP Water System  Upgrades,storage Kitts  Hummock Road,"$1,700,000 ",U,680,Supplemental,,,Sup  DAC,"$1,700,000 ",
4,New Castle,DE0000634,5364,Hewlett-Janvier,Water Main  Replacement,"$1,490,000 ",W,670,Supplemental,,,Sup  DAC,"$1,490,000 ",
5, Delmar to Holly  Oak MHP,Delmar DE0000567 Holy Oak               DE0000568, 4500 210, Water Line Extension, Consolidation Holly  Oak MHP,"$1,100,000 ",,630, Base,2.00%, 20 years,Base Congres sional,"$981,120 ", 
6, Milton,DE0000629 ,3200, LSL replacement,"Carey, Walnut and  Mill Street Main Replacement and LSL  replacement","$1,330,000 ",,620, LSLR,2.00%, 20 years, ,$0 , 
6, Wilmington, DE0000663,107976, LSL Removal,Service line  improvements and LSL removal $22.5M  LSLR,"$22,500,000 ","E,W",620, LSLR, , ,94%  LSLR,"$12,875,792 ", 
7,Seaford,DE0000246,6699,Martin Farms LSL  Abatement,Abatement,"$2,072,149 ",,590,Corpus,2.00%,TBD,,$0 ,
8, Wilmington, DE0000663,107976,Raw Water Transmission Improvements,From Brandywine  Creek to either Porter or Hoopes,"$10,000,000 ","E,W",580,Supplemental, , ,Sup DAC,"$5,626,080 ", 
9,Lewes BPW,DE0000602,3000,Capes Cove Woolford Street LSL,Consolidation Capes Cove MHP,"$320,600 ",,560,Supplemental,2.00%,20 years,,$0 ,
