Loan Applicant,L17#,Project Description,Facility No.,Estimated Construction Start,Estimated Loan Amount,Disadvantaged Community Principal Forgiveness,Service Population,Loan Priority Score
LIMA,5738,"NEW WATER SOURCE, CONNECT TO CLAYTON CAMP POINT WATER COMMISSION",IL0010400,6/1/22,"$500,000","$250,000", 	125 ,460
ASSUMPTION,5867,NEW WTP BUILDING W/ FILTERS/SOFTENERS/NITRATE REMOVAL/AERATOR/CHEMICAL FEED,IL0210050,7/20/22,"$4,065,456","$1,250,000"," 	1,368 ",435
INDIAN CREEK HOA,5927,REPAINT WATER TOWER,IL1135250,11/21/22,"$300,000","$150,000", 	228 ,365
LASALLE,3780,TREATMENT PLANT IMPROVEMENTS,IL0990300,1/2/23,"$1,172,000","$586,000"," 	8,897 ",360
NORTH CHICAGO,5812,NEW TRANSMISSION MAIN & WATERMAIN REPLACEMENT,IL0971250,12/1/22,"$9,000,000","$1,250,000"," 	16,667 ",355
CULLOM,5780,"NEW 125,000-GALLON WATER TOWER AND DEMOLISH OLD TOWER",IL1050200,11/7/22,"$2,270,000","$1,135,000", 	550 ,345
GROVELAND TOWNSHIP WD,3077,"REPLACE PUMP STATION, STORAGE TANK, CHEMICAL FEED, AND WATERMAINS",IL1795200,11/17/22,"$1,902,000","$951,000"," 	2,430 ",345
BLUE MOUND,5761,PHASE 2 - WATERMAIN REPLACEMENT & REHAB 2 ELEVATED WATER TOWERS,IL1150100,8/1/22,"$1,383,000","$691,500"," 	1,300 ",330
CARROLLTON,4008,NEW TREATMENT PLANT,IL0610050,11/1/22,"$4,500,000","$1,250,000"," 	2,441 ",325
FORRESTON,5892,REPLACEMENT OF 660 WATER METERS & METER READ SYSTEM,IL1410200,7/15/22,"$450,000","$225,000"," 	1,368 ",320
MACON,5736,WATER METER AND WATERMAIN REPLACEMENT AND CONSTRUCT A NEW WELL,IL1150250,5/1/22,"$1,838,571","$919,286"," 	1,216 ",315
CARMI,5832,"REPLACE 2,500 LF OF WATERMAINS & REPLACE 1 PRESSURE REDUCING STATION",IL1930100,7/1/22,"$1,150,000","$575,000"," 	4,740 ",315
PROPHETSTOWN,3559,NEW WELL & NEW WTP,IL1950400,9/1/22,"$4,420,000","$1,250,000"," 	1,946 ",310
MOUNT CARROLL,6005,WATEMAIN REPLACEMENT & LOOPING,IL0150200,11/1/22,"$511,800","$255,900"," 	1,717 ",305
SIBLEY,2037,"WTP UPGRADES, SECTION OF WATERMAIN REPLACEMENT, & WATER METER REPLACEMENT ",IL0530400,5/1/22,"$612,000","$306,000", 	272 ,305
PLEASANT PLAINS,3225,NEW ELEVATED WATER TOWER,IL1670900,1/1/23,"$1,390,000",N/E, 	800 ,300
WILLIAMSFIELD,5989,"UPGRADE WTP, NEW GROUND STORAGE TANK, & REPLACE OLD WATER MAINS",IL0950650,10/1/22,"$1,000,000","$500,000", 	578 ,300
EVANSTON,3797,REPLACE RAW WATER INTAKE,IL0310810,8/1/22,"$42,230,164",N/E," 	504,000 ",285
ROCK FALLS,5719,PHASE 2 - WATERMAIN REPLACEMENT & LOOPING,IL1950450,3/1/23,"$884,000","$442,000"," 	8,789 ",285
ST. CHARLES,6102,NEW DEEP WELL & IMPROVEMENTS AT OHIO AVE WTP,IL0894830,3/15/23,"$14,000,000",N/E," 	32,709 ",280
MOUND CITY,4312,WATERMAIN EXTENSION,IL1530100,6/30/22,"$675,500","$337,750", 	744 ,275
LEE,3252,NEW WATER TOWER AND NEW WELL,IL1034600,8/29/22,"$1,607,000","$803,500", 	327 ,275
MANLIUS,5998,NEW WATER SERVICES FOR NEW CUSTOMERS & DEWATERING STRUCTURE AT PLANT,IL0110600,2/1/23,"$254,000","$127,000", 	359 ,275
VANDALIA,4177,NEW WATER TREATMENT PLANT & RAW WATERMAIN FOR NEW WATER SOURCE,IL0510350,2/1/23,"$21,099,000","$1,250,000"," 	7,458 ",270
DONNELLSON,6090,REPAINT WATER TOWER & INSTALL AMMONIA INJECTION EQUIPMENT,IL0054360,2/1/23,"$600,000","$300,000", 	210 ,250
KIRKWOOD,3452,DRILL NEW WELL & INSTALL RAW WATERMAIN,IL1870050,10/30/22,"$313,300","$156,650", 	714 ,250
NOKOMIS,6048,WATERMAIN REPLACEMENT & REHAB FILTERS/SOFTENERS/DETENTION TANK AT PLANT,IL1350450,8/15/22,"$3,000,000","$1,250,000"," 	2,055 ",250
POLO,6050,PHASE 1 - WATER SYSTEM IMPROVEMENTS,IL1410450,10/1/23,"$2,289,000","$1,144,500"," 	2,355 ",250
