Base Anticipated Loans,
Borrower,Loan Amount
Boys & Girls Club of Newport*     ,"$29,290 "
Lincoln Water Commission,"$6,819,000 "
Block Island Water Company ,"$950,000 "
Village on Chopmist Hill*,"$1,000,000 "
Total,"$8,798,290 "
General Supplemental Anticipated Loans,
Borrower,Loan Amount
Kingston Water District*,"$75,000 "
Providence Water,"$21,000,000 "
Prudence Island Water District*,"$1,000,000 "
Smithfield Water Supply Board*,"$2,000,000 "
Total,"$24,075,000 "
LSR Anticipated Loans,
Borrower,Loan Amount
Bristol County Water Authority,"$1,000,000 "
City of East Providence,"$100,000 "
Harrisville Fire District*,"$100,000 "
City of Newport,"$5,150,000 "
Town of North Kingstown,"$900,000 "
Pawtucket Water Supply Board,"$2,000,000 "
Providence Water,"$25,000,000 "
City of Warwick,"$2,500,000 "
Woonsocket Water,"$575,000 "
Total,"$37,325,000 "
Emerging Contaminants Anticipated Loans,
Borrower,Loan Amount
Quonochontaug East Beach*,"$450,000 "
University of Rhode Island,"$10,000,000 "
West Glocester Elementary*,"$450,000 "
Total,"$10,900,000 "
*Small System,
