RANKING,SYSTEM,COUNTY,PROJECT.NAME,PROJECT.DESCRIPTION.x,IJDC..NUMBER,X1..PERCENT..MHI,X3400.CURRENT,X3400.PROPOSED,AFFORD..ABILITY,DISADVAN...TAGED,DWTRF..TERMS.x,NEW.POPU...LATION,POINTS,HEALTH,COMPLIANCE,AFFORD..ABILITY.1,DWTRF..FUNDING..REQUESTED,TOTAL.COST,DWTRF.Eligible..Funding.Type,BYPASS.RATIONALE,PROJECT.DESCRIPTION.y,DWTRF..TERMS.y,POPULATION,ESTIMATED.DATE..OF..CONSTRUCTION,GREEN..PROJECT..DESIGNATION,GREEN..PROJECT..RESERVE,DWTRF..ASSISITANCE..FROM.BASE..GRANT,DWTRF..PRINCIPAL..FORGIVENESS..FROM.BASE..GRANT,DWTRF..ASSISITANCE..FROM..SUPPLEMENTAL..GRANT,DWTRF..PRINCIPAL..FORGIVENESS..FROM..SUPPLEMENTAL..GRANT,DWTRF..PRINCIPAL..FORGIVENESS..FROM..EMERGING..CONT..GRANT,DWTRF..ASSISITANCE..FROM.LSLR..GRANT,DWTRF..PRINCIPAL..FORGIVENESS..FROM.LSLR..GRANT,TOTAL.DWTRF..ASSISTANCE,TOTAL..PROJECT..COST
1,"Fairview, Town of",Marion,Phase I-Connection to  Monumental PSD,"This preliminary application is to make improvements the Town of Fairview’s water distribution system and to connect to the Monumental PSD’s water system. The project will be split into two (2) phases. This application is for Phase I. Phase I will primarily consist of the installation of approximately 3,500 LF of 6"" water line, a PRV Station, a duplex booster station with telemetry and emergency generator, refurbish existing water storage tank, upgrade access roads to existing water storage tanks, upgrade telemetry to existing water storage tanks, demolish old tank at water treatment plant, decommission existing water treatment plant, a new office building,",2020W-1861,$36.02 ,$48.20 ,$87.33 ,3.03,Yes,"0.5%, Admin.  Waived, 30 yrs.,  Principal  Forgiveness",979,100,50,20,30,"$2,179,430 ","$3,179,430 ",DWSRF Base  Program/Supplement al Funding,Design loan will be  funded.,"This preliminary application is to make improvements the Town of Fairview’s water distribution system and to connect to the Monumental PSD’s water system. Phase I will primarily consist of the installation of approximately 3,500 LF of 6"" water line, a PRV Station, a duplex booster station with telemetry and emergency generator, refurbish existing water storage tank, upgrade access roads to existing water storage tanks, upgrade telemetry to existing water storage tanks, demolish old tank at water treatment plant, decommission existing water treatment plant, a new office building, replace existing manual read meters, and connect to the Monumental PSD water system.","0.5%, Admin.  Waived, 30 yrs.,  Principal  Forgiveness",979,Design Loan Only,N/A,$0 ,"$233,000 ","$233,000 ",,,,,,"$233,000 ","$3,179,430 "
2,Pineville Municipal Waterworks,Wyoming,Brenton/Baileysville Waterline  Extensions,"The proposed project consists of a new 8-inch line that will extend along WV Route 97 to Baileysville Elementary School from the end of the existing 8-inch line near Wyoming. Also there will be 6-inch lines extending from Route 97 along Lanes Branch Road and Doublecamp Branch Road for approximately 0.53 miles and 0.94 miles, respectively. This alternative will also feature one 150,000-gallon water storage tank",2020W-1903,$35.14 ,$45.00 ,$63.46 ,2.26,Yes,"0.5%, Admin.  Waived, 40 yrs.,  Principal  Forgiveness","2,945",100,50,20,30,"$1,912,371 ","$9,498,871 ",DWSRF Base  Program/Supplement al Funding,Project will be funded,"The proposed project consists of a new 8-inch line that will extend along WV Route 97 to Baileysville Elementary School from the end of the existing 8- inch line near Wyoming. Also there will be 6-inch lines extending from Route 97 along Lanes Branch Road and Doublecamp Branch Road for approximately 0.53 miles and 0.94 miles, respectively. This alternative will also feature one 150,000-gallon water storage tank","0.5%, Admin.  Waived, 40 yrs.,  Principal  Forgiveness","2,945",23-Jul,N/A,$0 ,,,"$1,912,371 ","$1,000,000 ",,,,"$1,912,371 ","$9,498,871 "
3,"Wardensville, Town of",Hardy,Water System Improvements,"This project is to replace the fire hydrants and water meters in the distribution system; replace the Warden Acres water storage tank with a 330,000 gallon tank and the Anderson Ridge water storage tank with a 304,000 gallon tank: drill a new water well at the Town of Wardensville water treatment plant site; add a SCADA system; and upgrade/rehabilitate the existing Town of Wardensville’s water treatment plant with major work to consist of upgrade the electrical service, upgrade the chlorine room, upgrade mechanical piping, and add a generator.",2020W-1879,$36.46 ,$33.84 ,$45.01 ,1.54,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness",788,90,50,20,20,"$3,124,477 ","$2,421,000 ",DWSRF Base  Program/Supplement al Funding,Project will be funded,"This project is to replace the fire hydrants and water meters in the distribution system; replace the Warden Acres water storage tank with a 330,000 gallon tank and the Anderson Ridge water storage tank with a 304,000 gallon tank: drill a new water well at the Town of Wardensville water treatment plant site; add a SCADA system; and upgrade/rehabilitate the existing Town of Wardensville’s water treatment plant with major work to consist of upgrade the electrical service, upgrade the chlorine room, upgrade mechanical piping, and add a generator.","1%, 0.25%  Admin, 30 years,  Principal  Forgiveness",788,23-Jul,N/A,$0 ,,,"$2,421,000 ","$1,000,000 ",,,,"$2,421,000 ","$3,124,477 "
4,"Fairview, Town of",Marion,Phase II-Water line Replacements,"This project will replace 11,000 ft of old water mains, install 14 new valves and 5 fire hydrants in order to reduce significant water loss.",2022W-2087,$36.02 ,$87.33 ,$87.33 ,3.03,Yes,Principal  Forgiveness,979,90,50,10,30,"$1,175,000 ","$2,175,000 ",DWSRF Base  Program/Supplement al Funding,Design loan will be  funded.,"This project is the Town's Phase II and will replace 11,000 ft of old water mains, install 14 new valves and 5 fire hydrants in order to reduce significant water loss.",Principal  Forgiveness,979,Design Loan Only,N/A,$0 ,"$172,000 ","$172,000 ",,,,,,"$172,000 ","$2,175,000 "
5,"Salem, City of",Harrison,Phase IV Water System  Improvements,"The City of Salem is proposing to replace approximately 1.5 miles (8,000 LF) of problematic 8-inch water main, along with short sections of 6-inch connection lines, utility service lines (including lead and galvanized) and 128 water meters. Two short sections of 2-inch water line will also be replaced and a leak detection will be performed on the rest of the distribution system.",2021W-1988,$36.91 ,$43.32 ,$66.96 ,2.27,Yes,"0.5%, Admin.  Waived, 40 yrs.,  Principal  Forgiveness","1,617",90,40,20,30,"$2,400,000 ","$3,500,000 ",DWSRF Base  Program/Supplement al Funding,Requesting Congressional  Earmark Grant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,McDowell County PSD,McDowell,Elkhorn Ph III,"The proposed project will construct a new water treatment plant to serve 220 customers and will allow 3 old treatment plants (Greenbrier, Ashland, and Crumpler) to be retired in the area. Also included in the project will be a 50 GPM booster station, (2) 100,000-gallon water storage tanks, approximately 60,645 linear feet of 8- inch and smaller waterline, 24 fire hydrants, and all other necessary valves and appurtenances.",2021W-1961,$25.96 ,$53.72 ,$53.72 ,2.59,Yes,Principal  Forgiveness,693,80,40,10,30,"$856,500 ","$7,513,000 ",DWSRF Base  Program/Supplement al Funding,Project will be funded,"The proposed project will construct a new water treatment plant to serve 220 customers and will allow 3 old treatment plants (Greenbrier, Ashland, and Crumpler) to be retired in the area. Also included in the project will be a 50 GPM booster station, (2) 100,000-gallon water storage tanks, approximately 60,645 linear feet of 8-inch and smaller waterline, 24 fire hydrants, and all other necessary valves and appurtenances.",Principal  Forgiveness,528,23-Jun,N/A,$0 ,"$856,500 ","$856,500 ",,,,,,"$856,500 ","$7,513,000 "
7,Town of Franklin,Pendleton,Plant Upgrade/Line Replacement,"The proposed project consists of: 8” directional drill river crossing, upgrades at the Hanover Storage Tank, replacement of the altitude valve, and upgrades to the Morton Storage Tank. At the water treatment plant work includes; upgrade secondary water source, replace backwash pump, upgrade backwash tank, upgrade plant instrumentation, upgrade plant building, and upgrade sediment basin, Installation of two 40,000 gallon clear well tanks, new automation, VFD’s on pump motors, new automatic transfer switch, and replace the plant emergency generator.",2019W-1845,$36.26 ,$53.75 ,$75.25 ,2.59,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","1,702",80,30,20,30,"$1,300,000 ","$3,472,318 ",DWSRF Base  Program/Supplement al Funding,Project will be funded,"The proposed project consists of: 8” directional drill river crossing, upgrades at the Hanover Storage Tank, replacement of the altitude valve, and upgrades to the Morton Storage Tank. At the water treatment plant work includes; upgrade secondary water source, replace backwash pump, upgrade backwash tank, upgrade plant instrumentation, upgrade plant building, and upgrade sediment basin, Installation of two 40,000 gallon clear well tanks, new automation, VFD’s on pump motors, new automatic transfer switch, and replace the plant emergency generator.","1%, 0.25%  Admin, 30 years,  Principal  Forgiveness","1,702",22-Oct,N/A,$0 ,,,"$2,272,318 ","$500,000 ",,,,"$2,272,318 ","$3,472,318 "
8,Chestnut Ridge PSD,Barbour,Water System Improvements,"This project will make improvements to the PSD's water distribution system, including water line and valve replacement, upgrading booster stations, replacing water meters and upgrades to the SCADA and telemetry systems.",2019W-1835,$32.29 ,$65.47 ,$65.47 ,2.53,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","2,643",80,30,20,30,"$500,000 ","$5,300,000 ",DWSRF Base  Program/Supplement al Funding,Project will be funded,"This project will make improvements to the PSD's water distribution system, including water line and valve replacement, upgrading booster stations, replacing water meters and upgrades to the SCADA and telemetry systems.","0.5%, 40 years,  Principal  Forgiveness","2,643",22-Oct,N/A,$0 ,"$1,902,500 ",,,,,,,"$1,902,500 ","$5,300,000 "
9,Mercer County PSD,Mercer,Water System Improvements,This project will extend the water system to the McComas area and replace the existing failing McComas water system.,2021W-1992,$37.70 ,$0.00 ,$21.00 ,1.03,TBD,TBD,TBD,75,50,20,5,"$2,698,000 ","$2,698,000 ",DWSRF Base  Program/Supplement al Funding,Project was returned at  IJDC and has been  requested to further  evaluate alternatives.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"Paw Paw, Town of",Morgan,Water System Improvements,"This Preliminary Application is to upgrade the Town of Paw Paw water treatment plant and distribution system. The distribution portion of the project will consist of the installation of approximately 2 miles (10,780 LF) of 2"" to 8” water line; and rehabilitate the existing water storage tanks.",2021W-1962,$31.06 ,$46.01 ,$62.58 ,2.52,Yes,"0.5%, Admin.  Waived, 40 yrs.,  Principal  Forgiveness",488,70,30,10,30,"$3,395,600 ","$4,395,600 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
