Priority Points,Community,PWS Number,Population,Project Description,Estimated Total Cost
135,Beaver City,NE3106505,537,"New/Replace mains; Install sampling stations - SFY 2023 Replace wells lost due to spill; Replace tank, mains, and meters - SFY 2022","$175,000"
145,Beaver Crossing,NE3115911,375,100% PHA in Manganese; Install meters; Rehab mains,"$700,000"
60,Bee,NE3115910,171,Replace valves and mains; Install standby generator,"$95,000"
135,Beemer,NE3103902,611,80% MCL in Selenium; Rehab controls; Install sample site,"$74,765"
60,Belden,NE3102707,113,Replace mains and meters,"$100,400"
100,Belgrade,NE3112501,103,Replace tank; New meters - SFY 2020,"$570,000"
135,Bellwood,NE3102306,407,100% PHA in Manganese; Replace mains; Repaint tower,"$185,000"
25,Belvidere,NE3116909,51,Rehab water system; Install water pump,"$115,000"
135,Benedict,NE3118703,203,"100% MCL in Nitrates, 80% PHA in Manganese; Install sampling  stations; Replace meters","$90,000"
135,Benkelman,NE3105701,821,80% MCL in Arsenic; Extend mains; Replace mains and valves,"$250,000"
60,Bennet,NE3110910,"1,082",Install/Loop mains - SFY 2023  Replace/Rehab tower; Replace mains and pumps - SFY 2021,"$450,000"
15,Bertrand,NE3113707,709,Install/Replace mains and meters,"$700,000"
30,BIC Joint Water  Agency,NE3121227,"1,930",Construct well for capacity; Replace booster station piping fixture,"$600,000"
60,Bladen,NE3118303,205,New well; Replace main and hydrants,"$550,000"
120,Blair,NE3117905,"7,790",New intake building; WTP Expansion; New tower with transmission  lines; Lime solids project; Replace LSL,"$38,656,250"
135,Bloomfield,NE3110708,986,"100% PHA in Manganese; Loop mains; Install valves, controls for  water system, and meters","$300,000"
30,Bloomington,NE3106106,110,Replace mains; Rehab tank; Upgrade meters,"$300,000"
135,Blue Hill,NE3118302,805,100% MCL in Nitrates; Rehab tower; Replace pumps at wellhouses,"$174,100"
60,Blue Springs,NE3106704,282,Update PWS; Extend mains,"$150,000"
60,Boyd Cnty RWD  1,NE3120306,51,Rehab controls and wellhouse; Replace mains and water storage,"$50,000"
80,Bradshaw,NE3118704,273,New water storage; Rehab wells; Upgrade mains,"$1,225,000"
