Priority Ranking,Tracking No.,System Name,Project Cost,Additional Subsidy
1,4700498-22-01,Jamestown,"$250,000","$165,000"
2,4700498-22-02,Jamestown,"$3,500,000","$2,310,000"
3,4800152-22-01,Cando,"$650,000","$650,000"
4,1900162-22-01,Carson,"$26,000","$17,160"
5,0800080-19-01,Bismarck,"$1,500,000","$990,000"
6,3900567-16-01,Lidgerwood,"$320,000","$211,200"
7,3000596-22-06,Mandan,"$200,000","$132,000"
9,3000596-22-02,Mandan,"$50,000","$33,000"
10,2500964-22-01,Velva,"$2,373,000","$1,566,180"
11,0900166-19-01,Casselton,"$910,000","$600,600"
14,2100704-22-02,Mott,"$20,000","$13,200"
16,1900731-22-01,New Leipzig,"$71,000","$46,860"
18,2000203-22-01,Cooperstown,"$100,000","$66,000"
19,3300174-22-01,Center,"$260,000","$171,600"
20,1700059-22-01,Beach,"$181,000","$119,460"
21,5100515-15-01,Kenmare,"$58,000","$38,280"
23,5201012-22-01,Williston,"$84,000","$55,440"
25,0200958-22-04,Valley City,"$2,000,000","$1,320,000"
26,0900336-18-02,Fargo,"$1,200,000","$792,000"
27,0801031-22-02,Wilton,"$35,000","$23,100"
28,0801031-18-01,Wilton,"$160,000","$105,600"
29,2800389-13-02,Garrison,"$1,000,000","$660,000"
32,2200827-16-01,Robinson,"$150,000","$99,000"
33,2900470-22-01,Hazen,"$1,500,000","$990,000"
37,0900017-22-01,Amenia,"$45,000","$29,700"
39,4000854-22-01,St. John,"$63,000","$41,580"
41,5000408-22-01,Grafton,"$250,000","$165,000"
43,5001075-22-01,Walsh RWD,"$200,000","$132,000"
44,3100744-22-01,New Town,"$125,000","$82,500"
45,3400170-22-02,Cavalier,"$125,000","$82,500"
46,3100775-22-02,Parshall,"$94,000","$62,040"
47,4900482-22-01,Hillsboro,"$125,000","$82,500"
49,1801062-22-02,East Central RWD,"$200,000","$132,000"
50,5000773-22-01,Park River,"$125,000","$82,500"
51,1700059-22-02,Beach,"$94,000","$62,040"
52,5100515-22-01,Kenmare,"$125,000","$82,500"
53,2500266-22-01,Drake,"$63,000","$41,580"
54,1001380-22-01,Northeast RWD,"$200,000","$132,000"
55,1801056-22-01,Agassiz WUD,"$200,000","$132,000"
56,3500842-22-01,Rugby,"$250,000","$165,000"
57,2001061-22-01,Dakota RWD,"$200,000","$132,000"
58,0900524-22-01,Kindred,"$50,000","$33,000"
59,3100798-22-01,Plaza,"$63,000","$41,580"
60,0700114-22-01,Bowbells,"$63,000","$41,580"
61,5201012-22-07,Williston,"$250,000","$165,000"
