Priority Points,Community/ Public Water System,Project Number,Project Description,Est. Loan Amount,Expected Loan Rate & Term,Pop. Served,Disadvantaged
208,South Dakota Ellsworth  Development Authority,C462467-01,"Problem:  an  existing  housing  development  located near Ellsworth Air Force Base has been  determined  to  have  PFAS  contamination.    The  potential  exists  for  other  wells  in  thesurrounding  region  including  the  city  of  Box  Elder  to  experience  PFAS  contamination  as  the  chemical  continues  to  migrate  in  the  groundwater.  An upsized well and transmissionline  would  allow  the  system  to  provide  additional  water  to  Box  Elder  and  the  surrounding  area  to  meet  current  and  future  water  capacity  needs  and  alleviate  the  PFAScontamination concern. Project: installation of a  new  well  and  approximately  15  miles  of  4-  to  16-inch transmission and distribution main, two  water  storage  tanks  totaling  700,000-gallons,and related appurtenances.    ","$12,191,552 ","2.75%, 30  years","15,000",Yes
143,Hermosa,C462278-04,"Problem:  one  of  the  city’s  supply  wells  was  found  to  have  radiologic  contaminants  and  iron  scale, and the other supply well is inadequate tosupply  daily  demand.  Project:  The  city  will  either  construct  a  new  well  and  transmission  main  to  connect  to  the  distribution  system  or  connect  to  a  nearby  rural  water  system  topurchase  bulk  water  for  use  in  its  distribution  system.","$6,436,028 ","2.75%, 30  years",398,Yes  (Pending  rate
138,Vermillion,C462022-05,"Problem: some of the existing equipment at the  water treatment plant and well field is beyond its  useful  life,  portions  of  the  distribution  systempipe  are  beyond  their  useful  life.  Project:  replace  existing  equipment  at  the  water  treatment  facility  and  well  field  to  include  the  filters, SCADA system, aerator, and installations  of variable frequency drives on high lift and wellpumps  and  replace  5,120  feet  of  existing  cast  iron  pipe  in  various  locations  throughout  the  community.  ","$6,637,142 ","2.75%, 30  years","10,571",Yes
125,Tripp,C462238-02,"Problem:  the existing storage does not equalizeproperly resulting in poor turnover of water, the  existing wells do not have capacity to meet peak  day  demands  with  any  one  well  out  of  service,  the  existing  wells  have  high  concentrations  ofchloride,  sulfate,  and  total  dissolved  solids  impacting  water  quality,  and  existing  unused  wells  have  not  been  properly  abandoned.   Project:  install  7,750  feet  of  watermain  toconnect  to  the  B-Y  Water  District  for  bulk  service,  raise  one  water  storage  tank  to  match  overflow  elevations  and  install  a  mixer  to  improve  quality,  and  properly  abandon  unusedwells.  ","$1,700,000 ","0%, 30 years",647,Yes
123,Terry Trojan Water Project  District,C462455-03,"Problem:    the  existing  distribution  mains  are  poor  quality  PVC  and  experiencing  excessive  breaks and includes dead end lines, the  existingstorage  tank  is  in  poor  condition,  the  system  only  has  one  existing  well  which  would  leave  the  system  without  water  if  it  were  to  fail  foreven limited time, and the existing electrical and  SCADA  systems  for  the  well  and  treatment  plant  need  to  be  upgraded    Project:  install  3,400-feet of new PVC water mains and loop thesystem,  install  31  water  meters,  construct  a  150,000-gallon  water  storage  tank,  make  improvements  to  the  electrical  and  SCADA  systems, and install a new well.","$700,000 ","3.25%, 30  years",475,
122,Buffalo Gap,C462317-02,"Problem:  the  existing  water  distribution  system  is  old  and  experiencing  excessive  breaks  and  high-water  loss.  Project: replace 12,500 feet of  water  main  with  PVC  pipe  allowing  thecommunity to become a bulk user of Fall River  Water Users District.  ","$3,176,000 ","0.00%, 30  years",126,Yes
122,TM Rural Water District,C462429-04,"Problem:  the  existing  wells  are  beyond  their  useful life and are not able to provide sufficientsource  water,  current  storage  volume  does  not  meet  peak  demands,  and  several  areas  withing  the  distribution  system  are  unable  to  meet  demands  which  causes  insufficient  pressures.Project:  install  new  wells,  construct  a  new  500,000-gallon  storage  reservoir,  construct  a  new  booster station to supply needed pressures,  and  install  25.5  miles  of  parallel  and  loopingpipe  to  increase  pressure  and  capacity  throughout the system.  ","$11,571,000 ","2.75%, 30  years","6,462",Yes
122,Tripp County Water User  District,C462434-06,"Problem:  the  existing  wells  are  not  able  to  provide  sufficient  source  water,  current  storagevolume  does  not  meet  peak  demands,  existing  tanks  suffer  from  reduced  water  quality  during  low  flow  periods,  and  several  areas  withing  the  distribution system are unable to meet demandscausing  insufficient  pressures.  Project:  install  new  wells  to  provide  needed  source  water  capacity,  construct  five  new  storage  reservoirs  totaling  760,000gallons  of  additional  storagevolume  throughout  the  distribution  system  to  increase  capacity  and  pressure,  construct  a  new  booster  station  to  supply  needed  pressures,  install  12  tank  mixers  to  improve  quality,  andinstall 62.1 miles of parallel and looping pipe to  increase  pressure  and  capacity  throughout  the  system.","$14,400,000 ","0.00%, 30  years","8,350",Yes
120,Springfield,C462071-02,"Problem:  several  locations  within  the  distribution  system  are  cast  iron  or  asbestos  cement watermain that is beyond its  useful life,the system includes several dead-end mainlines,  portions  of  the  system  have  pipe  that  is  undersized  and  causes  reduced  pressures,  and  the existing water meters are beyond their usefullife.    Project:  install  64,470  feet  of  new  PVC  watermain to replace the existing pipe, loop the  system,  and  remove  undersized  mains.  The  project  will  also  replace  380  water  meters  withremote read meters.  ","$12,702,570 ","2.75%, 30  years","1,989",Yes
115,"BDM Rural Water System,  Inc.",C462444-03,"Problem: the existing water treatment plant is no  longer able to meet current demand and various  process equipment is in need of replacement, the  existing  wells  are  not  able  to  provide  sufficientsource  water,  current  storage  volume  does  not  meet  peak  demands,  several  areas  withing  the  distribution system are unable  to meet demands  causing  insufficient  pressures,  and  nearly  15percent  of  water  meters  are  in  need  of  replacement.  Project:  construct a new 1.5 MGD  treatment  plant  and  make  improvements  to  theexisting  treatment  plant  equipment,  install  five  new  wells  to  provide  needed  source  water  capacity,  construct  a  450,000-gallon  reservoir,  install 17.5 miles of parallel and looping pipe to  increase  pressure  and  redundancy,  and  replace390 water meters.  ","$11,536,860 ","3.00%, 30  years","5,673",Yes
114,"Bear Butte Valley Water,  Inc.",C462486-03,"Problem: existing homes along Elk Creek Road,  eastern Tilford Road, and Elk Vale Road are on  private  or  small  community  systems  with  poorwater  quality  and  desire  to  be  connected  to  the  larger  system.    Project:  installation  of  27  miles  of  distribution  mains  to  provide  service  to  residents in this area of the system.","$8,947,000 ","3.25%, 30  years",680,
113,South Shore,C462294-02,"Problem:  the system is served by only one well,  the distribution system is glued joint PVC which  is  beyond  its  useful  life  and  is  undersized  leading to poor system pressure, and there is nowater  storage  tank  within  the  system.    Project:   install  a  second  well  to  provide  a  redundant  source, install 18,800 feet of PVC watermain to  replace the old pipe and increase pressures, andconstruct  a  new  50,000-gallon  ground  storage  tank  and  booster  station  to  supply  needed  storage and pressure.  ","$6,090,920 ","3.00%, 30  years",225,Yes  (Pending  rate  increase)
112,Westberry Trails Water,C462503-02,"Problem:  the  existing  distribution  system  isundersized  and  beyond  its  useful  life,  users  are  not  currently  metered  for  water  usage,  the  system  lacks  sufficient  storage  for  average  day  demand, and the system has only one well whichprovides  no  redundancy  for  water  source.   Project:  replace  approximately  11,750  feet  of  water  main  with  PVC  pipe,  install  water  meter  pits,  and  construct  a  50,000-gallon  storagestandpipe, drill a new well to provide additional  source  water,  and  install  chemical  feed  for  treatment.  ","$3,380,418 ","3.25%, 30",,
111,Hot Springs,C462040-02,"Problem:  the city’s raw  water pumping systemdoes  not  have  capacity  to  provide  adequate  water  in  the  event  one  of  the  two  pumping  stations  is  out  of  commission,  the  storage  capacity  is  less  than  the  peak  day  demand,  andthe system does not have adequate  well supply.   Project:    install  a  new  well  and  pump  house,  construct  a  new  1.5-million-gallon  water  tower,  and develop a new Madison well.","$4,250,000 ","0%, 30 years","3,711",Yes
110,Wagner,C462209-04,"Problem:  several  locations  of  the  distribution  system  are  cast  iron  or  asbestos  cement  watermain  that  is  beyond  its  useful  life,  the  system  includes  several  dead-end  lines,  andportions  of  the  system  have  pipe  that  is  undersized  and  causes  reduced  pressures.   Project:  install  31,000  feet  of  new  PVC  watermain to replace the existing pipe, loop thesystem, and replace undersized mains.   ","$9,400,000 ","2.75%, 30  years","1,566",Yes
106,Grant-Roberts Rural Water  System,C462475-03,"Problem:  areas  of  the  existing  distribution  system  are  undersized  to  provide  needed  pressure  and  capacity  to  current  and  proposedusers.    Residents  and  communities  adjacent  to  the  current  service  area  boundaries  have  expressed a desire to be served by the system to  replace  water  sources  that  have  issues  withquality and capacity.  Project: install 30 miles of  transmission  line  to  increase  pressures  and  capacity  in  areas  of  the  system  not  able  to  adequately convey water to users.  Serving usersoutside of the existing system boundaries would  require  installing  225  miles  of  transmission  lines,  constructing  elevated  storage  tank,  installing  additional wells and  making upgradesto  the  water  treatment  facility  to  provide  the  needed capacity for the region.  ","$62,138,000 ","3.25%, 30  years","4,857",Yes
104,"Bear Butte Valley Water,  Inc.",C462486-04,"Problem: the system is currently served only by  one well leaving it without a redundant source ofsupply  and  households  within  the  district’s  planned  Tilford  Road  service  area  use  private  wells or haul water and wish to connect to BearButte Valley Water.  Project: install a new  well  to  provide  redundant  water  supply  for  the  system, construct related pumping and treatment  systems and install 11 miles of distribution main  to connect existing homes and loop the system.","$4,998,000 ","3.25%, 30  years",680,
