Rank,Water System/Borrower,Population Served,Comprehensive Project Name,Project Description,Amount,"DAC? - A, E, W, U",Total Points,Funding Appropriation,Financing,Terms,Anticipated Subsidy,Anticipated Subsidy Amount,Notes
1,Countryside Hamlet MHP,66,Upgrades and Interconnect,Consolidation to Artesian - See Adam Gould emails,"$745,470.00",,800,State,,,State Grant,"$745,470.00",Anticipated to be Bypassed for State Funds
2,Stage Village MHP,93,Water System Improvements and Consolidation with Delmar,"New distribution, fire hydrants, water meters and connections to Delmar","$687,800.00",U,730,State,,,State Grant,"$687,800.00",Anticipated to be Bypassed for State Funds
3,Willow Tree MHP,141,MHP Water System Upgrades,"System Upgrades, add storage Kitts Hummock Road","$1,700,000.00",U,680,Supplemental,,,Sup DAC,"$1,700,000.00",
4,New Castle,5364,Hewlett-Janvier,Water Main Replacement,"$1,490,000.00",W,670,Supplemental,,,Sup DAC,"$1,490,000.00",
5,Delmar to Holly Oak MHP,4500 210,Water Line Extension,Consolidation Holly Oak MHP,"$1,100,000.00",,630,Base,2.00%,20 years,Base Congres sional,"$981,120.00",
6,Milton,3200,LSL replacement,"Carey, Walnut and Mill Street Main Replacement and LSL replacement","$1,330,000.00",,620,LSLR,2.00%,20 years,,$0.00,
6,Wilmington,107976,LSL Removal,Service line improvements and LSL removal $22.5M LSLR,"$22,500,000.00","E, W",620,LSLR,,,94% LSLR,"$12,875,792.00",
7,Seaford,6699,Martin Farms LSL Abatement,Abatement,"$2,072,149.00",,590,Corpus,2.00%,TBD,,$0.00,
8,Wilmington,107976,Raw Water Transmission Improvements,From Brandywine Creek to either Porter or Hoopes,"$10,000,000.00","E, W",580,Supplemental,,,Sup DAC,"$5,626,080.00",
9,Lewes BPW,3000,Capes Cove,Consolidation Capes Cove MHP,"$320,600.00",,560,Supplemental,2.00%,20 years,,$0.00,
9,Seaford,6699,Woolford Street LSL Abatement,Abatement,"$601,574.00",,560,Corpus,2.00%,TBD,,$0.00,
10,Frederica,870,Jackson St. Service Connections,LSL replacement,"$512,000.00",A*,530,LSLR,,,,"$512,000.00",
11,Magnolia,425,North Main Street,Water Main Improvements,"$900,000.00",A*,525,Base,,,Base DAC,"$900,000.00",
12,Dover,38000,LSL inventory,LSL regulatory requirements,"$60,000.00","E,",480,LSLR,,,,"$60,000.00",
12,New Castle,5364,Delaware Street,Water Main Extension ,"$1,743,000.00",W,480,Supplemental,2.00%,20 years,,$0.00,
13,Wilmington,107976,Porter Filter Plant PFAs Removal- $45M project EC,Construct GAC vessels ,"$4,787,405","E, W",450,EC,,,,"75% EC $4,787,405",
13,Wilmington,107976,Porter Filter Plant PFAs Removal - $45M project Base,Construct GAC vessels ,"$40,212,595","E, W",450,Corpus,2.00%,20 years,,$0.00,
14,Seaford,6699,Dulany Well Abandon and Nylon Well Rehab,Abandonment and Rehabilitation,"$1,901,990",,430,Corpus,2.00%,20 years,,$0.00,
15,Frederica,870,Market Street,Water Main Renewal,"$328,000",A*,420,Base,,,Base DAC,"$328,000.00",
16,Rehoboth Beach,1400,Waterline and Service Line Replacements Phase I,1 of (7?) Phases to replace water and service lines ,"$2,527,000.00",,410,LSLR,2.00%,20 years,,$0.00,
17,Magnolia,425,Elevated Storage Tank,Pressure and Redundancy,"$2,637,700",A*,405,Base,,,Base DAC,"$800,000.00",
18,Lewes BPW,3000,LSL inventory,Mapping and Replacement Planning ,"$263,000.00",,400,LSLR,2.00%,20 years,,$0.00,
18,Milton,3200,Federal Street Well and WT,Well and Treatment upgrades with ARPA match,"$301,381",,400,Base,2.00%,20 years,,$0.00,
19,Newark,40000,SWFWTP PFAs Treatment - $4.4M EC,PFA WTP Upgrades,"$1,591,169.00",,380,EC,,,,"25% EC $1,591,169",
19,Newark,40000,SWFWTP PFAs Treatment $4.4M Base,PFA WTP Upgrades,"$2,808,831",,380,Corpus,2.00%,20 years,,$0.00,
19,Wilmington,107976,Porter Clearwell Improvements,Clearwell and associated infrastrucure,"$19,000,000","E, W",380,Corpus,2.00%,20 years,,$0.00,
20,Artesian,209706,Brandywine Springs Manor,Water Main Renewal,"$1,035,000",,375,Supplemental,2.00%,20 years,,$0.00,
20,Artesian,13511,Knox Street,Water Main Renewal,"$250,000",,375,Supplemental,2.00%,20 years,,$0.00,
20,Artesian,209706,Stratford,Water Main Renewal,"$1,354,000",,375,Corpus,2.00%,20 years,,$0.00,
20,Magnolia,425,Water Production Well,Well Improvements,"$850,500",A*,375,Corpus,2.00%,20 years,,$0.00,
31,Lewes BPW,3000,Savannah Road Bridge,Canal Crossing Water Main,"$2,260,000.00",,290,Corpus,2.00%,20 years,,$0.00,
32,DE State Fair,452,Water System Lead Abatement,LSL,"$1,660,000.00",,285,Corpus,2.00%,TBD,,$0.00,
33,Tidewater,4000,Consolidation  - Angola Meadows,Interconnection Phase 2B resiliency,"$3,410,000.00",,280,Corpus,2.00%,20 years,,$0.00,
34,Middletown,22582,NE Quadrant,Water System Improvements,"$1,963,287.00",,270,Corpus,2.00%,20 years,,$0.00,
