Project,Loan Amount,Constr. Start Date,Target Compl. Date,1st Qtr 7/22-9/22,2nd Qtr 10/22-12/22,3rd Qtr 1/23-3/23,4th Qtr 4/23-6/23,1st Qtr 7/23-9/23,2nd Qtr 10/12-12/23,3rd Qtr 1/24-3/23,4th Qtr 4/24-6/24,Total Disburs.
Columbus Water Works,"$350,000",8/22/2022,8/1/2024,"$43,750","$43,750","$43,750","$43,750","$43,750","$43,750","$43,750","$43,750","$ 350,000"
City of Smyrna,"$2,800,000",11/1/2022,11/1/2023,,"$560,000","$560,000","$560,000","$560,000","$560,000",,,"$                   2,800,000"
City of Roswell,"$92,000",1/30/2023,1/31/2024,,,"$18,400","$18,400","$18,400","$18,400","$18,400",,"$ 92,000"
City of Monroe,"$150,000",1/1/2023,1/1/2024,,,"$30,000","$30,000","$30,000","$30,000","$30,000",,"$ 150,000"
City of Cartersville,"$993,200",1/1/2023,1/1/2024,,,"$198,640","$198,640","$198,640","$198,640","$198,640",,"993,200$"
City of Vienna,"$30,000",3/16/2023,7/18/2023,,,"$10,000","$10,000","$10,000",,,,"$30,000"
City of Valdosta,"$2,532,650",4/3/2023,10/1/2024,,,"$422,108","$422,108","$422,108","$422,108","$422,109","$422,109","$                   2,532,650"
City of Cumming,"$100,000",10/2/2023,10/16/2024,,,,,,"$33,333","$33,333","$33,334","100,000$"
City of Nicholls,"$13,421",12/1/2022,12/1/2023,,"$2,684","$2,684","$2,684","$2,684","$2,685",,,"13,421 $"
City of Graham,"$35,260",9/4/2023,10/16/2024,,,,,"$8,815","$8,815","$8,815","$8,815","35,260$"
City of Rome,"$200,000",1/1/2023,9/2/2024,,,"$33,333","$33,333","$33,333","$33,333","$33,334","$33,334","$ 200,000"
City of Statesboro,"$2,000,000",1/2/2022,9/2/2023,"$400,000","$400,000","$400,000","$400,000","$400,000",,,,"$                   2,000,000"
City of Morgan,"$6,000",3/13/2023,3/5/2024,,,"$1,200","$1,200","$1,200","$1,200","$1,200",,"$6,000"
City of Calhoun,"$370,000",7/1/2023,7/1/2024,,,,,"$123,333","$123,333","$123,334",,"$370,000"
City of Centerville,"$44,000",2/1/2023,2/1/2024,,,"$7,333","$7,333","$7,333","$7,333","$7,334","$7,334","$ 44,000"
Heard County Water Authority,"$13,717,850",3/7/2023,3/1/2024,,,"$2,743,570","$2,743,570","$2,743,570","$2,743,570","$2,743,570",,"$                13,717,850"
Bartow County Water,"$315,000",7/14/2022,6/1/2023,"$78,750","$78,750","$78,750","$78,750",,,,,"315,000$"
Jackson County Water Authority,"$300,000",2/1/2023,2/1/2024,,,"$60,000","$60,000","$60,000","$60,000","$60,000",,"300,000 $"
Cobb County Water Authority,"$2,000,000",5/5/2021,5/5/2023,"$500,000","$500,000","$500,000","$500,000",,,,,"$                   2,000,000"
City of Whigham,"$47,500",4/1/2023,4/1/2024,,,,"$9,500","$9,500","$9,500","$9,500","$9,500","47,500$"
City of Cordele,"$60,500",1/5/2022,10/1/2024,"$7,563","$7,562","$7,562","$7,562","$7,562","$7,563","$7,563","$7,563","$ 60,500"
City of Covington,"$32,180",5/1/2023,10/1/2024,,,,"$6,436","$6,436","$6,436","$6,436","$6,436","$ 32,180"
City of Albany,"$100,000",10/10/2022,10/31/2023,,"$20,000","$20,000","$20,000","$20,000","$20,000",,,"$100,000"
Oconee County Water Resources,"$1,400,000",6/3/2022,6/2/2023,,,,"$280,000","$280,000","$280,000","$280,000","$280,000","$                   1,400,000"
City of Bremen,"$2,100,000",6/1/2023,8/1/2024,,,,"$420,000","$420,000","$420,000","$420,000","$420,000","$                   2,100,000"
Clayton County Water Authority,"$16,053,500",12/15/2022,12/1/2023,,"$2,675,583","$2,675,583","$2,675,583","$2,675,583","$2,675,584","$2,675,584",,"$                16,053,500"
Lee County Water Authority,"$1,000,000",10/2/2023,10/2/2024,,,,,,"$333,333","$333,333","$333,334","$                   1,000,000"
City of Dawsonville,"$1,506,900",9/1/2023,9/1/2024,,,,,"$376,725","$376,725","$376,725","$376,725","$                   1,506,900"
