Project Name,DWSRF No.,Project Description,IUP Yr,Quarter,Project Categories,Priority Points,Population,Project Status," Original IUP Funding Request
(estimate) ", Current Funding Request ,Date Loan Signed, Loan Amount , Remaining Amount on IUP ,LF Eligible?
Ames,FS-85-21-DWSRF-010,Water Treatment Plant Demolition,2021 ,2 ,B,15 ,58965,L," $ 4,380,000.00 ", $ -   ,8/26/22," $ 3,500,000.00 ",,Not Eligible
Grundy Center,FS-38-22-DWSRF-024,2022 Water Main Replacement,2022 ,3 ,"B, E",30 ,2706,L," $ 1,500,000.00 "," $ 900,000.00 ",8/12/22," $ 900,000.00 ", $ -   , Not Eligible 
Pleasantville,FS-63-22-DWSRF-020,Water System Improvements - 2021 Water Main Replacement,2022 ,2 ,"B, E",30 ,1694,L," $ 1,674,000.00 "," $ 2,223,000.00 ",9/2/22," $ 2,223,000.00 ", $ -   ,Not Eligible
Lake Creek,FS-11-22-DWSRF-014,Water Distribution System Improvements,2022 ,2 ,"B,E",30 ,150,L," $ 604,000.00 "," $ 678,000.00 ",7/8/22," $ 678,000.00 ", $ -   ,Not Eligible
Inwood,FS-60-21-DWSRF-024,Water Distribution System Improvements,2021 ,4 ,"B, E",30 ,814,L," $ 752,878.10 "," $ 786,000.00 ",10/28/22," $ 786,000.00 ", $ -   ,Not Eligible
Fort Dodge,FS-94-21-DWSRF-005,Northwest Regional Water Main Improvements,2021 ,1 ,"B, C",30 ,25206,L,$0.00,,4/9/21," $ 3,753,000 "," $ 2,746,000 ", Not Eligible 
Charles City,FS-34-22-DWSRF-010,Water System Storage Tank,2022 ,2 ,"B, C, E",35 ,3350,L," $ 3,965,000.00 "," $ 4,750,000.00 ",11/18/22," $ 4,750,000.00 ", $ -   ,Not Eligible
Jamaica,FS-39-20-DWSRF-017 (1),Water System Improvements,2020 ,3 ,"B, C, E",35 ,224,L," $ 1,213,000.00 "," $ 2,818,000.00 ",8/26/22," $ 1,785,000.00 "," $ 1,033,000 ","Awarded DAC
CAP'21"
Osceola Rural Water System-North,FS-72-19-DWSRF-012,"A new 1,800 gpm RO expansion including wells, water storage and pipeline",2019 ,2 ,"B, E",40 ,4495,L," $ 17,709,000.00 "," $ 6,466,000.00 ",5/6/22," $ 930,000.00 "," $ 5,536,000 ", Not Eligible 
Osceola Rural Water System-North,FS-72-19-DWSRF-012,"A new 1,800 gpm RO expansion including wells, water storage and pipeline",2019 ,2 ,"B, E",40 ,4495,L,,,11/18/22," $ 5,536,000.00 ",, Not Eligible 
Lost Nation,FS-23-22-DWSRF-003,Construction of New Well and Well House,2022 ,1 ,"B, E",45 ,223,L," $ 439,000.00 "," $ 790,000.00 ",12/9/22," $ 790,000.00 ", $ -   ,Eligible 2022
