Rank,Score,KIA Loan Number,WRIS Number,Applicant,Project Title,Total Project Cost,Requested Loan Amount,Invited Loan Amount Base,Cumulative Invited Loan Amount Base,Invited Loan Amount Supplemental,Cumulative Invited Loan Amount Supplemental,Invited Loan Amount Lead Service Line,Cumulative Invited Loan Amount LSLR,Principal Forgiveness Amount,Cumulative Principal Forgiveness,Invite Round No. Bypassed,System Population,System MHI
0,,F20-034,WX21143017,Lyon County Water District,LCWD - Water System and Storage Tank Improvements Project,"$2,094,675","$2,094,675",$0,$0,,,$0,$0,$0,$0,Bypassed,"4,114","$49,237"
0,,F21-027,WX21227083,Warren County Water District,WCWD - Woodburn Tank Replacement & Hwy 68W Reservoir,"$3,600,000","$2,100,000",$0,$0,,,$0,$0,$0,$0,Bypassed,"76,855","$61,287"
1,465,F23-001,WX21131013,Hyden-Leslie County Water District,Leslie Waterline Replacement Phase I,"$2,182,385","$2,001,013","$2,001,013","$2,001,013",,,,,"$2,001,013","$2,001,013",1,"9,677","$35,919"
2,430,F23-002,WX21221017,Barkley Lake Water District,BLWD - Lakeside Waterline Replacement,"$3,678,442","$3,678,453","$3,678,453","$5,679,466",,,,,"$1,001,207","$3,002,220",1,"9,872","$53,288"
3,320,F23-003,WX21021037,"Danville, City of",Danville Water Line Replacements,"$1,240,000","$1,240,000",,,"$1,240,000","$1,240,000",,,"$892,221","$892,221",1,"24,951","$44,314"
4,305,F23-004,WX21167034,"Harrodsburg, City of",Harrodsburg Water Main and Water Hydrant Replacements,"$4,280,000","$4,280,000",,,"$4,280,000","$5,520,000",,,"$3,079,601","$3,971,822",1,"8,684","$42,821"
5,280,F23-005,WX21107058,"White Plains, City of",White Plains - Water Line and Service Replacement Project,"$2,405,000","$2,405,000",,,"$2,405,000","$7,925,000",,,"$1,730,477","$5,702,299",1,"1,491","$42,093"
6,280,F23-006,WX21001032,Adair County Water District,Phase 23 - Water Treatment Plant and System Improvements,"$4,377,650","$4,377,650",,,"$4,377,650","$12,302,650",,,"$3,149,864","$8,852,163",1,"16,841","$42,377"
7,260,F23-007,WX21037311,Northern Kentucky Water District,Water Main Replacement – Newport and The Ovation,"$8,855,000","$4,000,000",,,"$4,000,000","$16,302,650",,,"$1,598,681","$10,450,844",1,"252,560","$66,417"
8,255,F23-008,WX21219014,"Trenton, City of",Trenton - Water System Improvements,"$3,270,000","$3,270,000",,,"$3,270,000","$19,572,650",,,"$1,306,921","$11,757,765",1,552,"$57,637"
9,245,F23-009,WX21155060,"Lebanon, City of",2022 WTP and Water System Improvements Project,"$3,860,000","$3,860,000",,,"$3,850,060","$23,422,710",,,"$2,770,245","$14,528,010",1,"6,447","$30,397"
10,230,F23-010,WX21155055,Marion County Water District,Marion County Water District 2023 Water  System Improvements,"$3,600,000","$3,600,000",,,,,,,,,,"13,903","$46,922"
11,220,F23-011,WX21111196,Louisville Water Company,Steedly Drive Area MRRP,"$5,235,280","$5,235,280",,,,,,,,,,"807,578","$82,920"
12,215,F23-012,WX21133038,"Fleming-Neon, City of",Waterline Improvement Project Phase 3,"$1,584,886","$1,584,886",,,,,,,,,,"2,774","$37,157"
13,200,F23-013,WX21129011,"Beattyville, City of",Southside Waterline Replacement Project Phase 1,"$2,000,000","$2,000,000",,,,,,,,,,"6,787","$22,873"
14,195,F23-014,WX21111201,Louisville Water Company,Derby Avenue Area MRRP,"$3,437,120","$3,437,120",,,,,,,,,,"807,578","$82,920"
15,195,F23-015,WX21111202,Louisville Water Company,"Kentucky, Glenmary and Oak Street 48-Inch Rehabilitation Phase 2","$5,375,000","$5,375,000",,,,,,,,,,"807,578","$82,920"
16,190,F23-016,WX21111200,Louisville Water Company,Beechland Avenue Area MRRP,"$2,921,160","$2,921,160",,,,,,,,,,"807,578","$82,920"
17,170,F23-017,WX21193045,"Hazard, City of",Christopher Waterline Replacement,"$1,215,000","$1,215,000",,,,,,,,,,"23,295","$44,040"
18,170,F23-018,WX21111197,Louisville Water Company,Ralph Avenue Area MRRP,"$3,335,000","$3,335,000",,,,,,,,,,"807,578","$82,920"
19,170,F23-019,WX21029299,Louisville Water Company,W. Blue Lick Road Area MRRP,"$1,792,260","$1,792,260",,,,,,,,,,"807,578","$82,920"
20,165,F23-020,WX21155057,"Lebanon, City of",Water System Improvements Phase 1,"$2,247,505","$2,247,505",,,,,,,,,,"6,447","$30,397"
21,165,F23-021,WX21155058,"Lebanon, City of",Water System Improvements Phase 2,"$2,929,050","$2,929,050",,,,,,,,,,"6,447","$30,397"
22,160,F23-022,WX21027044,"Hardinsburg, City of",Hardinsburg Water Treatment Plant Expansion Phase I,"$6,810,000","$2,500,000",,,,,,,,,,"12,307","$49,585"
23,155,F23-023,WX21085043,Grayson County Water District,GCWD Caneyville System Improvements,"$732,330","$323,025",,,,,,,,,,"15,027","$38,149"
24,150,F23-024,WX21177042,"Drakesboro, City of",Drakesboro - Water System Improvements,"$1,062,450","$1,062,450",,,,,,,,,,662,"$49,481"
25,150,F23-025,WX21151073,"Richmond, City of","EKU Booster Pump Station and Lancaster Rd. 8"" Line Replacement","$2,062,900","$2,062,900",,,,,,,,,,"34,443","$40,909"
26,150,F23-026,WX21155056,Marion County Water District,Kentucky Highway 52 Water System Upgrades,"$1,467,500","$1,467,500",,,,,,,,,,"13,903","$46,922"
27,150,F23-027,WX21111199,Louisville Water Company,Billtown Tank Recoating,"$1,300,000","$1,300,000",,,,,,,,,,"807,578","$82,920"
28,150,F23-028,WX21111203,Louisville Water Company,Crescent Hill Water Treatment Plant - Redundant Sludge Conveyance System,"$20,500,000","$20,500,000",,,,,,,,,,"807,578","$82,920"
29,145,F23-029,WX21235007,Corbin City Utilities Commission,Corbin Water Treatment Plant Sodium Hypochlorite Disinfection Fa,"$2,923,968","$2,923,968",,,,,,,,,,"15,137","$39,217"
30,140,F23-030,WX21139028,"Grand Rivers, City of",Grand Rivers - Waterline Replacement & AMR System,"$667,500","$667,500",,,,,,,,,,"1,914","$51,063"
31,135,F23-031,WX21235008,"Williamsburg, City of","Williamsburg, KY - Downtown Water System Improvements","$5,534,130","$5,534,130",,,,,,,,,,"5,273","$30,551"
32,135,F23-032,WX21133068,"Whitesburg, City of",Whitesburg Waterline Improvement Phase (Downtown),"$2,375,000","$2,375,000",,,,,,,,,,"2,583","$31,630"
33,130,F23-033,WX21031042,"Morgantown, City of",Morgantown - Water Plant Improvements,"$2,380,000","$2,380,000",,,,,,,,,,"2,279","$30,242"
34,130,F23-034,WX21033018,Princeton Water & Wastewater Commission,Princeton - Tank Rehabilitation,"$1,490,700","$1,490,700",,,,,,,,,,"6,904","$45,292"
35,130,F23-035,WX21125023,Laurel County Water District #2,Oak Ridge Church Road & Cardinal Heights Area Water System Improvements,"$2,175,000","$2,175,000",,,,,,,,,,"15,541","$43,571"
36,125,F23-036,WX21185058,Louisville Water Company,W Highway 146 Water Main Extension,"$2,522,620","$2,522,620",,,,,,,,,,"807,578","$82,920"
37,125,F23-037,WX21111198,Louisville Water Company,Highway 61 Water Main Extension,"$1,258,010","$1,258,010",,,,,,,,,,"807,578","$82,920"
38,120,F23-038,WX21089102,"Greenup, City of",City of Greenup new Water Treatment Plant,"$14,599,000","$14,599,000",,,,,,,,,,"9,714","$48,027"
39,110,F23-039,WX21131014,Hyden-Leslie County Water District,Meter Replacement Project Phase II,"$1,745,000","$1,745,000",,,,,,,,,,"9,677","$35,919"
