RANK,PWS #,APPLICANT,SYSTEM TOWN,PROJECT NAME,POPULATION,REQUESTED LOAN  AMOUNT,ARPA  DISADVANTAGED  CO-OP or EPA WIIN  GRANT,EMERGING  CONTAMINANTS,LEAD SERVICE  LINE (LSL) LOAN  AMOUNT,LSL FORGIVENESS,2022 ARPA  GRANT,BASE &  SUPPLEMENTAL  LOAN AMOUNT,BASE &  SUPPLEMENTAL  FORGIVENESS,A. WATER QUALITY  SCORE,B. QUANTITY  DEFICIENCIES  SCORE,C. TREATMENT  SCORE,D. STORAGE SCORE,E. DISTRIBUTION  SCORE,F.  AFFORDABILITY  SCORE,G. CAP DEV  SCORE,H. GREEN  SCORE,I. RESILIENCY  SCORE,J.  CONSOLIDATION /INTERCONNECTI ON SCORE,K. CRITICAL  INFRASTRUCTUR E SCORE,L. PROJECT  READINESS  SCORE,TOTAL SCORE,WATER  RATE,MHI,FINANCIALLY  DISADVANTAGED,ENVIRONMENTALL Y DISADVANTAGED,AFFORDABILITY  INDEX
1,1173010,HOLLIS PINES COOP  MHP/EAST*,HOLLIS,HOLLIS PINES DRINKING  WATER,90,"$3,300,000.00","$1,000,000.00","$800,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,60,34,0,30,0,7,18,0,0,30,20,0,199,$444.00,"$36,000.00",YES,,1.2
2,1361010,LISBON WATER DEPT,LISBON,TOWN OF LISBON  TREATMENT AND  DISTRIBUTION  IMPROVMENTS,"1,010","$1,170,000.00",$0.00,"$585,000.00",$0.00,$0.00,"$117,000.00","$468,000.00","$140,400.00",80,0,0,0,35,7,20,15,0,0,20,10,187,$645.96,"$56,250.00",YES,,1.1
3,162130,ROLLING RIDGE,BARTLETT,ROLLING RIDGE SYSTEM  UPGRADE,63,"$1,500,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$1,500,000.00",$0.00,80,0,18,0,33,15,18,0,0,0,20,0,184,$800.00,"$35,982.00",YES-PART TIME  OCCUPANCY,,2.2
4,1393050,WAGON WHEEL TENANTS  COOPERATIVE*,LONDONDERRY,WATER SYSTEM  INTERCONNECTION,88,"$383,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,60,0,18,0,15,0,18,0,0,30,0,0,141,342,"$110,810.00",NO,,0.3
5,1861010,PEMBROKE WATER WORKS,PEMBROKE,INTERMUNICIPAL  CONNECTION TO THE CITY  OF CONCORD SYSTEM,"5,200","$5,964,000.00",Bypass - Project not ready to proceed to meet DWSRF deadline for Final Application.,,,,,,,90,0,0,0,0,0,0,0,10,20,20,0,140,$247.99,"$89,000.00",NO,,0.3
6,1392200/139222 0/1392230,ROLLING MEADOWS  CONDOS I/III/IV*,LONDONDERRY,ROLLING MEADOWS PFAS  REMEDIATION BY WAY OF  MUNICIPAL CONNECTION,172,"$4,000,000.00",$0.00,"$2,000,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,60,0,0,0,30,0,0,0,0,30,20,0,140,$266.00,"$107,813.00",NO,,0.2
7,1141020,EMERALD LAKE VILLAGE  DISTRICT,HILLSBOROUGH,HUMMINGBIRD WELL SITE  TREATMENT,"1,300","$700,000.00",$0.00,$0.00,$0.00,$0.00,"$140,000.00","$560,000.00","$280,000.00",30,34,18,0,0,15,20,0,10,0,10,0,137,"$1,141.00","$55,000.00",YES,,2.1
8,1941010,PLYMOUTH VLG WATER  AND SEWER,PLYMOUTH,HOLDERNESS WELLS  UPGRADES,"6,300","$2,400,000.00",$0.00,"$1,200,000.00",$0.00,$0.00,"$240,000.00","$960,000.00","$384,000.00",60,0,0,0,0,11,20,15,0,0,20,10,136,$924.48,"$50,658.00",YES,,1.8
9,1333060,PACKERS FALLS VILLAGE,LEE,WATER SYSTEM UPGRADE,60,"$496,680.00",$0.00,$0.00,$0.00,$0.00,"$99,336.00","$397,344.00",$0.00,60,0,34,0,15,7,0,0,0,0,20,0,136,$914.00,"$97,438.00",NO-NEEDS INCOME  SURVEY,,0.9
10,1221010,JAFFREY WATER WORKS*,JAFFREY,TURNPIKE WELL PFAS &  MANGANESE REMOVAL,"3,800","$9,962,868.00",$0.00,"$2,962,445.00",$0.00,$0.00,$0.00,$0.00,$0.00,90,0,0,0,0,7,20,5,0,0,10,0,132,$970.32,"$63,565.00",YES,,1.5
11,2271010,SUNAPEE WATER WORKS,SUNAPEE,SUNAPEE ROUTE 11 WATER  MAIN CROSSINGS AND  WATER MAIN  REPLACEMENTS,"1,680","$2,148,000.00",$0.00,$0.00,"$405,000.00","$198,450.00","$348,600.00","$1,394,400.00","$418,320.00",0,0,0,0,73,7,20,15,0,0,15,0,130,"$1,039.94","$72,539.00",YES,,1.4
12,612050,MORNINGSIDE DRIVE*,DERRY,PFAS REMEDIATION BY WAY  OF MUNICIPAL  CONNECTION,80,"$1,620,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,60,0,0,0,15,0,0,5,0,30,20,0,130,$324.50,"$69,813.00",NO,,0.5
13,2235020,STRATHAM MUNICIPAL  CENTER,STRATHAM,SYSTEM CONSOLIDATION  AND PFAS WATER QUALITY  IMPROVEMENTS- REGIONAL,TBD,"$11,500,000.00",Bypass- Project not ready to proceed to meet DWSRF deadline for Final Application.,,,,,,,60,0,0,0,0,0,18,0,0,30,20,0,128,$587.35,"$126,009.00",NO,,0.5
14,2235020,STRATHAM MUNICIPAL  CENTER,STRATHAM,COMMUNITY SYSTEM  DEVELOPMENT AND PFAS  WATER QUALITY  IMPROVEMENTS - LOCAL,TBD,"$11,500,000.00",Bypass - Project not ready to proceed to meet DWSRF deadline for Final Application.,,,,,,,60,0,0,0,0,0,18,0,0,30,20,0,128,$587.35,"$126,009.00",NO,,0.5
15,1332030,GREYSTONE COMMONS,LEE,NEW WELL HOUSE AND  DISTRIBUTION,25,"$746,150.00",$0.00,$0.00,$0.00,$0.00,"$149,230.00","$596,920.00","$298,460.00",0,0,16,40,30,15,0,5,0,0,20,0,126,"$2,500.00","$69,494.00",YES,,3.6
16,1071010,HANOVER WATER DEPT,HANOVER,HANOVER WATER MAIN  DISTRIBUTION AND LEAD  SERVICE LINE  REPLACEMENT PROJECT,"8,500","$5,800,000.00","$1,200,000.00","$588,000.00",$0.00,$0.00,"$920,000.00","$3,680,000.00","$1,104,000.00",0,0,0,0,83,7,20,15,0,0,0,0,125,$671.64,"$79,844.00",NO,YES,0.8
17,2561010,WOLFEBORO WATER AND  SEWER,WOLFEBORO,2024 2024 WATER MAIN  REPLACEMENTS -1900  VINTAGE,"5,750","$1,600,000.00","$50,000.00","$24,500.00",$0.00,$0.00,"$310,000.00","$1,240,000.00","$620,000.00",0,0,0,0,55,15,20,15,0,0,15,0,120,$874.20,"$44,403.00",YES,,2.0
