Rank,"Applicant
LOI (SD#) - (1)
County
RDO / RPM - (2)
Population",,"Primary Project Focus (e.g., Treat, Dist., Storage) 
(4)",Amount Req. ,"POTENTIAL
Base DWSRF Subsidy Amount
(4)",BIL Supplemental Fundable Amount,"POTENTIAL
BIL Supp Subsidy Amount
(4)","ANTICIPATED 
BIL Supp Rates 
& Terms
(6)","Disadvantaged Community
(7)","Grant Award(s)
(5)",Quarter & SFY Added to PPL ,"Project Rating (≤ 30)
(8)"
1,"Umpua Ranch Coop
SD-20-294
Douglas
Sean Stevens / Tawni Bean
161",,"Distribution/Trans.
Storage
Source
Water Rights","$960,000",TBD,Not a 2022 BIL Gen Supp Project,Not a 2022 BIL Gen Supp Project,Not a 2022 BIL Gen Supp Project,Yes,2021,4Q2020,25
2,"Klamath Falls Water Dept.
SD-22-347
Klamath
Larry Holzgang / Tawni Bean
40,475",,"Distribution/Trans
Storage
","$6,000,000",TBD,Not a 2022 BIL Gen Supp Project,Not a 2022 BIL Gen Supp Project,Not a 2022 BIL Gen Supp Project,Yes,2022,3Q2022,20
3,"City of Corvallis
SD-22-351
Benton
Melissa Murphy / Tracy Loomis
56,000",,"Treatment
Distribution/Trans","$10,000,000",TBD,Not a 2022 BIL Gen Supp Project,Not a 2022 BIL Gen Supp Project,Not a 2022 BIL Gen Supp Project,Yes,2022,3Q2022,13
3,"City of Dallas
SD-22-359
Polk
Arthur Chaput / Michelle Bilberry
14,700",,Storage,"$4,425,450",TBD,Not a 2022 BIL Gen Supp Project,Not a 2022 BIL Gen Supp Project,Not a 2022 BIL Gen Supp Project,Yes,2022,3Q2022,13
3,"City of Donald
SD-21-332
Marion
Arthur Chaput / Michelle Bilberry
985",,"Treatment
Source","$1,650,000",TBD,Not a 2022 BIL Gen Supp Project,Not a 2022 BIL Gen Supp Project,Not a 2022 BIL Gen Supp Project,No,2022,4Q2021,13
4,"City of Nehalem
SD-21-329
Tillamook
Melanie Olson / Becky Bryant
1,700",,"Distribution/Trans.
Engineering","$430,000",TBD,Not a 2022 BIL Gen Supp Project,Not a 2022 BIL Gen Supp Project,Not a 2022 BIL Gen Supp Project,Yes,2022,4Q2021,11
5,"Burlington Water District
SD-22-339
Multnomah
Colin Sears / Becky Bryant
340",,"Distribution/Trans.
Meters","$80,000",TBD,Not a 2022 BIL Gen Supp Project,Not a 2022 BIL Gen Supp Project,Not a 2022 BIL Gen Supp Project,No,2022,2Q2022,10
5,"Arch Cape Water District
SD-22-363
Clatsop
Melanie Olson / Melinda Hautala
200",,"Treatment
Distribution/Trans","$152,000",TBD,Not a 2022 BIL Gen Supp Project,Not a 2022 BIL Gen Supp Project,Not a 2022 BIL Gen Supp Project,No,2022,3Q2022,10
6,"City of Independence
SD-22-352
Polk
Arthur Chaput / Michelle Bilberry
8,600",,"Treatment
Distribution/Trans
Storage
Source
Land Acquisition
","$3,100,000",TBD,Not a 2022 BIL Gen Supp Project,Not a 2022 BIL Gen Supp Project,Not a 2022 BIL Gen Supp Project,Yes,2022,3Q2022,9
7,"City of Astoria
SD-21-314
Clatsop
Melanie Olson / Becky Bryant
9,802

",,"Distribution/Trans.
Engineering","$2,790,000",TBD,Not a 2022 BIL Gen Supp Project,Not a 2022 BIL Gen Supp Project,Not a 2022 BIL Gen Supp Project,Yes,2021,3Q2021,8
7,"City of Astoria
SD-21-315
Clatsop
Melanie Olson / Becky Bryant
9,802
",,"Distribution/Trans.
Engineering","$2,930,000",TBD,Not a 2022 BIL Gen Supp Project,Not a 2022 BIL Gen Supp Project,Not a 2022 BIL Gen Supp Project,Yes,2021,3Q2021,8
7,"City of Astoria
SD-22-361
Clatsop
Melanie Olson / Melinda Hautala
10,181",,Distribution/Trans,"$1,902,384",TBD,Not a 2022 BIL Gen Supp Project,Not a 2022 BIL Gen Supp Project,Not a 2022 BIL Gen Supp Project,Yes,2022,3Q2022,8
7,"City of Amity
SD-20-304
Yamhill
Dennie Houle / Michelle Bilberry
1,700
",,"Distribution/Trans.
Storage
Source","$4,000,000",TBD,Not a 2022 BIL Gen Supp Project,Not a 2022 BIL Gen Supp Project,Not a 2022 BIL Gen Supp Project,No,2021,2Q2021,8
7,"City of Carlton
SD-22-360
Yamhill
Arthur Chaput / Michelle Bilberry
2,270",,Distribution/Trans,"$991,000",TBD,Not a 2022 BIL Gen Supp Project,Not a 2022 BIL Gen Supp Project,Not a 2022 BIL Gen Supp Project,No,2022,3Q2022,8
8,"City of Cannon Beach
SD-19-254
Clatsop
Melanie Olson / Becky Bryant
1,577",,"Distribution/Trans.
Engineering","$2,200,000",TBD,Not a 2022 BIL Gen Supp Project,Not a 2022 BIL Gen Supp Project,Not a 2022 BIL Gen Supp Project,Yes,2020,1Q2020,6
8,"City of Cannon Beach 
SD-19-254 (version 2)
Clatsop
Melanie Olson / Becky Bryant
1,577",,"Distribution/Trans.
Engineering
Storage","$13,947,763",TBD,Not a 2022 BIL Gen Supp Project,Not a 2022 BIL Gen Supp Project,Not a 2022 BIL Gen Supp Project,Yes,2021,4Q2020,6
8,"City of Cannon Beach
SD-22-354
Clatsop
Melanie Olson / Melinda Hautala
1,710",,"Distribution/Trans
Storage
","$12,100,000",TBD,Not a 2022 BIL Gen Supp Project,Not a 2022 BIL Gen Supp Project,Not a 2022 BIL Gen Supp Project,Yes,2022,3Q2022,6
8,"City of Estacada
SD-22-357
Clackamas
Colin Sears / Matt Mattia
3,725",,"Distribution/Trans
Storage
","$2,015,000",TBD,Not a 2022 BIL Gen Supp Project,Not a 2022 BIL Gen Supp Project,Not a 2022 BIL Gen Supp Project,No,2022,3Q2022,6
9,"Eastmont Water Company
SD-22-348
Clackamas
Colin Sears / Matt Mattia
250",,Planning,"$80,000",TBD,Not a 2022 BIL Gen Supp Project,Not a 2022 BIL Gen Supp Project,Not a 2022 BIL Gen Supp Project,No,2022,3Q2022,5
9,"City of Silverton
SD-21-320
Marion
Dennie Houle / Michelle Bilberry
10,325",,"Treatment
Distribution/Trans.
","$6,200,000",TBD,Not a 2022 BIL Gen Supp Project,Not a 2022 BIL Gen Supp Project,Not a 2022 BIL Gen Supp Project,No,2021,3Q2021,5
10,"Corbett Water District
SD-21-999
Multnomah
Colin Sears / Becky Bryant
3,300",,"Engineering
Planning
Source","$160,800",TBD,Not a 2022 BIL Gen Supp Project,Not a 2022 BIL Gen Supp Project,Not a 2022 BIL Gen Supp Project,No,2021,3Q2021,3
10,"Boring Water District #24
SD-22-362
Clackamas 
Colin Sears / Matt Mattia
2,500",,"Distribution/Trans
Storage
","$1,750,000",TBD,Not a 2022 BIL Gen Supp Project,Not a 2022 BIL Gen Supp Project,Not a 2022 BIL Gen Supp Project,No,2022,3Q2022,3
