"WaterSystem ID",Water System Name,Population,"ServiceConnections","Degree ofDisadvantaged1",Service Line Inventoried - Material Unknown,"Goosenecks, Pigtails,and ConnectorsInventoried - MaterialUnknown","Estimated Coststo Investigate 2","Estimated Costs toReplace 25% 3"
CA0110001,ALAMEDA COUNTY WATER DISTRICT,351000,86788,Non-DAC,273,273,"$273,000.00","$2,184,000.00"
CA0110003,"CALIFORNIA WATER SERVICE –LIVERMORE",59000,18491,Non-DAC,119,0,"$59,500.00","$476,000.00"
CA0110005,EAST BAY MUD,1300000,390779,Non-DAC,173,0,"$86,500.00","$692,000.00"
CA0110009,DUBLIN SAN RAMON SERVICES DISTRICT,86895,24548,Non-DAC,0,37,"$18,500.00","$148,000.00"
CA0400070,"BUTTE-GLENN COMMUNITY COLLEGEDIST",18000,37,DAC,29,0,"$14,500.00","$116,000.00"
CA0410002,CAL-WATER SERVICE CO.-CHICO,104908,29610,DAC,31,0,"$15,500.00","$124,000.00"
CA0410003,DURHAM IRRIGATION DISTRICT,1561,479,DAC,28,0,"$14,000.00","$112,000.00"
CA0410005,CAL-WATER SERVICE CO.-OROVILLE,10698,3551,DAC,75,0,"$37,500.00","$300,000.00"
CA0910003,"PLACERVILLE, CITY OF - MAIN",10200,2795,Non-DAC,0,350,"$175,000.00","$1,400,000.00"
CA1010026,PINEDALE COUNTY WATER DISTRICT,8495,2120,DAC,35,0,"$17,500.00","$140,000.00"
CA1010339,CALIFORNIA STATE UNIVERSITY FRESNO,41000,159,DAC,75,0,"$37,500.00","$300,000.00"
CA1010501,NPS-GRANT GROVE,2950,100,DAC,129,129,"$129,000.00","$1,032,000.00"
CA1110002,"CAL-WATER SERVICE CO.-HAMILTONCITY",2607,639,DAC,1,0,$500.00,"$4,000.00"
CA1110003,CAL-WATER SERVICE CO.-WILLOWS,7153,2387,DAC,5,0,"$2,500.00","$20,000.00"
CA1210008,GARBERVILLE SANITARY DISTRICT,913,442,DAC,442,442,"$442,000.00","$3,536,000.00"
CA1300009,"WINTERHAVEN COUNTY WATERDISTRICT",394,124,DAC,128,0,"$64,000.00","$512,000.00"
CA1410005,INDIAN CREEK CSD,1030,297,DAC,34,0,"$17,000.00","$136,000.00"
CA1910003,CITY OF ARCADIA,44738,13557,Non-DAC,1491,1491,"$1,491,000.00","$11,928,000.00"
CA1910065,"LONG BEACH-CITY, WATER DEPT.",425000,88879,Non-DAC,0,48,"$24,000.00","$192,000.00"
CA1910079,"LYNWOOD-CITY, WATER DEPT.",71839,9112,DAC,8626,8626,"$8,626,000.00","$69,008,000.00"
CA1910104,"CALIFORNIA WATER SERVICE CO. -PALOS VER",70363,24081,Non-DAC,327,327,"$327,000.00","$2,616,000.00"
CA1910134,"CALIFORNIA WATER SERVICE CO. -HERM/REDO",96456,26722,Non-DAC,75,75,"$75,000.00","$600,000.00"
CA1910142,GSWC-SAN DIMAS,55338,16118,Non-DAC,1727,0,"$863,500.00","$6,908,000.00"
CA1910146,"SANTA MONICA-CITY, WATER DIVISION",89300,16970,Non-DAC,4488,0,"$2,244,000.00","$17,952,000.00"
CA1910242,"CALIFORNIA WATER SERVICE CO-LAKEHUGHES",952,209,Non-DAC,3,3,"$3,000.00","$24,000.00"
CA2110002,MARIN MUNICIPAL WATER DISTRICT,190000,62206,Non-DAC,348,0,"$174,000.00","$1,392,000.00"
CA2210503,YOSEMITE NPS-YOSEMITE VALLEY,1000,235,DAC,235,235,"$235,000.00","$1,880,000.00"
CA2410002,CITY OF DOS PALOS,7452,2521,DAC,38,0,"$19,000.00","$152,000.00"
CA2700548,DOLAN RD MWC,120,40,Non-DAC,15,0,"$7,500.00","$60,000.00"
CA2700638,MAHER RD WS #05,65,17,DAC,17,0,"$8,500.00","$68,000.00"
CA2700665,OAK HEIGHTS W & R CO INC,105,35,Non-DAC,35,0,"$17,500.00","$140,000.00"
CA2700678,PARADISE RD WS #05,42,15,Non-DAC,15,0,"$7,500.00","$60,000.00"
CA2700702,PRUNEDALE MWC,252,84,Non-DAC,84,0,"$42,000.00","$336,000.00"
CA2700709,RANCHO BORROMEO MWS,100,36,Non-DAC,36,0,"$18,000.00","$144,000.00"
CA2700731,Z RANCH MWC,62,27,Non-DAC,27,0,"$13,500.00","$108,000.00"
CA2700740,SAN MIGUEL WS #03,48,16,Non-DAC,16,0,"$8,000.00","$64,000.00"
CA2700772,STRUVE RD WS #02,166,105,DAC,106,0,"$53,000.00","$424,000.00"
CA2701647,GREEN ACRES WA,50,20,Non-DAC,20,0,"$10,000.00","$80,000.00"
CA2701789,HOLLY HILLS MWC,108,27,Non-DAC,27,0,"$13,500.00","$108,000.00"
CA2702003,VIERRA MEADOWS MWC,75,25,Non-DAC,25,0,"$12,500.00","$100,000.00"
CA2702388,ROYAL OAK PLACE WS,60,20,Non-DAC,32,0,"$16,000.00","$128,000.00"
CA2702608,THIMIO MWC,60,21,DAC,21,0,"$10,500.00","$84,000.00"
CA2710009,CWSC KING CITY,14441,2749,DAC,637,0,"$318,500.00","$2,548,000.00"
CA2710010,CWSC SALINAS,106858,24712,Non-DAC,297,0,"$148,500.00","$1,188,000.00"
CA2710702,FORT HUNTER LIGGETT,5000,160,Non-DAC,25,25,"$25,000.00","$200,000.00"
CA3301226,MWD - EAGLE MOUNTAIN,16,25,Non-DAC,1,0,$500.00,"$4,000.00"
CA3301276,THERMAL MUTUAL WATER COMPANY,100,36,DAC,36,0,"$18,000.00","$144,000.00"
CA3301380,SAINT ANTHONY TRAILER PARK,340,68,DAC,95,0,"$47,500.00","$380,000.00"
CA3310022,LAKE HEMET MWD,50001,14310,DAC,1814,0,"$907,000.00","$7,256,000.00"
CA3410001,"SACRAMENTO SUBURBAN WATERDISTRICT",184385,46573,Non-DAC,717,0,"$358,500.00","$2,868,000.00"
CA3410014,"FOLSOM, CITY OF - MAIN",68122,21424,Non-DAC,959,0,"$479,500.00","$3,836,000.00"
CA3410020,CITY OF SACRAMENTO MAIN,433400,142794,Non-DAC,29005,0,"$14,502,500.00","$116,020,000.00"
CA3410303,PRAIRIE CITY SVRA,8,15,DAC,15,0,"$7,500.00","$60,000.00"
CA3500830,FALLON ROAD LABOR HOUSING,84,7,DAC,7,0,"$3,500.00","$28,000.00"
CA3510002,"SAN JUAN BAUTISTA, CITY OF",2335,834,Non-DAC,109,0,"$54,500.00","$436,000.00"
CA3600382,MWD OF SO CAL IRON MOUNTAIN,27,38,Non-DAC,31,0,"$15,500.00","$124,000.00"
CA3600383,MWD OF SO CAL GENE PLANT,109,61,Non-DAC,21,0,"$10,500.00","$84,000.00"
CA3610004,WEST VALLEY WATER DISTRICT,94332,23153,Non-DAC,378,0,"$189,000.00","$1,512,000.00"
CA3610026,"SBDNO COUNTY SERVICE AREA 70CEDAR GLEN",1236,342,DAC,294,0,"$147,000.00","$1,176,000.00"
CA3610029,MONTE VISTA CWD,134861,11940,Non-DAC,5061,0,"$2,530,500.00","$20,244,000.00"
CA3610036,"CHINO HILLS, CITY OF",82661,21629,Non-DAC,2144,0,"$1,072,000.00","$8,576,000.00"
CA3610039,SAN BERNARDINO CITY,204870,45413,DAC,427,427,"$427,000.00","$3,416,000.00"
CA3610073,HI DESERT WD,25653,10766,DAC,911,911,"$911,000.00","$7,288,000.00"
