"State","City Served","Borrower","PWSID","Project Name","Project Description","Project Type","Funding Amount","Principal Forgiveness","Population","Meets State Disadvantaged Criteria","State Rank","State Score"
"Alabama","Lauderdale","Florence, City of (Supplemental)","AL0000783","FS010168-03 City of Florence - Florence Water System Improvements (2022 Supplemental)","The City of Florence proposes a long-range project to upgrade the existing water treatment plants and distribution system. The project will be completed in four phases and consist of replacing aerator, flocculator drives, lime feeder, upgrading the effluent troughs and installing continuous sludge removal equipment at Wilson Lake Water Treatment Plant; improving intake, rapid mixing and settling basins, install static screens, replacing raw water pumps, media, underdrains and lime feeder, upgrade treatment building, upgrade flocculators, upgrading filter pipe gallery and installing a generator at Cypress Creek Water Treatment Plant; replace and upgrade water lines throughout the distribution system; replace and upgrade booster pump stations; abandon, replace and construct water storage tanks throughout the distribution system. Completion of this proposed project will reduce leaks and unaccounted for water loss, resolve pressure issues, provide redundancy in the distribution system and increase the City of Florence ability to meet current and future demands of the water system.","Other","13500000","500000","77754","Yes","No Information",""
"Alabama","Madison","Huntsville Utilities (Supplemental)","AL0000882","FS010153-04 Huntsville Utilities - Huntsville Utilities Water System Improvements (2022 Supplemental)","Huntsville Utilities has proposed a project for various water system improvements. The project consists of the construction of a transmission main along Bailey Cove Rd., Swancott Road and Research Park Blvd. The project also includes the construction of a water main along Swancott Road and US Highway 72. Rehabilitation improvements will also be made to the South Parkway Water Treatment Plant and the South West Water Treatment Plant. A water storage tank will also be constructed in order to provide better redundancy and storage to the US Highway 72 West area.","Other","5620000","0","196219","No","No Information",""
"Alabama","Mobile","Mobile, AL (MAWSS), Board of Water and Sewer Commissioners of the City of (Supplemental)","AL0001005","FS010096-08 Mobile Board of Water & Sewer Commissioners (MAWSS) – Mobile DWSRF Master Plan Phase I (2019-2023) Supplemental","The Mobile Board of Water and Sewer Commissioners (MAWSS) proposes improvements to Stickney WTP which include installation of VFD and actuator pumps, improvements to Operations Building, HVAC improvements to blower and sludge pump buildings, replacement of six (6) MCCs, new emergency generator, new main electrical and generator building, repairs and renovations to reservoirs, new finished water line to clearwells, new laboratory, security upgrades, new flammable storage building, and sludge removal; solids handling and SCADA improvements at Myers WTP; DC to AC conversion study and emergency by-pass connection at Big Creek Pump Station; development of SCADA change management processes and procedures; design and implementation support of Wide Area Network (WAN) SCADA; development of updated radio telemetry; cybersecurity program design: structural, mechanical, and electrical upgrades to various booster pump stations; and implementation of permanent spill isolation and contamination prevention BMPS at Big Creek Lake. These improvements will insure continued provision of safe drinking water to all service area customers.","Other","6513925","0","259224","Yes","No Information",""
"Alabama","Tuscaloosa","Tuscaloosa, City of (Supplemental)","AL0001313","FS010085-04 City of Tuscaloosa - Tuscaloosa Water System Improvements (2022 Supplemental)","The City of Tuscaloosa is proposing to replace various sections of deteriorated water main at several locations throughout their service area; install additional water mains in order to increase system pressures; rehabilitate 3 existing water storage tanks; and replace approximately 910 LF of deteriorated 36 inch diameter steel raw water line. Proposed improvements will ensure system compliance and the continued provision of adequate and safe drinking water to all service areas customers.","Other","12000000","0","120000","No","No Information",""
"Alabama","Lowndes","Hayneville, Town of","AL0000847","FS010127-05 Town of Hayneville – Hayneville Water System Improvements","The purpose of this project is to solidify the Town of Hayneville’s potable water system by providing it with a more robust water supply and a secondary potable water source. The project consists of the construction of a municipal water supply well in the downtown area of Hayneville capable of producing up to 300 gallons per minute and system wide permanent water main point repairs. Currently, the entire western portion of their water system is fed by a single well, and construction of a new well will allow the town to have a backup water supply should the first well fail.","Other","2899288","2899288","1185","Yes","No Information","325"
"Alabama","Mobile","Mobile, AL (MAWSS), Board of Water and Sewer Commissioners of the City of","AL0001005","FS010096-09 Mobile Board of Water & Sewer Commissioners (MAWSS) – Mobile Causeway Water Main Replacements and Rehabilitation","Mobile Board of Water & Sewer Commissioners proposes the emergency replacement and/or rehabilitation of various existing sections of the Causeway Water Main to the Spanish Fort Water System which are experiencing significant water loss. Proposed improvements will include replacing or rehabilitating more than 9,300 LF of 20-inch HDPE main. As MAWSS currently supplies 70% of Spanish Fort’s total water supply, these repairs are immediately and urgently needed to eliminate existing water loss.","Other","2200000","0","259224","No","No Information","135"
"Alabama","Houston","Dothan, City of","AL0000681","FS010123-02 City of Dothan – Dothan 2022 Ross Clark Circle and Red Water Main Replacement","This project the City of Dothan is proposing includes the construction and inspection for the upgrade and replacement of certain galvanized and unlined cast iron water lines that have reached the end of their service life. These water lines are responsible for numerous leaks causing service interruptions and requiring roadway replacements. Additionally, these antiquated water lines are responsible for numerous water quality complaints due to odorous and discolored water. In addition, this project will include the replacement of failing infrastructure including larger diameter water lines along the Ross Clark Circle (SR210) loop which serves as a backbone to the City of Dothan water system. Since the pipe was installed there have been multiple failures resulting in property damage and large-scale service interruptions to critical industrial and health care institutions, thereby adversely affecting customer quality of life.","Other","10528272","528272","97200","Yes","No Information","130"
"Alabama","Mobile","Mobile, AL (MAWSS), Board of Water and Sewer Commissioners of the City of","AL0001005","FS010096-08 Mobile Board of Water & Sewer Commissioners (MAWSS) - Mobile DWSRF Master Plan Phase I (2019-2023) Supplemental","The Mobile Board of Water and Sewer Commissioners (MAWSS) proposes improvements to Stickney WTP which include installation of VFD and actuator pumps, improvements to Operations Building, HVAC improvements to blower and sludge pump buildings, replacement of six (6) MCCs, new emergency generator, new main electrical and generator building, repairs and renovations to reservoirs, new finished water line to clearwells, new laboratory, security upgrades, new flammable storage building, and sludge removal; solids handling and SCADA improvements at Myers WTP; DC to AC conversion study and emergency by-pass connection at Big Creek Pump Station; development of SCADA change management processes and procedures; design and implementation support of Wide Area Network (WAN) SCADA; development of updated radio telemetry; cybersecurity program design: structural, mechanical, and electrical upgrades to various booster pump stations; and implementation of permanent spill isolation and contamination prevention BMPS at Big Creek Lake. These improvements will insure continued provision of safe drinking water to all service area customers.","Other","7336075","0","259224","Yes","No Information",""
"Alabama","Clarke,Monroe,Wilcox","CWM (Clarke, Wilcox, and Monroe) Water Authority","AL0001764","FS010404-01 Clarke, Wilcox, and Monroe Water Authority – CWM New Well and Treatment","The CWM Water Authority proposes a project to address longstanding water quality problems and provide a safe water supply to CWM customers by developing a water supply well at Lower Peach Tree and constructing a reverse osmosis Water Treatment Plant at the site. Water produced by this well/treatment facility would be virtually free of DBP precursors, total dissolved solids, and other contaminants which tend to produce HAA5 and TTHM compounds. The project would provide a safe and healthier supply of water to CWM customers.","Other","743505","743505","1800","Yes","No Information","370"
"Alabama","Wilcox","Wilcox County Water and Sewer District","AL0001371","FS010384-01 Wilcox County Water and Sewer District - Wilcox Water Well Improvements","Wilcox County Water and Sewer District proposes to install 2 new water wells to include well house, backup generator, telemetry, piping, and disinfection equipment. Completion of this project would result in lower costs for purchasing water.","Other","736080","0","8423","Yes","No Information","250"
