State,TwentyYearNeed,Base,General,Emerging Contaminants,Lead,Total,PipeEstimates
Alabama,12178000000,8719000,37177000,13490000,28650000,88036000,91544
Alaska,910700000,4938000,21055000,7640000,28650000,62283000,1454
Arizona,12048700000,8638000,36833000,13365000,28650000,87486000,11429
Arkansas,7683800000,5912000,25209000,9147000,45299000,85567000,171771
California,83515200000,53272000,227150000,82428000,28650000,391500000,13476
Colorado,12067800000,8650000,36884000,13384000,32600000,91518000,111907
Connecticut,4910100000,4938000,21055000,7640000,39954000,73587000,146574
Delaware,864000000,4938000,21055000,7640000,28650000,62283000,42479
Florida,26749600000,17820000,75982000,27572000,254788000,376162000,1159300
Georgia,19655200000,13389000,57090000,20716000,28650000,119845000,45985
Hawaii,1267100000,4938000,21055000,7640000,28650000,62283000,9589
Idaho,1721600000,4938000,21055000,7640000,28650000,62283000,49434
Illinois,22210800000,14985000,63895000,23186000,230177000,332243000,1043294
Indiana,11783800000,8473000,36128000,13109000,65161000,122871000,265400
Iowa,10104700000,7424000,31656000,11487000,29319000,79886000,96436
Kansas,7035100000,5507000,23482000,8521000,28650000,66160000,54107
Kentucky,7842900000,6012000,25633000,9301000,28650000,69596000,40207
Louisiana,9011100000,6741000,28744000,10430000,65497000,111412000,266984
Maine,1013900000,4938000,21055000,7640000,28650000,62283000,18057
Maryland,14644900000,10260000,43747000,15874000,28650000,98531000,71166
Massachusetts,15192800000,10602000,45206000,16404000,33700000,105912000,117090
Michigan,16257700000,11267000,48042000,17433000,72881000,149623000,301790
Minnesota,10177500000,7470000,31850000,11557000,37896000,88773000,136873
Mississippi,8118900000,6184000,26368000,9568000,28650000,70770000,11098
Missouri,11089400000,8039000,34278000,12438000,51736000,106491000,202112
Montana,1553800000,4938000,21055000,7640000,28650000,62283000,14125
Nebraska,2235900000,4938000,21055000,7640000,28650000,62283000,53230
Nevada,6414900000,5120000,21830000,7921000,28650000,63521000,9048
New Hampshire,1363000000,4938000,21055000,7640000,28650000,62283000,14819
New Jersey,12252800000,8766000,37376000,13563000,82971000,142676000,349357
New Mexico,1616700000,4938000,21055000,7640000,28650000,62283000,15453
New York,35147700000,23065000,98347000,35687000,113656000,270755000,494007
North Carolina,20004900000,13607000,58021000,21054000,87290000,179972000,369715
North Dakota,1951100000,4938000,21055000,7640000,28650000,62283000,26443
Ohio,16071800000,11151000,47547000,17253000,166913000,242864000,745061
Oklahoma,9708900000,7177000,30602000,11104000,28650000,77533000,28679
Oregon,10110500000,7428000,31672000,11493000,28650000,79243000,3530
Pennsylvania,24301100000,16290000,69462000,25205000,154956000,265913000,688697
Rhode Island,1029000000,4938000,21055000,7640000,28650000,62283000,75749
South Carolina,8099400000,6172000,26316000,9549000,31809000,73846000,108177
South Dakota,999900000,4938000,21055000,7640000,28650000,62283000,4141
Tennessee,11526800000,8312000,35443000,12861000,89756000,146372000,381342
Texas,61253100000,39369000,167867000,60914000,146246000,414396000,647640
Utah,1898400000,4938000,21055000,7640000,28650000,62283000,14293
Vermont,888700000,4938000,21055000,7640000,28650000,62283000,5263
Virginia,9382200000,6973000,29732000,10789000,48717000,96211000,187883
Washington,16322500000,11307000,48214000,17495000,28650000,105666000,22030
West Virginia,1591300000,4938000,21055000,7640000,28650000,62283000,20259
Wisconsin,11755700000,8455000,36053000,13082000,81203000,138793000,341023
Wyoming,629800000,4938000,21055000,7640000,28650000,62283000,10477
