Loan Applicant,L17#,Project Description,Facility No.,Estimated Construction Start,Estimated Loan Amount
Bond Madison Water Company,4892,"Water main extension/looping, paint water tower, add mixers & VFO's.",IL0050020,2023-05-01 0:00:00,"$2,000,000"
Calumet Park,TSD,"Pump station and SCADA system Improvements, replace watermains.",IL0310420,2022-06-30 0:00:00,TBD
Central lake County JAWA,S186,New raw water intake.,IL0971070,2023-06-30 0:00:00,"$15,000,000"
Channahon,TSD,New supply well and treatment plant.,ll1970200,2022-11-01 0:00:00,"$7,200,000"
Chester,3508,Treatment plant renovations with grit removal system. (Phase 2),IL1570100,2022-08-01 0:00:00,"$5,915,000"
Chicago,TSD,Replace electrical equipment and pump stations.,IL0316000,2021-11-29 0:00:00,"$2,500,000"
Chicago,TSD,New phosphate feed system at SWPP.,ILD316000,2021-11-01 0:00:00,"$9,000,000"
Chicago,TSD,New phosphate feed system at JWPP.,ll0316000,2021-11-01 0:00:00,"$6,500,000"
Chicago Heights,TSD,Watermain replacement.,IL0310450,2022-06-01 0:00:00,"$2,000,000"
Chicago Heights,6014,Repair and repaint both ground and elevated storage tanks.,ll0310450,2022-04-01 0:00:00,"$2,500,000"
Chicago Heights,4823,Rehab pump stations and SCADA system.,ll03104S0,2022-04-01 0:00:00,"$3,000,000"
Clayton Camp Point WC,2814,Supply and distribution system improvements.,ll0015200,2021-06-03 0:00:00,"$4,500,000"
Coal City,3S12,"Expand treatment plant, new well for radium removal.",ll0630200,2022-04-01 0:00:00,"$5,200,000"
Crest Hill,TSD,New well.,ll1970250,2022-07-01 0:00:00,"$451,520"
Crest Hill,TSO,New treatment plant and well No. 14.,ll1970250,2022-09-01 0:00:00,"$3,301,380"
Crystal Lake,5734,New Well No.19 and transmission main to treatment plant.,ll1110150,2022-02-01 0:00:00,"$7,807,296"
De Soto,TSD,Repaint interior and exterior of water tank.,IL0770200,2022-03-01 0:00:00,"$452,000"
De Soto,TSD,Replace meters and watermains.,IL0770200,2022-02-01 0:00:00,"$1,141,621"
Dowell,TSD,Extend watermain for emergency interconnect.,IL0770250,2022-03-01 0:00:00,"$207,500"
Downers Grove,TSD,Replace watermains. (Phase l),Jl0430300,2022-05-16 0:00:00,"$3,900,000"
Downers Grove,TSD,Replace watermains. (Phase 2),Jl0430300,2023-04-14 0:00:00,"$3,000,000"
Downers Grove,TSD,Replace watermains. (Phase 3),ll0430300,2024-04-19 0:00:00,"$7,650,000"
Downers Grove,TSD,Replace watermains. (Phase 4),IL0430300,2025-04-15 0:00:00,"$5,000,000"
Downers Grove,TSD,Replace watermains. (Phase 5),IL0430300,2026-04-16 0:00:00,"$5,000,000"
Downs,TSO,Rehab pump station and replace watermains.,ll1130500,2022-09-01 0:00:00,"$1,000,000"
Edinburg,3922,"Replace raw watermains, and install interconnect.",IL0210150,2021-07-25 0:00:00,"$1,009,000"
Elverado Water District,TSD,Repaint water tower.,!L0770010,2022-05-01 0:00:00,"$355,500"
