Loan Applicant,L17#,Project Description,Facility No.,Estimated Construction Start,Estimated Loan Amount  
Plainfield,6004,Replace lead service lines.,1l1970800,2022-04-01 0:00:00,400000
Galesburg,5826,Replace lead service lines. (Phase 6),1IL0950200,2022-06-01 0:00:00,2000000
Calumet City,5766,Replace 400 lead service lines. (Phase 2),I!L0310390,2022-09-25 0:00:00,4000000
Dixmoor,5977,Replace lead service lines. (Phase 2),hL0310660,2022-10-15 0:00:00,2000000
Robbins,5894,Replace lead service lines. (Phase 2),IlL0312700,2022-10-15 0:00:00,4000000
Calumet City,5767,Replace 400 lead service lines. (Phase 3),IL0310390,2023-09-25 0:00:00,4000000
Robbins,5929,Replace lead service lines. (Phase 3),ll0312700,2023-10-15 0:00:00,4000000
Calumet City,5768,Replace 400 lead service lines. (Phase 4),IIL0310390,2024-09-25 0:00:00,4000000
Robbins,5930,Replace lead service lines. (Phase 4),ILD312700,2024-10-15 0:00:00,4000000
Calumet City,5769,Replace 400 lead service lines. (Phase 5),ll0310390 ,2025-09-25 0:00:00,4000000
