PPL Rank,PPL Score,Participant,MHI,Population Served,PWSID No.,SRF Project No.,Project Description,EPA’s Sustainability Policy Category,Estimated Green Project Reserve Cost,Green Project Reserve Category,"Current User Rate (per 4,000 gallons)","Estimated Post-Project User Rate (per 4,000 gallons)",Requested Funds,Estimated Total Project Cost,Cumulative Requested Funds,Cumulative Total
1,54,North Salem,"$39,943.00",504,5232017,DW190332 01,"Supply, Plant, and Storage Improvements",1,$0.00,N/A,$57.25,$91.60,"$2,170,000.00",,"$2,170,000.00",
2,52,Crown Point,"$77,537.00","30,000",5245008,DW180445 03,"New Storage and Distribution System Improvements, and LeadService Line Replacement","1, 2",$0.00,N/A,$50.74,$55.81,"$7,000,000.00",,"$9,170,000.00",
3,51,Andrews,"$40,333.00","1,149",5235001,DW160935 01,New Plant,1,TBD,TBD,$29.60,$67.20,"$2,739,000.00",,"$11,909,000.00",
4,50,Martinsville,"$46,635.00","15,000",5255009,DW191255 02,"Supply, Plant and Distribution System Improvements",1,$0.00,N/A,$33.47,$36.27,"$6,211,000.00",,"$18,120,000.00",
5,48,Nappanee,"$52,744.00","6,648",5220016,DW200920 02,"Storage and Distribution System Improvements and Lead ServiceLine Replacement","1, 2",$0.00,N/A,$19.55,$27.46,"$7,250,000.00",,"$25,370,000.00",
6,45,"Jackson CountyWater Utility","$49,506.00","13,050",5236003,DW210336 04,"Distribution System Improvements and Lead Service LineReplacement",1,TBD,TBD,$46.16,TBD,"$3,220,000.00",,"$28,590,000.00",
7,45,Grabill,"$55,536.00","1,325",5202006,DW201302 02,"Supply, Plant, Treatment and Distribution System Improvements",1,"$296,000.00","EE, WE",$17.96,$41.14,"$5,195,000.00",,"$33,785,000.00",
8,41,Lebanon,"$50,480.00","16,098",5206003,DW181306 02,Distribution System and Capacity Improvements,1,TBD,TBD,$34.26,$40.16,"$7,738,605.00",,"$41,523,605.00",
9,41,"Indiana AmericanWater Company",Various,Various,Various,DW182141 09,Lead Service Line Replacement,1,$0.00,N/A,$34.84,$34.84,"$26,523,000.00",,"$68,046,605.00",
10,38,Monticello,"$44,278.00","5,300",5291011,DW210191 02,"Distribution System Improvements and Lead Service LineReplacement",1,$0.00,N/A,$22.05,$25.00,"$2,141,250.00",,"$70,187,855.00",
11,38,Monroe,"$61,250.00",872,5201004,DW190101 01,Plant and Distribution System Improvements,"1, 2",$0.00,N/A,$54.25,$94.50,"$3,760,569.00",,"$73,948,424.00",
