System Name,PWSID,Est. Loan Amount,Points,Rank,Population,Project Description,Est. Date to Close Loan
"Red Hill Waterworks, Inc.",1043018,930000,62,1,1872,"Proposed project involves the construction of two spray nozzle aeration systems, a new 54,000 gallon GST, two liquid ammonium sulfate (LAS) systems for chloramination, and approxiamately 7,350 linear feet of 6"" water mains. AO: C-17-043-008-ETT",December-21
"City of Slidell",1103041,2470000,47,2,28013,"The proposed project will connect both of the City of Slidell's currently separated water systems with a 16-inch diameter transmission main that will allow water to be provided from one system to another in both directions.",October-21
"Village of Harrisonburg",1025004,2693992,42,3,1290,"To tie the Harrisonburg Water System into the Enterprise Water System via a water transmission line from the existing Harrisonburg distribution line. Harrisonburg: AO:C-19-025-027-ETT TTHMS Enterprise: AO: C-18-025-046-ETT-M-I for TTHMS, inadequate CR, PNs, corrosion control.",July-22
"Lake St. John WWD",1029006,238000,39,4,1920,"Lake St. John Waterworks District l proposes the construction of a new water treatment plant (GAC), booster station, ground storage tank, site piping and related work. This station shall function as the primary production and treatment facility for the District. The new station shall be integrated with the existing distribution system and elevated storage tank. The existing booster station shall be abandoned and repurposed as the District's office. AO: C-18-029-010-P-1 (Notice of Penalties) Lake St. John also sells water to North Lake St. John WS (1029014). They are also under AO: C-18-029-024-P-I. The work should correct this AO also.",September-21
"City of Lake Charles",1127017,20000000,38,5,1595,"Proposed project involves the construction of a new ground storage tank at the Hanna's Mill Facility of the Tannehill Water System, Inc. The existing GST is undersized and doesn't meet the current demand of the system.",January-22
"City of Winnfield",1127012,1230000,36,6,5000,"Consolidation of HWY 84 West into the of City of Winnfield's water system. Construction will consist of: installation of various distribution piping, valving, and metering improvements to connect the existing distribution systems. Also included in the project is the construction of an in-line booster station, chloramination system, site piping and sity work. HWY 84: AO: C-14127-033-S1-DDBP-M-I for TTHMS, Cross Connection, Pressure Tank Discharge piping corroded, lockable ladder guard not provided.",November-21
"Tannehill Water System, Inc. (Loan 2)",1073060,1355000,36,7,4800,"The proposed project is to construct two new GAC treatment plants one at the Tannehill site and the other at the Hanna's Mill site and associated items. The project also provides for a new booster station enclosures and electrical at both stations. A new ground storage tank is also proposed at the Tannehill Station.",January-22
"Henderson/Nina Water System",1099006,4000000,33,8,4365,"Consolidation Project. The proposed project involves installing water lines from the Henderson-Nina Water System to Butte LaRose consolidating community and non community water systems along the route. To accomplish this task it is proposed to install approximately 18,000 L.F. of 12"" PVC, 10,500 L.F. of 10"" PVC, 17,000 L.F. of 8"" PVC, 19,000 L.F of 6"" PVC, 12,000 L.F. of 4"" PVC, and 30,500 L.F. of 3"" PVC. Also included is GST, booster pumps and chlorination station at the Butte La Rose site.",August-21
"Jefferson Parish (Loan 2)",1051001,30000000,33,9,432552,"Rehabilitate the raw water intake pump station. Construct a new 40MGD treatment facility including; flow split/flash mixing, floccluation/sedimentation, filtration, chemical storage/feed facilities, clearwell and high service pump, solid handiling. Construct a new 10,000 sqft chemistry laboratory, and rehabilitate plant 3 to a facility capable of treating 62MGD.",June-22
"City of Scott (Loan 2)",1055026,6400000,30,10,3131,"This project will consist of upgrading and improving the City of Scott Water System. This will be accomplished by purchasing property, constructing a water well (to produce approx 40% of the water it now puchases from LUS nad provide for source redundancy), constructing a water treatment facility to treat water produced from the new water well, constructing an onsite ground storage tank (to provide up to 2 days of potable water storage) with transmission pumps, installing water mains to tie into the existing City water system, installing larger water mains in existing areas of the City water system to eliminate low pressure areas, installing SCADA programming and controls for the system, and installing associated appurtenances.",December-21
"City of Natchitoches (Loan 4)",1069007,2110000,28,11,17831,"Phase I of the project shall provide the complete replacement of several sections of the water distribution system within the City of Natchitoches that have recorded many leaks and complaints of pressure loss. The project shall include mains, meters, valves, hydrants, erosion control and related work.",April-22
"South Toledo Bend WWD",1085055,2100000,28,12,4000,"The proposed project will consist of abandoning the existing surface water supply and treatment system and replacing with a new groundwater supply and treatment system. The new groundwater supply and treatment system will consist of construction of a new water well, chlorine treatment for disinfection, and additional treatment, such as GAC filters, to prevent the exceedance of TTHM and HAA5 contaminants. The ground storage tanks at the existing Beaver Hill and Park Site 15 booster stations will also be replaced. AO: C-19-085-031-ETT: Violations to MCL exceedances on TTHMs and HAA5's.",December-21
"City of Grambling Water System",1061006,2200000,26,13,5000,"Proposed project involves renovation of the City's distribution system. The project shall install various distribution piping, valving, and metering improvements to eliminate excessive water losses. Currently the City has an excess water loss of 25%.",June-22
"L & R Utilities(Lincoln Subdivsion)",1073090,290000,25,14,965,"All four systems consolidating together will then purchase water from Better Waterworks PWS ID NO. LA1073003 (Pop Served 2160 Service Connections 720)Four WS to consolidate to Lincoln PWS ID NO. 1073090;Lincoln PWS ID NO: LA1073090 (Private for Profit, Community GW System);Population Served 490 via 163 Service Connections (SDWIS States 150 via 50 SCs);Hidden WS PWS ID No. LA1073061 (Private Not for Profit, Community GW System) Population Served 390 via 130 SCs;Wildwood WS PWS ID No. LA1073110 (Private Not for Profit, Community GW System) Population Served 72 via 24 SCs;Pecan WS PWS ID No. LA1073063 (Private Not for Profit, Community GW System) Population Served 50 via 17 SCs;Ouachita, OPH Region 8, District 4",October-21
"Walnut Bayou Water Association, Inc Loan 2",1065004,1000000,25,15,3100,"Proposed project involves the construction of new water main from the WS existing elevated tank to the WS Office Booster Station site. USDA will pay the remaining amount from existing USDA loan. This contract is a part of the original interim finance project in Loan 1.",December-21
"Broussard Water System (Loan 2)",1055003,5500000,26,16,5112,"Construct 3 new water treatment facilities and appurtenances to treat water produced at the three new water well sites to achiev consistent water quality. City will complete the transition process from three separate water systems to consolidate into a single water system. The Broussard #1055194 and Broussard Water Purchase System #1055193 will directly benefit from this project.",May-22
"Village of Simsboro",1061018,1500000,24,17,1083,"The proposed project shall provide for a partial replacement of the Village's water mains, valves, meter assemblies and associated items. The majority of the existing distribution system is in excess of 50 years old. The DI mains have significant tuberculation causing water quality and fire/peak demand issues. Also most of he WS's isolation valves are lost or not operational.",January-22
"Hebert Water System",1021006,2600000,24,18,2875,"This project consists of the construction of an Office/Shop Building, Pumping Plant Rehabilitation, 150K Gal EST, Paint Existing EST, Waterline Replacement (10,000' of 10"" dia, 13,515' of 8"" dia, 6,990' of 6"" dia., and 12,000' of 4"" dia.) and other related system improvements.",June-22
"Culbertson Water System, Inc.",1061024,1290000,23,19,2526,"Construct a new Carbon Absorption filter plant and source pipeline and associated improvements.",March-22
"Town of Zwolle",1085032,680000,22,20,1924,"The general scope of the project includes the installation of a filtration system and other treatment system improvements, along with associated piping to deliver water to the filtration system, electric power and controls and miscellaneous other items to complete the project. AO: C-16-085-035-ETT for DBP, (TTHM and HAA5s).",May-22
"Henderson/Nina Water System",1099006,4512000,22,21,4365,"Constucting a new water well, water treatment plant improvements, including a new pressure filter system, ion exchange water softener, and new water lines to serve existing and future customers in Butte LaRose area.",July-21
"Town of Sunset (Loan 2)",1097015,2350000,20,22,3080,"The proposed project consists of one water treatment facility, with appurtenances, and interconnected water lines to treat water from existing water wells.",June-21
"Better Waterworks, Inc.",1073003,1210000,19,23,2160,"The proposed project shall provide for a 400,000 gallon GST, 40 HP booster station with VFD and CMU building, 12"" Magnetic Flow meter, emergency power system, and associated minor grubbing and piping for this site.",September-21
"Lafayette Parish WWD North (2nd Loan)",1055171,10527000,18,24,30588,"The LPWDN has complied an extensive list of future projects. It is believed it will take at least 10 years to complete all the projects. The projects include: installation of electronic meters, new transmission line from Gloria Switch Rd to Jolie Rd, a new waterline along East I-49 Service Rd, one along Hwy 1252, and another on landry Rd from Tabb Rd to North Fieldspan Rd.",December-22
"Prairie Ronde Water System",1097014,2326300,17,25,6700,"Consolidation Project. To consolidate the Grand Prairie Water System into Prairie Ronde water System. Grand Prairie is under AO: C-18-097-037-ETT",May-22
"Bayou Liberty Water Association",1103005,1500000,17,26,10500,"The proposed project will construct a new water well to replace Water Well No. 3 located at Camp Villere Road in Slidell. The existing well was construction in 1980's and is currently production sand.",September-21
