Rank,Points,Project Title,Project Number,Benefited Population,Problem Description,Project Description,Applicant Name,County,Leg District,Cong District,W/S,PFA,Public/Private,System Size,Disadvantaged,Start Date,End Date,Total Cost ($),Green Cost ($),CD Code,Audit,Plan,Green(W),Design Date,Project Type,Compliance,Requested Funding,PWSID
1,102,CHESAPEAKE HEIGHTS WATER DISTRIBUTION SYSTEM REPLACEMENT,DW0008,705,"FREQUENT LEAKS/BREAKS OF 2"" GALVANIZED WATER MAIN MAKE SYSTEM SUSCEPTIBLE TO BACKFLOW AND CONTAMINANTS","D/C REPLACEMENT OF 26,939 LF W/4""-8"" C-900 PIPE, INC. NEW VALVES AND FIRE HYDRANTS","EMILY MATTHEWS, CALVERT COUNTY BOARD OF COUNTY COMMISSIONERS",Calvert,27C,5,Y,2,PUBLIC,Small,0,12/01/2021,12/31/2022,1100000,0,1,Y,,, 03/01/2021,TRANSMISSION/DISTRIBUTION,,"1,000,000",MD0040018
2,100,"HANCOCK WATER DISTRIBUTION SYSTEM IMPROVEMENTS, PHASE 1",DW0027,4100,FAILING WATER DISTRIBUTION MAINS AND UNSERVED ANNEXED PORTION OF TOWN (INC LANCO) ON PRIVATE WELL,"D/C REPLACEMENT OF 19,200 LF DISTRIBUTION MAINS/METERS; 3600 LF EXT'N FOR WATER SERVICE TO ANNEXED PORTION OF TOWN","JOSEPH GILBERT, TOWN OF HANCOCK",Washington,1C,6,Y,Y,PUBLIC,Small,1,05/01/2022,05/31/2023,7630000,0,1,Y,,,04/01/2021,TRANSMISSION/DISTRIBUTION,,"7,610,000",No Information
3,95,CASCADE TOWN CENTER WATER SYSTEM IMPROVEMENTS,DW0028,650,NEGLECTED WATER SYSTEM AT FORMER FORT RITCHIE BASE; INOPERATIONAL WELLS (#4 IS GWUDI) AND PUMPS,D/C UPGRADES TO REPLACE CONTROLS AND PUMPS AT WELL #5 AND #7 TO SUPPLY WATER TO HIGHFIELD/CASCADE/PEN MAR; ABANDON,"MARK BRADSHAW, WASHINGTON COUNTY BOARD OF COUNTY COMMISSIONERS",Washington,2A,6,Y,Y,PUBLIC,Small,1,10/01/2021,12/31/2021,100000,0,1,Y,Y,,10/01/2020,SOURCE,,"75,000",MD0210007
4,85,TOWN OF VIENNA WATER TREATMENT PLANT REPLACEMENT,DW0016,600,AGING WTP AT A DISTANCE FROM TOWN IMPACTS CHLORINATION/FLUORIDATION; CONTROL SYSTEMS CORRODING; IRON EXCEEDANCES,D/C NEW WTP ADJACENT TO EXISTING WATER TOWER W/SCADA AND CONTROL ROOM SEPARATE FROM TREATMENT,"CINDY MCFARLANE, COMMISSIONERS OF VIENNA",Dorchester,37B,1,Y,2,PUBLIC,Small,1,11/01/2021,07/31/2022,525174,0,1,,,,05/01/2021,TREATMENT,Y,"512,674",MD0090008
5,82,EDGEWATER BEACH WATER SYSTEM EXTENSION,DW0003,418,COMMUNITY DEVELOPED ON PRIVATE WELLS AND OSDS; 3 WELLS HAVE ELEVATED NITRATES ABOVE STANDARDS,P/D/C WATER SYSTEM EXTENSION TO CONNECT 167 HOMES TO COUNTY-OWNED PUBLIC WATER SYSTEM,"KIMBERLY CLUNEY, ANNE ARUNDEL COUNTY",Anne Arundel,30B,4,Y,5,PUBLIC,Small,0,11/01/2022,02/28/2024,5850902,0,1,Y,Y,,03/01/2021,TRANSMISSION/DISTRIBUTION,,"5,850,902",MD0020004
6,80,SNOW HILL PURNELL STREET WATER IMPROVEMENTS,DW0037,133,"AGED 4"" CAST IRON PIPING CREATES FLOW CONSTRICTIONS, AESTHETIC WATER QUALITY ISSUES, AND HIGH MAINTENANCE","D/C REPLACEMENT OF 2250 LF W/8"" PVC LINE, SERVICE CONNECTIONS, AND METER PITS","GARY WEBER, TOWN OF SNOW HILL",Worcester,28B,1,Y,Y,PUBLIC,Small,1,07/01/2022,12/31/2022,792930,0,1,Y,Y,,06/01/2021,TRANSMISSION/DISTRIBUTION,,"782,930",MD0230007
7,80,MARTINGHAM WELL REPLACEMENT,DW0026,783,AGING SOURCE WATER WELL (WELL #1) OPERATING AT 50% CAPACITY AND HAD DETERIORATED CASING,D/C REPLACEMENT WELL #1 IN AQUIA AQUIFER TO OPERATE IN CONJUNCTION WITH EXISTING WELL #2,"JAY FRENCH, MARTINGHAM UTILITIES COOPERATIVE",Talbot,37B,1,Y,2,PRIVATE,Small,1,03/01/2022,04/30/2022,199000,0,1,,,,07/01/2021,SOURCE,,"170,100",MD0200004
8,80,OAKLAND WATER PLANTS REHAB,DW0018,2500,"AGING PLANT COMPONENTS, PARTICULARLY AGING/FAILING VALVES AND RAW WATER PUMP STATION","P/D/C INSTALLATION OF REPLACEMENT INFLUENT, FILTER DRAIN, AND RAW WATER VALVES AS WELL AS SYSTEM CONTROLS AT PUMP STATION","GWEN M. EVANS, MAYOR AND TOWN COUNCIL OF OAKLAND",Garrett,1A,6,Y,2,PUBLIC,Small,1,10/01/2021,07/31/2022,365000,0,1,,,,07/01/2021,TREATMENT,,"365,000",MD0110008
9,75,MIDLAND/GILMORE RAW WATER STORAGE TANK,DW0001,4500,HIGH HAZARD DAM THAT CREATES RAW DW IMPOUNDMENT BEING REMOVED (SEE CW0089/23),P/D/C NEW 6 MG CONCRETE TANK AND RAW WATER PUMP STATION INTAKE IN ELK LICK RUN,"TYLER RAYNER, TOWN OF LONACONING",Allegany,1A,6,Y,2,PUBLIC,Small,1,12/01/2022,04/30/2024,7935000,0,1,,,,08/01/2021,SOURCE,,"7,935,000",MD0010018
10,72,BOWIE WATER TREATMENT PLANT FILTER SYSTEM UPGRADE,DW0020,25500,"AGING FACILITY, ISSUES, ESP. FILTRATION SYSTEM - MEDIA HEAVILY COATED W/METALS, IMPAIRED FUNCTION OF VALVES/INSTRUMENTS","D/C REPAIR/UPGRADE PORTIONS OF FILTRATION SYSTEM (CONTROLS, VALVES, MEDIA, BACKWASH FLOW METER TRANSMITTER), NEW VENTILATION","SAM KUMAR, CITY OF BOWIE",Prince George's,23B,5,Y,Y,PUBLIC,Large,0,10/01/2022,05/31/2024,1850000,0,1,Y,Y,,06/01/2021,TREATMENT,,"1,850,000",MD0160002
11,70,GREEN MEADOWS WATER COMPANY WATER SYSTEM RESTORATION - DISTRIBUTION,DW0012,83,AGING PRIVATE WATER SYSTEM IN NEED OF UPDATING,"D/C REPLACEMENT OF 1320 3"" IRON DUCTILE LINE, SIX MAIN SHUTOFF VALVES, 33 VALVES AND METERS AT HOMES","KENNETH BONECK, GREEN MEADOWS WATER COMPANY, INC.",Charles,28,5,Y,2,PRIVATE,Small,0,10/01/2022,06/30/2023,180500,0,2,,,,12/01/2021,TRANSMISSION/DISTRIBUTION,,"167,143",MD0080017
12,67,TANEYTOWN ROBERTS MILL ROAD WATER MAIN REPLACEMENT,DW0011,7040,"FREQUENT BREAKS IN AGING 6"" IRON AND ASBESTOS CEMENT WATER MAIN LEADING TO WATER LOSS","P/D/C REPLACEMENT OF 1650 LF W/ 8"" DUCTILE IRON WATER MAIN AND COPPER LATERALS","JIM WIEPRECHT, CITY OF TANEYTOWN",Carroll,51,,Y,Y,PUBLIC,Small,0,05/01/2022,09/30/2022,611000,0,1,Y,Y,,09/01/2021,TRANSMISSION/DISTRIBUTION,,"611,000",MD0060012
