APPLICANT,COUNTY,PROJECT NAME,Project Number,DWSRF TOTAL FUNDING,DWSRF BASE LOAN,DWSRF LOAN FORG.,PRIORITY RANK,SCORING POINTS,CONST. START,SMALL/LARGE,PUBLIC/PRIVATE,DAC,COMMUNITY TYPE,COMMENTS
CALVERT COUNTY BOARD OF COUNTY COMMISSIONERS,CALVERT,CHESAPEAKE HEIGHTS WATER DISTRIBUTION SYSTEM REPLACEMENT ,DW0008,"$1,000,000","$1,000,000",$0,1,102,12/01/2021,SMALL,Public,NO,Transmission/Distribution,
TOWN OF HANCOCK,WASHINGTON,"HANCOCK WATER DISTRIBUTION SYSTEM IMPROVEMENTS, PHASE 1 ",DW0027,"$7,610,000","$6,110,000","$1,500,000",2,100,05/01/2022,SMALL,Public,YES,Transmission/Distribution,
WASHINGTON COUNTY BOARD OF COUNTY COMMISSIONERS,WASHINGTON,CASCADE TOWN CENTER WATER SYSTEM IMPROVEMENTS ,DW0028,"$75,000","$75,000",$0,3,95,10/01/2021,SMALL,Public,NO,Source,
COMMISSIONERS OF VIENNA,DORCHESTER,TOWN OF VIENNA WATER TREATMENT PLANT REPLACEMENT ,DW0016,"$53,147","$26,573","$26,573",4,85,11/01/2021,SMALL,Public,YES,Treatment,Potential SFY23 grant.
ANNE ARUNDEL COUNTY *,ANNE ARUNDEL,EDGEWATER BEACH WATER SYSTEM EXTENSION ,DW0003,"$5,850,902","$5,850,902",$0,5,82,11/01/2022,LARGE,Public,NO,Transmission/Distribution,
TOWN OF SNOW HILL,WORCESTER,SNOW HILL PURNELL STREET WATER IMPROVEMENTS ,DW0037,"$386,465","$193,233","$193,233",6,80,07/01/2022,SMALL,Public,YES,Transmission/Distribution,Potential SFY23 grant.
MARTINGHAM UTILITIES COOPERATIVE,TALBOT,MARTINGHAM WELL REPLACEMENT ,DW0026,"$170,100","$85,050","$85,050",7,80,03/01/2022,SMALL,Private,YES,Source,
MAYOR AND TOWN COUNCIL OF OAKLAND,GARRETT,OAKLAND WATER PLANTS REHAB ,DW0018,"$182,500","$91,250","$91,250",8,80,10/01/2021,SMALL,Public,YES,Treatment,Potential SFY23 grant.
TOWN OF LONACONING,ALLEGANY,MIDLAND/GILMORE RAW WATER STORAGE TANK ,DW0001,"$7,935,000","$6,435,000","$1,500,000",9,75,12/01/2022,SMALL,Public,YES,Source,
CITY OF BOWIE,PRINCE GEORGE'S,BOWIE WATER TREATMENT PLANT FILTER SYSTEM UPGRADE ,DW0020,$0,$0,$0,10,72,10/01/2022,LARGE,Public,NO,Treatment,Loan unwanted.
"GREEN MEADOWS WATER COMPANY, INC.",CHARLES,GREEN MEADOWS WATER COMPANY WATER SYSTEM RESTORATION - DISTRIBUTION ,DW0012,$0,$0,$0,11,70,10/01/2022,SMALL,Private,NO,Transmission/Distribution,Technical/Managerial issue.
CITY OF TANEYTOWN,CARROLL,TANEYTOWN ROBERTS MILL ROAD WATER MAIN REPLACEMENT ,DW0011,"$611,000","$611,000",$0,12,67,05/01/2022,SMALL,Public,NO,Transmission/Distribution,
CITY OF BOWIE,PRINCE GEORGE'S,BOWIE WATER MAIN RECAPITALIZATION ,DW0019,$0,$0,$0,13,67,12/01/2022,LARGE,Public,NO,Transmission/Distribution,Loan unwanted.
TOWN OF SMITHSBURG,WASHINGTON,SMITHSBURG EAST WATER STREET WATER MAIN UPGRADE ,DW0029,"$368,500","$368,500",$0,14,65,12/01/2021,SMALL,Public,NO,Transmission/Distribution,
COMMISSIONERS OF VIENNA,DORCHESTER,TOWN OF VIENNA WELLS REPLACEMENT PROJECT ,DW0017,"$150,133","$75,066","$75,066",15,65,09/01/2021,SMALL,Public,YES,Source,Potential grant from unallocated funding and SFY23 grant.
SECRETARY TOWN COMMISSIONERS,DORCHESTER,SECRETARY WATER METER REPLACEMENT PROJECT ,DW0015,$0,$0,$0,16,65,06/01/2022,SMALL,Public,YES,Transmission/Distribution,Fully funded from prior IUP and budget.
ANNE ARUNDEL COUNTY *,ANNE ARUNDEL,HERITAGE HARBOR WATER TAKEOVER SYSTEM IMPROVEMENTS PROJECT ,DW0004,"$1,872,662","$1,872,662",$0,17,62,10/01/2021,LARGE,Public,NO,Transmission/Distribution,
MAYOR AND CITY COUNCIL OF BALTIMORE,BALTIMORE CITY,WC-1243 CROMWELL PUMPING STATION REHABILITATION ,DW0006,"$7,500,000","$6,000,000","$1,500,000",18,62,02/01/2022,LARGE,Public,YES,Transmission/Distribution,
"BALTIMORE COUNTY, MARYLAND",BALTIMORE,WC-1243 CROMWELL PUMPING STATION REHABILITATION ,DW0039,"$7,500,000","$6,000,000","$1,500,000",19,62,02/01/2022,LARGE,Public,YES,Transmission/Distribution,
ALLEGANY COUNTY COMMISSIONERS,ALLEGANY,ROUTE 36 WATER LINE REPLACEMENT ,DW0002,"$600,000","$300,000","$300,000",20,60,03/01/2022,SMALL,Public,YES,Transmission/Distribution,Potential grant from unallocated funding.
