System Name,"MDH2022PPLRank","MDH2022PPLPoints",Project Description,"ProjectNumber",Population,"Est.ConstStart","EstimatedProject Cost","EstimatedDWRF Loan","Est DWRFPrincipalForgivenessNOT FINAL(1)","Estimated WIFGrantNOT FINAL(2)","Other Funds(3)",Status
Danube,2,30,Treatment - New Ra/Fe/Mn Plant,1650004-2,493,May-22,"1,393,500","1,393,500",-,-,-,Refer to RD
Kilkenny,21,13,Source - New Well & Wellhouse,1400007-1,168,Aug-22,"1,500,000","1,500,000",-,-,-,Refer to RD
Danube,23,13,Source - New Well,1650004-1,493,May-22,"313,000","313,000",-,-,-,Refer to RD
Amboy,49,12,Treatment - RO for Chlorides,1070001-2,507,Nov-21,"1,749,665","1,749,665",-,-,-,Refer to RD
Danube,56,12,Watermain - Looping,1650004-4,493,May-22,"304,000","304,000",-,-,-,Refer to RD
Amboy,61,12,"Watermain - Repl North St.,Loop Radke St",1070001-1,651,May-22,"1,150,875","1,150,875",-,-,-,Refer to RD
Bellingham,62,12,Treatment - New Plant,1370001-1,168,,"1,916,500","1,916,500",-,-,-,Refer to RD
Underwood,65,12,Treatment - Replace Plant,1560026-6,341,Jun-21,"3,000,000","3,000,000",-,-,-,Refer to RD
Hokah,66,12,Treatment - New Plant or Blend,1280004-5,572,Jun-22,"2,858,000","2,858,000",-,-,-,Refer to RD
Upsala,79,12,Watermain - Repl & Loop,1490008-4,497,May-22,"520,000","520,000",-,-,-,Refer to RD
Kandiyohi,81,12,Treatment - New Fe/Mn Plant & Wells,1340003-3,554,May-22,"3,620,000","3,620,000",-,-,-,Refer to RD
Kandiyohi,82,12,Watermain - Looping,1340003-5,554,May-22,"433,000","433,000",-,-,-,Refer to RD
Kandiyohi,96,11,"Storage - Repl Tower w/75,000 Gal Tower",1340003-4,554,May-22,"1,449,000","1,449,000",-,-,-,Refer to RD
Marble,141,10,Storage - Tower Replacement,1310023-3,614,May-22,"1,158,000","1,158,000",-,-,-,Refer to RD
Bovey,211,10,Conservation - Repl Meters,1310003-2,802,,"240,000","240,000",-,-,-,Refer to RD
Winton,221,10,Source - Pumphouse,1690057-2,116,Jun-22,"134,500","134,500",-,-,-,Refer to RD
Winton,222,10,Storage - Vault Improvements,1690057-3,116,Jun-22,"156,000","156,000",-,-,-,Refer to RD
Winton,223,10,Watermain - Repl - 4 Zones,1690057-4,116,Jun-22,"3,481,400","3,481,400",-,-,-,Refer to RD
Danube,247,10,Watermain - Repl Cast Iron Mains,1650004-3,493,May-22,"5,500,000","5,500,000",-,-,-,Refer to RD
Danube,248,10,Conservation - Replace Meters,1650004-5,493,May-22,"290,000","290,000",-,-,-,Refer to RD
Sanborn,249,10,Conservation - Water Meter Improvements,1640011-3,361,Oct-22,"170,000","170,000",-,-,-,Refer to RD
Sanborn,250,10,Storage - Water Tower Improvements,1640011-4,361,Oct-22,"420,000","420,000",-,-,-,Refer to RD
Lake Wilson,265,10,Storage - Tank Rehab,1510008-2,222,May-22,"590,000","590,000",-,-,-,Refer to RD
Bellingham,267,10,Storage - Replace Tower,1370001-2,168,,"900,000","900,000",-,-,-,Refer to RD
Bellingham,268,10,Watermain - Repl CIP,1370001-3,168,,"374,000","285,000",-,-,-,Refer to RD
Bellingham,269,10,Conservation - Install Meters,1370001-4,168,,"285,000","374,000",-,-,-,Refer to RD
Waubun,279,10,Storage - Water Tower Rehabilitation,1440004-4,433,Jun-22,"418,500","418,500",-,-,-,Refer to RD
Campbell,283,10,Source - New Well & Seal Well No. 1,1840003-1,159,,"187,620","187,620",-,-,-,Refer to RD
Hokah,289,10,Source - Phase 1 - Upgrade Wells & Reser,1280004-2,649,Aug-22,"976,000","976,000",-,-,-,Refer to RD
Hokah,290,10,Source - Construction Well No. 3,1280004-3,649,Aug-22,"538,000","538,000",-,-,-,Refer to RD
Hokah,291,10,Watermain - Distribution System Imp.,1280004-6,649,Aug-22,"3,368,826","3,368,826",-,-,-,Refer to RD
Audubon,298,10,Storage - Tower Rehab,1030001-5,625,May-22,"406,000","406,000",-,-,-,Refer to RD
Taconite,306,10,"Storage - Repl 50,000 Gal. Tower",1310028-1,329,May-20,"1,164,000","1,164,000",-,-,-,Refer to RD
Lincoln-Pipestone RWS,316,10,Treatment - Burr New Plant & Wells,1410007-2,"24,500",May-22,"19,787,000","19,787,000",-,-,-,Refer to RD
Lincoln-Pipestone RWS,317,10,Storage - New Reservoir,1410007-3,"24,500",May-22,"1,025,000","1,025,000",-,-,-,Refer to RD
Lincoln-Pipestone RWS,318,10,Treatment - New Contact Basin,1410007-4,"24,500",May-22,"2,895,000","2,895,000",-,-,-,Refer to RD
Upsala,320,10,Source - New Well,1490008-1,497,May-22,"260,000","260,000",-,-,-,Refer to RD
Upsala,321,10,Treatment - Plant Rehab,1490008-2,497,May-22,"480,000","480,000",-,-,-,Refer to RD
Upsala,322,10,Storage - Tower Rehab,1490008-3,497,May-22,"463,000","463,000",-,-,-,Refer to RD
Upsala,323,10,Conservation - Repl Meters,1490008-5,497,May-22,"211,000","211,000",-,-,-,Refer to RD
Kandiyohi,326,10,Watermain - Repl McLaughlin & 3rd St.,1340003-6,554,May-22,"473,000","473,000",-,-,-,Refer to RD
Hampton,340,10,"Storage - New 100,000 Gal Tower",1190010-5,691,May-24,"1,365,000","1,365,000",-,-,-,FY 2023 project
Campbell,375,7,"Storage - New 40,000 Gal GSR w/chem fe",1840003-2,159,,"1,035,510","1,035,510",-,-,-,Refer to RD
Campbell,376,7,Watermain - Looping in Various Areas,1840003-3,159,,"2,423,240","2,423,240",-,-,-,Refer to RD
Ghent,405,6,"Storage - New 50,000 Gal Tower",1420004-1,407,May-22,"993,200","993,200",-,-,-,"Below fndble, Refer t"
Saint Augusta,406,6,"Storage - New 150,000 Gal Tower",1730063-7,"1,425",May-22,"1,292,000","1,292,000",-,-,-,Below fndble
Campbell,440,5,Conservation - New Meters,1840003-4,159,,"90,040","90,040",-,-,-,"Below fndble, Refer t"
Greenbush,451,5,Watermain - Repl Area 7 - Main & Park,1680002-10,719,May-22,"821,544","821,544",-,-,-,"Below fndble, Refer t"
Greenbush,452,5,Watermain - Repl Area 8 -2nd & Johnson,1680002-11,719,May-22,"837,537","837,537",-,-,-,"Below fndble, Refer t"
Barnesville,466,5,Watermain - Replacement - Phase 1,1140001-4,"2,600",May-22,"3,500,000","3,500,000",-,-,-,"Below fndble, Refer t"
Ghent,472,5,Conservation - Meter Replacements,1420004-4,407,May-22,"127,400","127,400",-,-,-,"Below fndble, Refer t"
Ottertail,488,5,Source - Transmission Improvements,1560032-3,575,Jun-22,"427,500","427,500",-,-,-,"Below fndble, Refer t"
Ottertail,489,5,Storage - Tower Rehab,1560032-4,575,Jun-22,"492,500","492,500",-,-,-,"Below fndble, Refer t"
Beaver Bay,490,5,Treatment -Raw Water intake replacement,1380001-2,98,Jun-22,"1,020,000","1,020,000",-,-,-,"Below fndble, Refer t"
Eagle Lake,498,5,Treatment - Water Treatment Improvement,1070002-3,"3,007",Jul-22,"8,400,000","8,400,000",-,-,-,"Below fndble, Refer t"
Rosemount,504,5,Source - New Well #17,1190019-1,"22,445",May-22,"1,100,000","1,100,000",-,-,-,Below fndble
Rosemount,505,5,Watermain - Akron Ave Ext.,1190019-3,"22,445",May-22,"218,000","218,000",-,-,-,Below fndble
Tonka Bay,511,5,Watermain - Replacement,1270013-2,"1,570",May-22,"3,035,795","3,035,795",-,-,-,Below fndble
