Project #,County,System Name/Borrower,Description,Pop.,Project Cost,Score,Cumulative Total,Source Document
18660,Ulster,ELLENVILLE (VILLAGE) WATER DIS / Ellenville (V),"Phase 2 of #15003 - New Well - replace GWUDI wells & other Improvements, New Ground Water Source, Upgrade Storage, Upgrade Distribution System","4,323","$2,800,000",H,"$2,800,000",NY_Y0_annual-0001
18700,Ulster,ROSENDALE WATER DISTRICT / Rosendale (T),"Phase 2 of project 18111. Cost overrun., Upgrade Surface Water Treatment Rule Compliance Facility, New Ground Water Source, Upgrade Storage, Upgrade Distribution System","2,200","$2,070,000",H,"$4,870,000",NY_Y0_annual-0001
17163,Essex,TICONDEROGA WD / Ticonderoga (T),"New Surface Water Treatment Rule Compliance Facility, Upgrade Water Treatment Plant, New Ground Water Source, New Storage, Upgrade Distribution System","5,000",$0,H,"$4,870,000",NY_Y0_annual-0001
18061,Franklin,TUPPER LAKE V / Tupper Lake (V),"New wells to replace SW source and inadequate DE plant., New Ground Water Source, Upgrade Distribution System","5,500",$0,H,"$4,870,000",NY_Y0_annual-0001
18381,Erie,LAWTONS WATER CO / North Collins (T),"Aquisit'n of private PWS & improvements for SWTR & Nitrate issues, New Surface Water Treatment Rule Compliance Facility, Upgrade Distribution System, New Inter-Connection",95,$0,H,"$4,870,000",NY_Y0_annual-0001
16692,Herkimer,VAN HORNESVILLE WATER WORKS / Stark (T),"VanHornesville Water System, New Surface Water Treatment Rule Compliance Facility, New Storage, Upgrade Distribution System",372,$0,H,"$4,870,000",NY_Y0_annual-0001
17560,Sullivan,THE CALLICOON WATER COMPANY INC / Delaware (T),"Upgrade Water Treatment Plant, Upgrade Ground Water Source",854,"$800,000",H,"$5,670,000",NY_Y0_annual-0001
18292,Herkimer,VAN HORNESVILLE WATER WORKS / Stark (T),"Van Hornesville WD Phase 2 Water System Improvements., New Surface Water Treatment Rule Compliance Facility, New Ground Water Source, Upgrade Distribution System",372,$0,H,"$5,670,000",NY_Y0_annual-0001
16106,Greene,TANNERSVILLE VILLAGE / Tannersville (V),"Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Transmission, Upgrade Distribution System",448,$0,H,"$5,670,000",NY_Y0_annual-0001
18067,Otsego,GILBERTSVILLE VILLAGE / Gilbertsville (V),"Address NTU and Disinfection deficiencies, New Ground Water Source, New Storage, Upgrade Distribution System",477,"$600,000",H,"$6,270,000",NY_Y0_annual-0001
17629,Essex,ESSEX WD / Essex (T),"WTP Upgrades and New GW Source., Upgrade Water Treatment Plant, New Ground Water Source",300,"$3,777,674",H,"$10,047,674",NY_Y0_annual-0001
18520,Chautauqua,MAYVILLE VILLAGE / Mayville (V),"New Source Development, Storage and Distribution Upgrades., Upgrade Other Expenses, New Ground Water Source, New Storage, Upgrade Distribution System, Upgrade Other (OT)","1,856","$500,000",H,"$10,547,674",NY_Y0_annual-0001
17504,Schoharie,CENTRAL BRIDGE WATER DISTRICT / Central Bridge WD,"Upgrade water treatment plant for DBP control and organics removal., Upgrade Water Treatment Plant, Upgrade Distribution System","1,061",$0,H,"$10,547,674",NY_Y0_annual-0001
15958,Greene,PRATTSVILLE WATER DISTRICT / Prattsville (T),"Adress organics violations and inadequate source capacity, New Ground Water Source",410,$0,H,"$10,547,674",NY_Y0_annual-0001
18038,Saratoga,MECHANICVILLE CITY / Mechanicville (C),"Interconnection to Saratoga County WA. Phase 1A improvements. Alternative to Project 17742., New Transmission, Upgrade Storage, Upgrade Distribution System, New Inter-Connection","5,100","$600,000",H,"$11,147,674",NY_Y0_annual-0001
18596,Oneida,RT. 365/SCONONDOA/SNYDER RD WD (SWP) / Verona (T),"Extension of water distribution system, new pump station and storage tank, and rehab to existing storage tank., Upgrade Storage, New Storage, New Pump Station, Extend Distribution System","1,795",$0,H,"$11,147,674",NY_Y0_annual-0001
18275,Essex,KEESEVILLE V / Chesterfield (T),"WTP, storage, and distribution improvements., Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Distribution System","2,300","$5,500,000",H,"$16,647,674",NY_Y0_annual-0001
18348,Delaware,ROXBURY WATER DISTRICT / Roxbury (T),"Roxbury and Grand Gorge Joint project. , New Surface Water Treatment Rule Compliance Facility, Upgrade Ground Water Source, Upgrade Distribution System",755,$0,H,"$16,647,674",NY_Y0_annual-0001
18184,Essex,CROWN POINT WD / Crown Point (T),"Rehab and upgrades to contaminated wells and replacing mains with severe break history., Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Distribution System",995,$0,H,"$16,647,674",NY_Y0_annual-0001
18562,Herkimer,ILION (V) WATER WORKS / Ilion (V),"Dedicated Well Transmission Main and High Priority Distribution Improvements., Upgrade Ground Water Source, New Transmission, Upgrade Storage, Upgrade Distribution System","8,610",$0,H,"$16,647,674",NY_Y0_annual-0001
18257,Greene,CAIRO WATER DISTRICT / Cairo (T),"Develop redundant water source., New Ground Water Source, Upgrade Storage, Upgrade Distribution System",725,"$250,000",H,"$16,897,674",NY_Y0_annual-0001
