Project #,County,System Name/Borrower,Description,Pop.,Project Cost,Score,Cumulative Total,Source Document
17299,Albany,RAVENA VILLAGE / Ravena (V),"Source, WTP, Storage, and Distribution Improvements., Upgrade Water Treatment Plant, Upgrade Surface Water Source, Upgrade Storage, Upgrade Distribution System","4,500",$0,75,$0,NY_Y0_multiyear-0001
18535,Albany,WATERVLIET CITY / Watervliet (C),"Water System Improvements., Upgrade Water Treatment Plant, Upgrade Transmission","9,889","$6,986,000",75,"$6,986,000",NY_Y0_multiyear-0001
18903,Albany,ALBANY CITY / Albany MWFA,"2022 Water System Improvements., Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Pump Station","101,082","$5,700,000",70,"$12,686,000",NY_Y0_multiyear-0001
18523,Albany,ALBANY CITY / Albany MWFA,"Feura Bush WTP Upgrades., Upgrade Water Treatment Plant, Upgrade Storage","101,082",$0,65,"$12,686,000",NY_Y0_multiyear-0001
17548,Albany,MENANDS VILLAGE / Menands (V),"Upgrade Pump Station, Upgrade Distribution System","3,900","$6,936,000",60,"$19,622,000",NY_Y0_multiyear-0001
18659,Albany,WESTERLO WD 1 / Westerlo (T),"Aeration for for DBP treatment at well sources, Upgrade Water Treatment Plant",265,"$200,000",55,"$19,822,000",NY_Y0_multiyear-0001
18984,Albany,COHOES CITY / Cohoes (C),"Phase 2 WTP Upgrades., Upgrade Water Treatment Plant","15,550","$9,738,811",50,"$29,560,811",NY_Y0_multiyear-0001
18572,Albany,COHOES CITY / Cohoes (C),"WTP Improvements Phase I., Upgrade Water Treatment Plant","15,550","$9,609,256",50,"$39,170,067",NY_Y0_multiyear-0001
18377,Albany,ALBANY CITY / Albany (C),"Upper Washington Ave Corridor Improvements., New Storage, New Pump Station","101,082","$2,800,000",50,"$41,970,067",NY_Y0_multiyear-0001
18378,Albany,ALBANY CITY / Albany (C),"Replace Gas CL2 system., Upgrade Water Treatment Plant","101,082","$2,300,000",50,"$44,270,067",NY_Y0_multiyear-0001
18333,Albany,MENANDS VILLAGE / Menands (V),"South End Water Systen Improvements., Upgrade Distribution System","3,900","$1,321,670",35,"$45,591,737",NY_Y0_multiyear-0001
15392,Albany,WATERVLIET CITY / Watervliet (C),"Replace undersized lines - 1998, Upgrade Distribution System","9,889","$795,000",30,"$46,386,737",NY_Y0_multiyear-0001
18807,Albany,LATHAM WATER DISTRICT / Colonie (T),"River Road Storage and Mohawk View WTP Mixing Improvements, Upgrade Water Treatment Plant, Upgrade Distribution System","78,500","$6,230,000",$30,"$52,616,737",NY_Y0_multiyear-0001
18845,Albany,NORTHEAST WD / New Scotland (T),"Connect Northeast WD and Kensington Woods WDs., New Inter-Connection",471,"$488,220",$25,"$53,104,957",NY_Y0_multiyear-0001
18521,Albany,LATHAM WATER DISTRICT / Colonie (T),"Interconnection improvements between the Town of Colonie and the City of Albany, Upgrade Distribution System","78,500",$0,20,"$53,104,957",NY_Y0_multiyear-0001
18358,Allegany,ANDOVER VILLAGE PUBLIC WATER / Andover (V),"Source (GWUDI Springs), Distribution, & Storage Improvements., New Water Treatment Plant, Upgrade Transmission, Upgrade Distribution System, New System Consolidation","1,130",$0,"$1,135","$53,104,957",NY_Y0_multiyear-0001
18824,Allegany,HUME WATER DISTRICT / Hume (T),"Sanford Springs Consolidation and System Upgrades., Extend Distribution System, Upgrade Distribution System, New System Consolidation",620,"$3,364,500",160,"$56,469,457",NY_Y0_multiyear-0001
18622,Allegany,ALFRED VILLAGE WATER SUPPLY / Alfred (V),"Upgrade Transmission, Upgrade Storage, Upgrade Pump Station, Upgrade Distribution System","3,500",$0,55,"$56,469,457",NY_Y0_multiyear-0001
18856,Allegany,WELLSVILLE VILLAGE PUBLIC WATER / Wellsville (V),"Replacement of WTP pumps and controls, meters, and aged water mains., Upgrade Water Treatment Plant, Upgrade Distribution System","5,700","$1,596,912",55,"$58,066,369",NY_Y0_multiyear-0001
