Entity,epic_project_id,Project,PWS ID,County,Estimated Loan Amount,Estimated Principal Forgiveness,Loan Type,Estimated Award Date,Population,Project Score,Readiness To Proceed,Rate,District Office
Bowerston,33,Water System Improvements*,OH3400112,Harrison,"$5,360,000.00",,Construction,Oct-21,398,11,,DIS/REG,SEDO
Coal Grove,58,Coal Grove Interconnection with Ironton*,OH4400012,Lawrence,"$1,113,500.00",,Construction,Jun-22,2167,10,2,DIS/REG,SEDO
Del-Co Water Company,106,Waldo Water Main Imps,OH2101412,Delaware,"$5,802,827.00","$2,901,414.00",Construction,Jun-22,"150,000",9,2,REG,CDO
Somerset,284,Water System Improvements and Extensions*,OH6401111,Perry,"$1,415,500.00",,Construction,Mar-22,"1,490",9,,DIS/REG,SEDO
Madison County,195,Madison County Water System,OH4901012,Madison,"$10,839,086.00","$971,827.00",Construction,Jul-21,"5,176",8,2,REG,CDO
Ashtabula County,22,S. River Rd Waterline Ext,OH0400803,Ashtabula,"$1,650,000.00",,Construction,Mar-22,"14,200",7,,REG,NEDO
Muskingum County,226,The Wilds Water Main Ext,OH6000412,Muskingum,"$311,810.00",,Construction,Oct-21,"21,464",6,,REG,SEDO
Tuppers Plains - Chester WD,315,Featherstone Road Waterline Extension,OH5300612,Meigs,"$362,350.00",,Construction,May-22,"16,087",6,,REG,SEDO
Morgan Meigsville Rural WD,220,Morgan County SR226/377 Water Ext,OH5801003,Morgan,"$423,000.00",,Construction,Oct-21,700,6,,DIS/REG,SEDO
Muskingum County,223,"Big B, Mutton Ridge and Sheck Rd Water Main Ext",OH6000412,Muskingum,"$558,768.00",,Construction,Jul-21,"21,464",6,,REG,SEDO
Morgan Meigsville Rural WD,219,"Bone Rd Water Ext, Contract 21-1",OH5801003,Morgan,"$574,500.00",,Construction,Oct-21,700,6,,DIS/REG,SEDO
Muskingum County,227,Twin Hills Dr Water Main Ext,OH6000412,Muskingum,"$654,250.00",,Construction,Aug-21,"21,464",6,,REG,SEDO
Muskingum County,225,Sunflower Rd & Getz Rd,OH6000412,Muskingum,"$843,450.00",,Construction,May-22,"21,464",6,,REG,SEDO
Muskingum County,228,Virginia Ridge Rd Water Main Ext,OH6000412,Muskingum,"$1,173,050.00",,Construction,May-22,"21,464",6,,REG,SEDO
