Applicant Name,Street Address,City,County,Project Description,Problem Description,DEP Project Ranking,Region,PWSID,Funding Source,MTGDATE,Project Rank,Project Cost,Project Type,Population,Green Project,Business Case,PV Rating,Green Category,Green Amount
MUNICIPAL WATER AUTH. OF ALIQUIPPA- LEAD SERVICE LINE REPL.,160 HOPEWELL AVENUE,ALIQUIPPA,BEAVER," This project includes the replacement of 184 existing lead water service lines from the main line to property line (curb box) with 3/4"" copper water service lines. To determine the material type of the service lines the contractor excavated roughly 250 sites via vacuum truck for visual inspection of the service lines. Of these 250 sites, 170 have been identified as having lead service lines, while the remaining were either copper or unable to be accessed. An additional 14 sites are suspected as lead service lines due to the identified buffalo style curb boxes, which have had a history of containing lead service lines. This brings the total project scope to 184 properties known or strongly suspected of having lead service lines. In regards to the private side of the service lines, it is assumed that roughly 10% of the total sites will have lead, or 18 private side service lines to be replaced. MWAA is committed to replacing the private side of the service lateral. Based on historic experience and a limited field verification in January/February 2021, a value of 10% of the service lines that contain lead on the public side will also contain lead on the private side. Confirmation on the private side will be conducted via excavation during construction. Construction includes service line replacement including corporation at the main, curb box, and connection to existing just outside of structure wall, trench restoration, curb, sidewalk, walkway, lawn, and roadway restoration, and all appurtenances required for complete construction. "," The purpose of this project is to remove existing lead service lines in the Municipal Water Authority of Aliquippa (MWAA) service area to improve the overall water quality and reduce the health risk that is present due to the aging lines. Lead in drinking water can cause brain and kidney damage, and interfere with the production of red blood cells that carry oxygen to all parts of the body. The greatest risk of lead exposure is to infants, young children and pregnant women. Studies have shown that the effects of lead on the brain correlate with lowered IQ in children. The Lead and Copper Rule was established to protect public health by minimizing lead and copper levels in drinking water, primarily by making water less corrosive. When the water is corrosive, the lead and copper found in plumbing materials can leach into drinking water. Pennsylvania’s Lead and Copper Rule establishes an action level of 0.015 mg/L for lead and 1.3 mg/L for copper. MWAA is required to conduct sampling every 6 months. An action level exceedance occurs if the results from more than 10% of the homes tested are above the action level. For the monitoring period of January 1 to June 30, 2020 MWAA had 32 samples collected and tested for lead. The 90th percentile value for lead was 0.0421 mg/L, exceeding the 0.015 mg/L action limit by almost three times. Due to these results MWAA has been required to do additional parameter monitoring, corrosion control treatment, source water monitoring/treatment, and public education. In addition to these requirements, the removal of lead lines in the system has become a priority.",91,V,5040006,APPLICATION PENDING,-,1,"$1,867,000",DS/LSL,"14,250",No,N/A,116,N/A,$0
ALTOONA WATER AUTHORITY -BELLWOOD WATER TREAT. FACILITY IMP.,20 GREENWOOD ROAD,ALTOONA,BLAIR," The proposed upgrades include installing a new ozone generating system, membrane filtration system, chemical feed system upgrades, reservoir aeration system, and miscellaneous upgrades regarding the building structure. ", The existing facilities at the Bellwood Water Treatment Plant are over twenty-four years old and most of the existing equipment is at the end of its useful life. Project will help authority consistently serve potable water to the service area.,78,III,4070023,DWSRF,1/20/2021,2,"$9,900,000",TREAT,"62,500",No,N/A,97,N/A,$0
PWSA - LSL & 2021 SMALL DIAMETER WATER MAIN REPLACEMENT,441 SMITHFIELD ST.,PITTSBURGH,ALLEGHENY," The project includes replacement of 24,752 LF of aging 4” to 12” diameter pipes with new zinc coated ductile iron pipe ranging from 8” to 12” in diameter, 59 fire hydrants, 870 public service lines at 14,668 LF of which 218 are lead public service lines, 546 private service lines at 20,108 LF of which 219 are lead private service lines. They will be replacing 870 public service lines, which is the portion of the service line that PWSA owns from the main to the curb stop. Of the 870 public service lines, 218 are lead. PWSA will also be replacing an estimated 546 private service lines, which will be the lines that the property owner owns between the curb stop and the meter as well as any service lines larger than 1” in diameter servicing both residential and commercial properties. Of the 546 private lead service lines, 219 are lead. Estimated Length of Public service line replaced is 14,668 LF and estimated length of private service line to be replaced is 20,108 LF. Of the total $38,550,000 project it is expected that portion of work associated with lead service lines (219 private & 218 public) will be $2,900,000. "," The 2021 Small Diameter Water Main Replacement Contracts include the replacement of approximately 24,752 LF of aging 4” to 12” diameter pipes with new zinc coated ductile iron pipe ranging from 8” to 12”. This work includes the replacement of water mains, valves, 59 fire hydrants, and water service lines. Water mains were selected for replacement based on a number of risk-factors, including the prioritization of undersized mains, mains with a history of breaks, and the presence of lead service lines. Replacement of these mains will reduce the frequency of water main breaks, which will minimize the risk to public health caused by the resulting potential exposure to infectious diseases and will reduce the impact of unplanned water outages and street closures required due to emergency repairs. The replacement of older, leak-prone mains will also provide for more efficient management of water resources by reducing the amount of treated water that is lost from the system. Furthermore, the additional volume of water that will be able to be delivered to areas with inadequate flow will reduce restrictions on development within the affected areas. The water main replacement work will occur within the City of Pittsburgh and will benefit the existing population within the area and provide improved opportunities for future development.",71,V,5020038,APPLICATION PENDING,-,3,"$38,550,000",DS/LSL,"520,000",No,N/A,98,N/A,$0
MAHONING TOWNSHIP MUNICIPAL AUTH. WATER SYSTEM IMPROVEMENT,P.O.BOX 168,DISTANT,ARMSTRONG," This water system improvements project consists of purchasing and installing a new meter vault, approximately 13,000 linear feet of 8-inch high density polyethylene waterline, a new booster pump station equipped with 100 horse power duplex pumps and an emergency generator. The project also includes purchasing and installing a new 200,000-gallon elevated composite storage tank with a mixing system to address occurrences of trihalomethanes maximum contaminant levels exceedances. This will increase water delivery rate, increase system pressures and reduce instances of total trihalomethanes (TTHM) violations. "," The existing Mahoning Township Municipal Authority water system is over 55 years old and has been plagued by insufficient water delivery rate, low system pressures and capacity issues. The existing booster station pumps are aged and the booster station does not have an emergency power back-up. The piping from the booster station to the existing 188,000-gallon standpipe is a 3-inch diameter watermain which lacks capacity and has experienced multiple leaks and breaks. The existing standpipe is not equipped with a mixing system and has caused the system operator to receive notices of violation (NOVs) for total trihalomethane disinfection by-product issues.",65,VI,5030024,DWSRF,4/22/2020,4,"$3,651,220","DS, PS, WS","9,000",Yes,Required,82,Water & Energy Efficie,"$1,758,420"
MIDDLEBURG MUNICIPAL AUTHORITY - WATER SYSTEM IMPROVEMENTS,13 N. MAIN STREET,MIDDLEBURG,SNYDER," Middleburg Municipal Authority (MMA) proposes to install a 290,000-gallon concrete contact tank, a new meter building, a 163,000-gallon standpipe tank, to replace approximately 10,000 feet of water mains, replace 3 water meters to new electromagnetic flow meters, replace 5 turbidimeters, replace the filter media, re-coat the 3 filter units and replace the underlying porous plate underneath the filter media. The standpipe storage tank and water mains will be located in Middleburgh Borough, while the water filtration plant rehabilitation and concrete contact tank construction will be located in Franklin Township. "," The project intends to replace the old reservoir and outlet pipe with a new 290,000-gallon concrete contact tank and removing debilitated water main piping to reduce maintenance costs and allow the use of Well #3. Additionally, a secondary standpipe tank is proposed to ensure adequate pressure within the distribution system, as well as adequate reserve volume during emergency fire flows. This will improve water adequacy and public health and safety. Also, the use of Well #3 will help with alleviating water drawdown from the surface water sources during low rainfall periods to help preserve aquatic life in the streams.",60,IV,4550016,DWSRF,1/20/2021,5,"$4,586,200","TREAT, WS","1,600",No,N/A,79,N/A,$0
CITY OF PHILADELPHIA TORRESDALE FILTERED WATER PS REHAB.,1101 MARKET STREET,PHILADELPHIA,PHILADELPHIA, The PWD is proposing to install 6 new high service pumps to meet a 50MGD demand and 6 new low pressure pumps. to meet the 196MGD demand. Two transfer pumps will be installed to provide system flexibility and to reduce low service pumping if needed. Two new hydropneumatic surge tanks will also be installed along with new mag meters. ," The Torresdale Filtered Water Pumping Station was built in the 1940's provides water to the low and high pressure distribution areas. The station consists of 12 inefficient pumps that are at the end of their useful life. The pumps have been repaired many times and due to their age, spare parts are no longer available. The Philadelphia Water Department run the risk of an outage if these pumps remain in service. Project will improve operation of the system.",55,I,1510001,DWSRF,4/22/2020,6,"$60,000,000",PS,"1,755,0",No,N/A,70,N/A,$0
CITY OF LANCASTER WATER INFRASTRUCTURE IMPROVEMENTS,150 PITNEY ROAD,LANCASTER,LANCASTER," The City of Lancaster will be installing three (3) new emergency power generators at water treatment facilities to ensure that safe and potable water is continuously supplied to users if a facility loses the primary source of power. The generators will be installed at the Conestoga Water Treatment Plant, the Susquehanna Water Treatment Plant, and the low service pump station. A new diesel-powered emergency generator and fuel tank will be installed at each location within previously disturbed areas. The City will also constructing a new 16-inch ductile iron cement lined water main within the Millersville Pike right-of-way to replace the existing 8-inch asbestos cement main. This main replacement will achieve higher sustained minimum pressures during peak flow events and provide increased transmission capacity and increased reliability. The project involves 7,500 linear feet of water main along Millersville Pike from Charles Road to State Route 741. "," The City of Lancaster operates two (2) water treatment plants which combined supply 36 million gallons per day of potable water to approximately 118,000 people in 10 municipalities in Lancaster County. These facilities are critical for the reliable supply of safe potable water to the community. The treatment plants do not currently have a stand-by power source for emergencies when the primary source of power is lost. The City’s water system also does not have enough water storage capacity if the treatment plants are offline for a significant period of time. The 2019 General Update to PA regulations Title 25, Chapter 109.708 requires that community water suppliers take steps to ensure uninterrupted water service. The emergency generators are needed to comply with this regulation change, which is required by August 2021. The existing 8-inch asbestos cement water main along Millersville Pike is over 70 years old and subject to water main breaks due to age. The main is not adequately sized to provide sufficient water capacity and pressure to the service area.",53,III,7360058,DWSRF,10/21/2020,7,"$10,550,000","TREAT, DS","140,000",No,N/A,68,N/A,$0
COLUMBIA WATER COMPANY - INTAKE AND DISTRIBUTION SYSTEM IMP.,220 LOCUST STREET,COLUMBIA,LANCASTER," This project has three components. The first consists of construction of a new river intake adjacent to the existing intake in the Susquehanna River for the Walnut Street Water Treatment Plant, installation of a new air burst system, installation of a frazil ice protection system, and installation of a new valve vault. The second consists of rehabilitation of the Prospect Road Tank. The third consists of installation of an emergency generator at the Spruce Street Booster Station. "," The existing intake consists of only bar screens, which allow passage of sediment and debris to the water treatment plant resulting in increased maintenance. The existing intake is also subject to clogging by sediment and frazil ice and requires frequent backflushing. The proposed intake will be constructed of wedge wire passive screens in a half-barrel configuration which will reduce the passage of sediment and debris. The proposed air burst system will be used for backflushing the proposed intake screens. The proposed frazil ice protection system will prevent the formation of frazil ice on the proposed intake. The existing intake will remain, and the proposed valving will allow for use of the proposed intake and/or the existing intake, to provide redundancy. The existing valve vault is located on the river’s edge and inaccessible during floods or ice jams. The proposed valve vault will allow safe operation of the valves during these conditions. The Prospect Road Tank was recently inspected and found to be in need of a complete replacement of the interior coating system and, at a minimum, an over-coating of the exterior coating. An emergency generator is required at the Spruce Street Booster Station to meet the Department’s uninterrupted service requirements.",53,III,7360123,APPLICATION PENDING,-,8,"$4,500,000","SRC, WS, PS","25,001",No,N/A,68,N/A,$0
LEHIGH COUNTY AUTHORITY - HIGH LIFT VFD REPLACEMENT,1300 MARTIN LUTHER KING JR.DR,ALLENTOWN,LEHIGH," The Allentown WTP has three high lift service pumps, two of which are on Rubicon variable frequency drives (VFDs). Pump 3 is run at constant speed via a reduced voltage soft starter (RVSS). The scope of the project is primarily electrical in nature with some minor structural building work and proposes to replace the two existing Rubicon VFDs and add a third VFD to the third pump all rated for 2,300-volts, 3 phase power. The proposed modifications would replace antiquated electrical equipment, increase the pump station's reliability and provide additional flexibility for meeting finished water capacity demands. An increase in permitted capacity is not proposed. This will enhance LCA's ability to operate and maintain its PWS system. "," The Lehigh County Authority (LCA) – Allentown Division proposes an extensive maintenance and rehabilitation project of their three high lift service pumps at their Allentown Water Treatment Plant (WTP) located in the City of Allentown, Lehigh County. The existing high lift pumping system at the Allentown WTP is aging and in need of repair and rehabilitation. A critical element of the Allentown WTP are the high service pumps which is the primary means of conveying water into the distribution system. The manufacturer no longer supports the equipment (approximately 25 years old) and spare parts are no longer readily available so concerns of reliability are paramount. Each pump was originally rated for 10,500 gallons per minute (gpm) at 290 feet of total dynamic head; however, both Pumps 1 and 3 have been modified to supply less than the rated capacity. The pumps are equipped with 1,000 horsepower motors rated for 2,300-volt, 3 phase power. The Allentown WTP has three high lift service pumps, two of which are on Rubicon variable frequency drives (VFDs). Pump 3 is run at constant speed via a reduced voltage soft starter (RVSS). The scope of the project is primarily electrical in nature with some structural building work and is to replace these two existing Rubicon VFDs and add a third VFD to the third pump all rated for 2,300-volts, 3 phase power. This option replaces antiquated electrical equipment, increases pump station reliability and provides additional flexibility for meeting finished water capacity demands. An increase in permitted capacity is not proposed.",50,II,3390024,DWSRF,1/20/2021,9,"$2,000,000",PS,"118,000",No,N/A,65,N/A,$0
AQUA PA - NORTH HILLS WELL STATION PFAS TREATMENT SYSTEM,762 LANCASTER AVE.,BRYN MAWR,MONTGOMERY," This project proposes to install two ion exchange vessels and cartridge filtration in addition to upgrades to the chemical treatment systems and installation a new well pump. Treatment upgrades include a new sodium hypochlorite feed system with a larger double storage tank, separate ammonium sulfate and bimetallic phosphate feed systems. The proposed well pump will have the same capacity, however will operate at a higher pressure and will be equipped with a VFD. New electrical equipment and piping will be installed to accommodate the new equipments. ", Current well station is old and need rehabilitation to include PFAS treatment. Project will help reduce/eliminate PFAS from the water and help system supply potable water to its customer.,50,I,1460073,DWSRF,10/21/2020,10,"$3,970,600",TREAT,"79,710",No,N/A,65,N/A,$0
