"SELFScore",Municipality,"ProjectNumber",Project Description,"EstimatedProject Cost",Region,CME,Population,MHI
647,"KENDALL, VILLAGE OF",5398-01,Rehab Well #2 Including Well House and Treatment Upgrades,"$1,500,000.00",WC,Cameron,453,"$40,385.00"
647,"KENDALL, VILLAGE OF",5398-04,"Rehab Well #4, SCADA, Electrical","$1,500,000.00",WC,Cameron,453,"$40,385.00"
605,"CASSVILLE, VILLAGE OF",5469-05,Replace WMs on Bluff & Fredrick Street,"$1,500,000.00",SC,Robertson,919,"$44,286.00"
569,"UNITY, VILLAGE OF",5570-01,Create New Water System,"$7,000,000.00",WC,Cameron,333,"$40,313.00"
567,"WOODVILLE, VILLAGE OF",5490-02,"Construct well #3, wellhouse, SCADA; abandon well #1","$1,600,000.00",WC,Cameron,"1,330","$45,341.00"
421,"AUGUSTA, CITY OF",5186-05,Replace Well #7 with new Well #11,"$4,165,482.00",WC,Cameron,"1,518","$50,703.00"
404,"SHEBOYGAN, CITY OF 1",4901-09,New Water intake pipe and appurtenances,"$35,000,000.00",SE,Fuja,"48,756","$48,313.00"
390,"MAIDEN ROCK, VILLAGE OF",5606-01,"Rehab Well/House #1, New Piping, Treatment Equipment, SCADA","$555,000.00",WC,Cameron,116,"$64,583.00"
387,"WAUSAUKEE, VILLAGE OF",5512-02,Construct New Well Including Well House and Treatment,"$1,250,000.00",NE,Hannes,563,"$30,543.00"
376,"GRANTSBURG, VILLAGE OF",5377-07,Upgrade Well 3 for Manganese Removal (B),"$1,800,000.00",NO,Andruczyk,"1,318","$39,028.00"
370,"OCONOMOWOC, CITY OF 1",5452-04,"New Well No. 8, well facility, treatment, backup power","$2,662,500.00",SE,Fuja,"17,501","$78,144.00"
370,"BANGOR, VILLAGE OF",5145-06,"Construct Well /House 3, Con.Main, Treatment; Abandon Well 1","$2,650,000.00",WC,Cameron,"1,535","$62,054.00"
361,"ARLINGTON, VILLAGE OF",4758-07,Construct New Treatment Facility & Connecting Mains,"$2,500,000.00",SC,Robertson,834,"$88,182.00"
361,"ARLINGTON, VILLAGE OF",4758-07,Construct New Treatment Facility & Connecting Mains,"$2,500,000.00",SC,Robertson,834,"$88,182.00"
357,"ARLINGTON, VILLAGE OF",4758-04,Construct well #4; abandon well #2,"$1,600,000.00",SC,Robertson,834,"$88,182.00"
338,"REEDSVILLE, VILLAGE OF",4892-02,Nitrate Treatment at Well #3,"$2,455,000.00",NE,Hannes,"1,181","$58,156.00"
337,"MENASHA, CITY OF 1",4845-19,New water intake pipe,"$7,600,000.00",NE,Hannes,"17,468","$52,508.00"
334,"PLOVER - PORTAGE, TOWN OF",5622-01,WM Extension,"$1,200,000.00",WC,Cameron,"1,744","$82,813.00"
326,"COLOMA, VILLAGE OF",4787-03,"Replace WMs along Linden St, Scott St & 3rd St","$993,000.00",NE,Hannes,458,"$42,750.00"
312,"RHINELANDER, CITY OF",5288-10,Construct Well/House #9 & connecting main,"$2,369,300.00",NO,Andruczyk,"7,783","$41,391.00"
304,"RHINELANDER, CITY OF",5288-15,Add Treatment at Well #7 for PFAS,"$3,205,500.00",NO,Andruczyk,"7,783","$41,391.00"
241,"WAUKESHA, CITY OF 1",7000-00,Construct Facilities to Obtain Lake Michigan Water,"$137,839,000.00",SE,Fuja,"71,952","$62,016.00"
229,"WINNECONNE, VILLAGE OF",4939-03,"Treatment at Well 1 & 2, Upgrade Pumping Facilities","$6,200,000.00",NE,Hannes,"2,499","$61,094.00"
210,"ABBOTSFORD, CITY OF",4748-09,New Well to Address nitrate/capacity,"$800,000.00",WC,Cameron,"2,377","$46,250.00"
194,"BLOOMER, CITY OF",4769-04,Replace WMs on Priddy St.,"$500,000.00",WC,Cameron,"3,582","$44,557.00"
194,"BLOOMER, CITY OF",4769-02,Replace WMs/Valves/Hydrants/Services along 16th Avenue,"$840,000.00",WC,Cameron,"3,582","$44,557.00"
149,"ARLINGTON, VILLAGE OF",4758-08,Construct Connecting Main from Well #3 to Treatment Facility,"$500,000.00",SC,Robertson,834,"$88,182.00"
149,"ARLINGTON, VILLAGE OF",4758-10,Rehabilitate Well #3,"$500,000.00",SC,Robertson,834,"$88,182.00"
149,"ARLINGTON, VILLAGE OF",4758-11,Treatment at Well #3,"$500,000.00",SC,Robertson,834,"$88,182.00"
145,"MONTREAL, CITY OF",5621-01,"Replace WMs Along McCrossen Ave, Ontario St, Minnesota Ave & Bessemer St.","$1,667,227.00",NO,Andruczyk,795,"$41,917.00"
144,"BIRCHWOOD, VILLAGE OF",5478-03,Construct STH 48 Loop from Maple Wellhouse to Orchard Ave,"$1,000,000.00",NO,Andruczyk,436,"$36,923.00"
144,"NELSON, VILLAGE OF",5524-04,Construct New Well #2 and Pumphouse.,"$800,000.00",WC,Cameron,358,"$46,528.00"
142,"CAMBRIA, VILLAGE OF",4777-04,"Construct Well #5, Well House, Chem Sys & SCADA","$1,140,000.00",SC,Robertson,756,"$58,523.00"
142,"CAMBRIA, VILLAGE OF",4777-06,Water Blending facility serving wells No. 4 and No. 5,"$2,200,000.00",SC,Robertson,756,"$58,523.00"
142,"CAMBRIA, VILLAGE OF",4777-05,Well No 5 and Treatment Facility,"$2,500,000.00",SC,Robertson,756,"$58,523.00"
