"borrower","pwsid","project_description","project_type","state_rank","state_score","funding_amount","disadvantaged","population","funding_status","principal_forgiveness_amount","state","category"
"Benton County Water Authority #5","AR0000040","Main Replacements and Interconnection  to Rambo Water District No. 1","General","1","913",854696,"No",1468,"Not Funded",NA,"Arkansas","1"
"Gillham Lake Regional Water System","AR0000658","Water Treatment Plant Rehabilitation and  Expansion","General","2","185",4083100,NA,NA,"Not Funded",NA,"Arkansas","1"
"Mena Water Utilities","AR0000438","Irons Fork Water Treatment Facility  Improvements","General","3","174",1084000,"Yes",5590,"Not Funded",NA,"Arkansas","1"
"Central Arkansas Water","AR0000465","West Pulaski County Extension","General","4","144",18500000,"No",330667,"Not Funded",NA,"Arkansas","1"
"Siloam Springs Water Works","AR0000056","Water Treatment Facility Improvements","General","5","124",21033125,"Yes",19022,"Not Funded",NA,"Arkansas","1"
"Lee County Water Association","AR0000313","Aerator Installment","General","6","64",222500,NA,5033,"Not Funded",NA,"Arkansas","1"
"Southeast Bradley County Water Association","AR0000870","Connection and Consolidation with  Banks as well as main replacements","General","7","64",2358073,NA,2665,"Not Funded",NA,"Arkansas","1"
"Central Arkansas Water","AR0000465","Galvanized Pipe Replacement Project","General","8","64",2e+06,NA,313588,"Not Funded",NA,"Arkansas","1"
"Central Arkansas Water","AR0000465","Ozark Point Water Treatment Plant -  Reliability & Redundancy Improvements,  solar panels","General","9","60",3.5e+07,NA,313588,"Not Funded",NA,"Arkansas","1"
"Arkadelphia","AR0000085","Gum Springs Water System  Improvements Project","General","10","60",2843900,NA,10716,"Not Funded",NA,"Arkansas","1"
"Compton Waterworks","AR0000669","Water Distribution System  Rehab/Replacement","General","11","59",4761500,NA,811,"Not Funded",NA,"Arkansas","1"
"Central Arkansas Water","AR0000465","Ridgefield Estates Consolidation","General","12","54",1300000,NA,330667,"Not Funded",NA,"Arkansas","1"
"Big Flat Waterworks","AR0000026","Water System Rehab","General","13","50",3831738,NA,523,"Not Funded",NA,"Arkansas","1"
"Omaha","AR0000064","Water System Improvements","General","14","48",850000,NA,1163,"Not Funded",NA,"Arkansas","1"
"Tillar","AR0000186","Water System Replacement","General","15","47",2567912,"Yes",397,"Not Funded",NA,"Arkansas","1"
"Central Arkansas Water","AR0000465","Paron Owensville Consolidation","General","16","44",6050000,"No",330667,"Not Funded",NA,"Arkansas","1"
"Clinton Waterworks","AR0000564","Water Improvements","General","17","43",5150000,"Yes",2506,"Not Funded",NA,"Arkansas","1"
"Bee Branch","AR0000462","Water System Improvements","General","18","43",3724000,"Yes",5700,"Not Funded",NA,"Arkansas","1"
"Fifty Six","AR0000046","Water Main Replacement Project","General","19","42",2643649,"Yes",595,"Not Funded",NA,"Arkansas","1"
"Riversouth","AR0000674","Water System Improvements","General","20","42",2849400,"Yes",4168,"Not Funded",NA,"Arkansas","1"
"CAW","AR0000465","Perla Consolidation","General","21","40",3225000,"No",313588,"Not Funded",NA,"Arkansas","1"
"Southwest White County Water","AR0000185","Water System Improvements","General","22","40",14441906,"Yes",11270,"Not Funded",NA,"Arkansas","1"
"Arkansas City","AR0000167","Water System Replacement","General","23","39",2750000,"Yes",366,"Not Funded",NA,"Arkansas","1"
"Rosston Water Department","AR0000395","Water Meter and Tank Improvements","General","24","38",545651,"Yes",750,"Not Funded",NA,"Arkansas","1"
"Parkers Chapel","AR0000560","Water System Improvements","General","25","38",1545089,"Yes",2369,"Not Funded",NA,"Arkansas","1"
"Central Arkansas Water","AR0000465","Improve Pump Station 1A, Wilson Water  Treatment Plant","General","26","38",5835000,"Yes",313588,"Not Funded",NA,"Arkansas","1"
"Siloam Springs Water Works","AR0000056","Water Treatment Facility Improvements","General","27","37",3.1e+07,"No",19205,"Not Funded",NA,"Arkansas","1"
"Felsenthal","AR0000545","Distribution Improvements","General","28","36",713874,"Yes",150,"Not Funded",NA,"Arkansas","1"
"Lee County Water Association","AR0000313","Water Line Replacement","General","29","35",881500,"Yes",5033,"Not Funded",NA,"Arkansas","1"
"Judsonia Waterworks","AR0000582","Water System Improvements","General","30","34",1365270,"Yes",2745,"Not Funded",NA,"Arkansas","1"
"New Hope Water Association","AR0000683","Water System Rehabilitation","General","31","34",330156,"Yes",1136,"Not Funded",NA,"Arkansas","1"
"Tumbling Shoals Water","AR0000579","Water System Improvements","General","32","33",5055000,"Yes",3150,"Not Funded",NA,"Arkansas","1"
"Dermott Waterworks","AR0000082","Waterline Replacement","General","33","32",3981696,NA,2889,"Not Funded",NA,"Arkansas","1"
"Strong, City of","AR0000556","Water Line Replacement","General","34","32",1341781,NA,1220,"Not Funded",NA,"Arkansas","1"
"Reed, City of","AR0000603","Water Line replacement","General","35","32",612256,NA,141,"Not Funded",NA,"Arkansas","1"
"Caraway Waterworks","AR0000127","Water Supply Well and Tank Rehab","General","36","31",527000,NA,1375,"Not Funded",NA,"Arkansas","1"
"Dota Public Water Authority","AR0000698","New Tank","General","37","31",550000,NA,2850,"Not Funded",NA,"Arkansas","1"
"Leslie Waterworks","AR0000500","Water Main Replacement Project","General","38","31",2789484,NA,740,"Not Funded",NA,"Arkansas","1"
"Eudora, City of","AR0000083","Water Line Replacement and System  Improvements","General","39","30",4e+06,NA,3158,"Not Funded",NA,"Arkansas","1"
"Washington Water Authority","AR0000574","Water Main Extension","General","40","29",1.2e+07,NA,15103,"Not Funded",NA,"Arkansas","1"
"Johnson Township","AR0000640","Water System Improvements","General","41","29",1394995,NA,600,"Not Funded",NA,"Arkansas","1"
"Batts Lapille","AR0000622","Water System Improvements","General","42","28",284350,NA,583,"Not Funded",NA,"Arkansas","1"
"Dumas Waterworks","AR0000171","Connection with Pickens","General","43","28",270023,"Yes",6061,"Not Funded",NA,"Arkansas","1"
"Cotter Waterworks","AR0000028","Water Main Rehab","General","44","27",5171000,"Yes",886,"Not Funded",NA,"Arkansas","1"
"Mitchellville","AR0000169","Water System Rehabilitation and Tank  Rehabilitation","General","45","27",284987,"Yes",496,"Not Funded",NA,"Arkansas","1"
"Dermott Waterworks","AR0000082","New Well","General","46","26",1040383,"Yes",2889,"Not Funded",NA,"Arkansas","1"
"Deer Water Association","AR0000670","Smith Mountain Road Extension","General","47","25",468275,"Yes",398,"Not Funded",NA,"Arkansas","1"
"Mountainburg","AR0000141","Emergency Power","General","48","25",30000,"Yes",950,"Not Funded",NA,"Arkansas","1"
"Village Water Association","AR0000115","Tank Rehab","General","49","24",402183,"No",379,"Not Funded",NA,"Arkansas","1"
"Wright-Pastoria Water Association","AR0000695","Water Main and Water Meter  Replacement Project","General","50","24",3180875,"Yes",1268,"Not Funded",NA,"Arkansas","1"
"Strong","AR0000556","Well Construction","General","51","23",495466,"Yes",1131,"Not Funded",NA,"Arkansas","1"
"Lawson Urbana Water Association","AR0000548","Well No. 4 Construction","General","52","23",707784,"Yes",1108,"Not Funded",NA,"Arkansas","1"
"Tri County Regional Water","AR0000782","Hector Plant Upgrade/Raw Water Pumps","General","53","22",8e+05,"Yes",16698,"Not Funded",NA,"Arkansas","1"
"Hickory Ridge","AR0000159","Water System Replacement","General","54","22",1207411,"Yes",280,"Not Funded",NA,"Arkansas","1"
"Vilonia","AR0000195","Water System Improvements","General","55","21",17500000,"No",25500,"Not Funded",NA,"Arkansas","1"
"Holiday Island","AR0000078","Water Main and PRV Replacement","General","56","21",7510000,"Yes",2373,"Not Funded",NA,"Arkansas","1"
"Marshall Waterworks","AR0000501","Water Main Rehab","General","57","21",1855200,"Yes",3295,"Not Funded",NA,"Arkansas","1"
"Tyronza","AR0000426","Painting Elevated Tank","General","58","21",245000,"Yes",1262,"Not Funded",NA,"Arkansas","1"
"Dermott Waterworks","AR0000082","Water System Rehabilitation","General","59","21",1735648,"Yes",2889,"Not Funded",NA,"Arkansas","1"
"Lewisville Waterworks","AR0000337","Waterline Improvements","General","60","21",3316583,"Yes",1687,"Not Funded",NA,"Arkansas","1"
"Junction City Waterworks","AR0000552","Water System Rehabilitation","General","61","21",2283408,NA,552,"Not Funded",NA,"Arkansas","1"
"Mountain View Water & Wastewater","AR0000542","Distribution System Improvements","General","62","21",675000,NA,5864,"Not Funded",NA,"Arkansas","1"
"Salem Water Users","AR0000492","Water System Improvements","General","63","21",9e+06,NA,15713,"Not Funded",NA,"Arkansas","1"
"Mountain View","AR0000542","Water System Improvements","General","64","19",9500000,NA,2902,"Not Funded",NA,"Arkansas","1"
"CAW","AR0000465","HSPS Phase 2","General","65","18",4e+06,NA,313588,"Not Funded",NA,"Arkansas","1"
"Bee Branch","AR0000642","Water Line Replacement","General","66","17",65000,NA,3345,"Not Funded",NA,"Arkansas","1"
"Madison County Water Facilities Board","AR0000349","Booster Pump Station & Tank Rehab","General","67","17",1255696,NA,9688,"Not Funded",NA,"Arkansas","1"
"North White County","AR0000583","Water Meter Replacement","General","68","14",521350,NA,5300,"Not Funded",NA,"Arkansas","1"
"Watson Chapel","AR0000284","Water Meter Replacement","General","69","14",775000,NA,5865,"Not Funded",NA,"Arkansas","1"
"Smackover Waterworks","AR0000555","Mount Holly Highway Water Line  Extension","General","70","13",942429,"No",2821,"Not Funded",NA,"Arkansas","1"
"Lisbon Water Association","AR0000716","Water Main Extension","General","71","13",276337,"Yes",487,"Not Funded",NA,"Arkansas","1"
"Vilonia","AR0000195","Waterline Improvements","General","72","11",1045300,"No",23177,"Not Funded",NA,"Arkansas","1"
"Prescott, City of","AR0000394","Raw Water Main Replacement","General","73","11",3397276,"Yes",5198,"Not Funded",NA,"Arkansas","1"
"East End Waterworks","AR0000646","Water Storage Tank","General","74","11",2500000,"No",5800,"Not Funded",NA,"Arkansas","1"
"Monticello","AR0000184","Main St. Relocations","General","75","3",2146616,"Yes",9467,"Not Funded",NA,"Arkansas","1"
"Helena Water Sewer","AR0000418","Water Meter Replacement Project &  ESCO","General","76","3",750000,"Yes",5500,"Not Funded",NA,"Arkansas","1"
"West Helena Water Works","AR0000416","Water Meter Replacement Project &  ESCO","General","77","3",750000,"Yes",7500,"Not Funded",NA,"Arkansas","1"
"Hope WL","AR0000230","Water Line Replacement","General","78","3",450000,"Yes",11405,"Not Funded",NA,"Arkansas","1"
"Central Arkansas Water","AR0000465","ESCO Audit","General","79","3",5e+07,"Yes",313588,"Not Funded",NA,"Arkansas","1"
"MARYSVILLE WATER ASSOCIATION","AR0000001","LSLI","Lead","80","3",6000,NA,744,"Not Funded",NA,"Arkansas","1"
"MOUNT HOLLY WATERWORKS","AR0000002","LSLI","Lead","81","3",5000,NA,384,"Not Funded",NA,"Arkansas","1"
"CALICO ROCK WATERWORKS","AR0000003","LSLI","Lead","82","3",14320,NA,1603,"Not Funded",NA,"Arkansas","1"
"FORREST CITY WATERWORKS","AR0000004","LSLI","Lead","83","3",97140,NA,15435,"Not Funded",NA,"Arkansas","1"
"ST CHARLES WATERWORKS","AR0000005","LSLI","Lead","84","3",5000,NA,347,"Not Funded",NA,"Arkansas","1"
"ALMYRA WATERWORKS","AR0000006","LSLI","Lead","85","3",5000,NA,348,"Not Funded",NA,"Arkansas","1"
"NORTHEAST DEWITT WATER ASSOC","AR0000007","LSLI","Lead","86","3",5240,NA,662,"Not Funded",NA,"Arkansas","1"
"DEWITT WATERWORKS","AR0000008","LSLI","Lead","87","3",30620,NA,3294,"Not Funded",NA,"Arkansas","1"
"GILLETT WATER DEPT","AR0000009","LSLI","Lead","88","3",6820,NA,655,"Not Funded",NA,"Arkansas","1"
"HUMPHREY WATERWORKS","AR0000010","LSLI","Lead","89","3",5060,NA,602,"Not Funded",NA,"Arkansas","1"
"HUGHES COMMUNITY WATER ASSOC","AR0000011","LSLI","Lead","90","3",17300,NA,2030,"Not Funded",NA,"Arkansas","1"
"NORTH LAGRUE WATER ASSOC","AR0000012","LSLI","Lead","91","3",5000,NA,296,"Not Funded",NA,"Arkansas","1"
"STUTTGART WATERWORKS","AR0000013","LSLI","Lead","92","3",85400,NA,9085,"Not Funded",NA,"Arkansas","1"
"MONTROSE / BOYDELL WATER SYSTEM","AR0000014","LSLI","Lead","93","3",5000,NA,473,"Not Funded",NA,"Arkansas","1"
"HAMBURG WATERWORKS","AR0000015","LSLI","Lead","94","3",46000,NA,5357,"Not Funded",NA,"Arkansas","1"
"FOUNTAIN HILL WATERWORKS","AR0000016","LSLI","Lead","95","3",7780,NA,890,"Not Funded",NA,"Arkansas","1"
"CROSSETT WATER COMMISSION","AR0000017","LSLI","Lead","96","3",59660,NA,7900,"Not Funded",NA,"Arkansas","1"
"PORTLAND WATERWORKS","AR0000018","LSLI","Lead","97","3",5000,NA,430,"Not Funded",NA,"Arkansas","1"
"PARKDALE WATERWORKS","AR0000019","LSLI","Lead","98","3",5000,NA,288,"Not Funded",NA,"Arkansas","1"
"WILMOT WATERWORKS","AR0000021","LSLI","Lead","99","3",5580,NA,550,"Not Funded",NA,"Arkansas","1"
"NORTH CROSSETT UTILITIES","AR0000022","LSLI","Lead","100","3",25780,NA,2924,"Not Funded",NA,"Arkansas","1"
"NORTH EAST CROSSETT WATER ASSN","AR0000023","LSLI","Lead","101","3",5000,NA,154,"Not Funded",NA,"Arkansas","1"
"BRIARCLIFF WATERWORKS","AR0000024","LSLI","Lead","102","3",5000,NA,315,"Not Funded",NA,"Arkansas","1"
"MOUNTAIN HOME WATERWORKS","AR0000025","LSLI","Lead","103","3",150080,NA,16333,"Not Funded",NA,"Arkansas","1"
"BIG FLAT WATERWORKS","AR0000026","LSLI","Lead","104","3",5000,NA,523,"Not Funded",NA,"Arkansas","1"
"LAKEVIEW MIDWAY PUBLIC WATER AUTHORITY","AR0000027","LSLI","Lead","105","3",31560,NA,3012,"Not Funded",NA,"Arkansas","1"
"COTTER WATERWORKS","AR0000028","LSLI","Lead","106","3",9120,NA,1125,"Not Funded",NA,"Arkansas","1"
"LAKE BULL SHOALS ESTATES WATER","AR0000031","LSLI","Lead","107","3",5000,NA,54,"Not Funded",NA,"Arkansas","1"
"NORTH EAST PUBLIC WATER AUTH","AR0000033","LSLI","Lead","108","3",36280,NA,4011,"Not Funded",NA,"Arkansas","1"
"GASSVILLE WATERWORKS","AR0000034","LSLI","Lead","109","3",17380,NA,1672,"Not Funded",NA,"Arkansas","1"
"NORFORK WATERWORKS","AR0000035","LSLI","Lead","110","3",7720,NA,1503,"Not Funded",NA,"Arkansas","1"
"COMMUNITY WATER ASSOCIATION (SALESVILLE)","AR0000036","LSLI","Lead","111","3",6300,NA,627,"Not Funded",NA,"Arkansas","1"
