PWSID Number,Project Number,Entity,Project Name,Project City,Project County,Project Description,Project Cost,Population,Entity Type
CO0113050,230960D,96 Pipeline Company,,Ordway,Crowley,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage,"$390,000 ",285,PNFP
CO0121025,140010D,Academy Water and Sanitation District,,Colorado Springs,El Paso,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage ,"$2,190,000 ",810,Gov
CO0201002,210010D,Adams County,Riverdale Regional  Park,Brighton,Adams,Improvement/Expansion of Water Treatment Facilities; Connection to a New or Existing Water Treatment Facility; Construction or Rehabilitation of Distribution and/or Transmission Lines; Water Storage Facilities; Water Supply Facilities,"$7,000,000 ",868,Gov
CO0154108,220010D,Agate Creek Preserve Homeowners Association,,Steamboat Springs,Routt,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters,"$861,000 ",23,PNFP
CO0120001,200010D,Agate Water Association,,Agate,Elbert,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters,"$3,810,000 ",150,PNFP
CO0136100,130350D,"Aguilar, Town of",,Aguilar,Las Animas,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water Supply Facilities; Water  Meters,"$22,700,000 ",497,Gov
CO0161001,140020D,"Akron, Town of",,Akron,Washington,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities; Water Supply Facilities; Water Meters; Source Water Protection Plan; Green Infrastructure,"$730,000 ","1,723",Gov
CO0130116,190100D,Alameda Water and Sanitation District,,Lakewood,Jefferson,Construction or Rehabilitation of Distribution and/or Transmission Lines,"$3,000,000 ","1,650",Gov
CO0102100,140030D,"Alamosa, City of",,Alamosa,Alamosa,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage,"$7,200,000 ","9,806",Gov
CO0157011,230020D,Aldasoro Ranch Homeowners Company,,Telluride,San Miguel,Construction or Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities; Water Supply Facilities; Water Meters; Source  Water Protection Plan; Green Infrastructure,"$14,237,100 ",120,PNFP
CO0147001,140050D,"Alma, Town of",,Alma,Park Appendix A - 2023 DWRF Project Eligibility List  -  1 of 43,Improvement/Expansion of Water Treatment Facilities; Water Meters; Green  Infrastructure,"$400,000 ",290,Gov
CO0154117,220020D,Alpine Mountain Ranch Metropolitan District,,Steamboat Springs,Routt,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities,"$1,400,000 ",25,Gov
Unknown,230030D,Animas View MHP Co-Op,,Durango Estes,La Plata,Construction or Rehabilitation of Distribution and/or Transmission Lines Improvement/Expansion of Water Treatment Facilities; Construction or Construction or Rehabilitation of Distribution and/or Transmission Lines,"$1,139,690 ",217,PNFP
CO0235185,230040D,Annunciation Heights Camp,,Park,Larimer,Improvement/Expansion of Water Treatment Facilities; Construction or Rehabilitation of Distribution and/or Transmission Lines,"$5,000 ",320,PNFP
CO0160175,140080D,Arabian Acres Metropolitan District,,Golden,Teller,New Water Treatment Facilities; Improvement/Expansion of Water Treatment Facilities; Consolidation of Water Treatment Facilities; Connection to a New or Existing Water Treatment Facility; Construction or Rehabilitation of Distribution and/or Transmission Lines; Water Storage Facilities; Water Supply Facilities; Source Water Protection Plan,"$1,080,000 ",392,Gov
CO0103095,143540D,Arapahoe County,Galbraith Estates,Strasburg,Arapahoe,Improvement/Expansion of Water Treatment Facilities; Water Supply  Facilities,"$225,000 ",17,PNFP
CO0203002,220040D,Arapahoe County Water and Wastewater  Authority,,Centennial,Arapahoe,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities,"$12,200,000 ","31,000",Gov
CO0162121,200020D,Aristocrat Ranchettes,,Fort Lupton,Weld,Improvement/Expansion of Water Treatment Facilities; Connection to a New  or Existing Water Treatment Facility; Construction or Rehabilitation of  Distribution and/or Transmission Lines; Water Storage Facilities; Water  Supply Facilities; Water Meters,"$2,675,000 ","1,344",PNFP
CO0137001,140090D,"Arriba, Town of",,Arriba,Lincoln,Improvement/Expansion of Water Treatment Facilities; Connection to a New  or Existing Water Treatment Facility; Construction or Rehabilitation of  Distribution and/or Transmission Lines; Water Storage Facilities; Water  Supply Facilities; Water Meters; Source Water Protection Plan; Green Improvement/Expansion of Water Treatment Facilities; Connection to a New  or Existing Water Treatment Facility; Construction or Rehabilitation of  Distribution and/or Transmission Lines; Water Storage Facilities; Water  Supply Facilities; Water Meters; Source Water Protection Plan; Green Infrastructure,"$4,175,000 ",194,Gov
CO0130001,130130D,"Arvada, City of",,Arvada,Jefferson,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water Supply Facilities; Water  Meters,"$453,695,492 ","124,402",Gov
CO0230036,143550D,Aspen Park Metropolitan District,,Greenwood Village,Jefferson,Improvement/Expansion of Water Treatment Facilities; Connection to a New  or Existing Water Treatment Facility; Construction or Rehabilitation of  Distribution and/or Transmission Lines; Water Storage Facilities; Water  Supply Facilities; Water Meters; Water Rights; Source Water Protection Plan; Improvement/Expansion of Water Treatment Facilities; Connection to a New  or Existing Water Treatment Facility; Construction or Rehabilitation of  Distribution and/or Transmission Lines; Water Storage Facilities; Water  Supply Facilities; Water Meters; Water Rights; Source Water Protection Plan;,"$1,100,000 ",200,Gov
