Project Number,Pts*,Facility,County,PWS ID#,Pop,Estimated Project Cost,Approved Loan Amount,DAC*,Term (Yrs),Loan Type,Interest Rate,Project Description
230960D,10,96 Pipeline Company,Crowley,CO0113050,285,"$20,000 ",,BIL,,,,Construction or Rehabilitation of Distribution and/or  Transmission Lines
140030D,10,"Alamosa, City of",Alamosa,CO0102100,"9,806","$50,000 ",,BIL,,,,Construction or Rehabilitation of Distribution and/or  Transmission Lines
130130D,10,"Arvada, City of",Jefferson,CO0130001,"124,402","$1,530,000 ",,BIL,,,,Construction or Rehabilitation of Distribution and/or  Transmission Lines
140130D,10,"Aurora, City of",Arapahoe,CO0103005,"381,057","$22,000,000 ",,BIL,,,,Construction or Rehabilitation of Distribution and/or  Transmission Lines
160060D,10,Avondale Water and Sanitation District,Pueblo,CO0151050,"1,500","$20,000 ",,BIL,,,,Construction or Rehabilitation of Distribution and/or  Transmission Lines
230050D,10,Beehive Water Association,Otero,CO0145030,154,"$20,000 ",,BIL,,,,Construction or Rehabilitation of Distribution and/or  Transmission Lines
230060D,10,Bent County,Bent,Unknown,"5,650","$20,000 ",,BIL,,,,Construction or Rehabilitation of Distribution and/or  Transmission Lines
230070D,10,Bent's Fort Water Company,Otero,CO0145060,900,"$20,000 ",,BIL,,,,Construction or Rehabilitation of Distribution and/or  Transmission Lines
130570D,10,"Boone, Town of",Pueblo,CO0151150,305,"$20,000 ",,BIL,,,,Construction or Rehabilitation of Distribution and/or  Transmission Lines
140300D,10,"Brookside, Town of",Fremont,CO0122050,236,"$20,000 ",,BIL,,,,Construction or Rehabilitation of Distribution and/or  Transmission Lines
210030D,10,Byers Water and Sanitation District,Arapahoe,CO0103010,"1,322","$10,000 ",,BIL,,,,Construction or Rehabilitation of Distribution and/or  Transmission Lines
140340D,10,"Campo, Town of",Baca,CO0105100,103,"$20,000 ",,BIL,,,,Construction or Rehabilitation of Distribution and/or  Transmission Lines
140350D,10,"Canon City, City of",Fremont,CO0122100,"34,801","$2,000,000 ",,BIL,,,,Construction or Rehabilitation of Distribution and/or  Transmission Lines
