0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,,,,DAC? -,,Funding,,,Anticipa,,
,Water System/,Population,Comprehensive,,,"A, E, W,",,Appropri,,,ted,Anticipated,
Rank,Borrower,Served,Project Name,Project Description,Amount,U,Total Points,ation,Financing,Terms,subsidy,Subsidy Amount,Notes
,,,,,,,,,,,,,Anticipated to
,,,,Consolidation to,,,,,,,,,be Bypassed
,Countryside,,Upgrades and,Artesian - See Adam,,,,,,,State,,for State
1,Hamlet MHP,66,Interconnect,Gould emails,"$745,470",,800,State,,,Grant,"$745,470",Funds
,,,Water System,"New distribution, fire",,,,,,,,,Anticipated to
,,,Improvements and,"hydrants, water meters",,,,,,,,,be Bypassed
,Stage Village,,Consolidation with,and connections to,,,,,,,State,,for State
2,MHP,93,Delmar,Delmar,"$687,800",U,730,State,,,Grant,"$687,800",Funds
,,,,"System Upgrades, add",,,,,,,,,
,Willow Tree,,MHP Water System,storage Kitts,,,,Suppleme,,,Sup,,
3,MHP,141,Upgrades,Hummock Road,"$1,700,000",U,680,ntal,,,DAC,"$1,700,000",
,,,,Water Main,,,,Suppleme,,,Sup,,
4,New Castle,5364,Hewlett-Janvier,Replacement,"$1,490,000",W,670,ntal,,,DAC,"$1,490,000",
,,,,,,,,,,,Base,,
,Delmar to Holly,4500,,Consolidation Holly,,,,,,,Congres,,
5,Oak MHP,210,Water Line Extension,Oak MHP,"$1,100,000",,630,Base,2.00%,20 years,sional,"$981,120",
,,,,"Carey, Walnut and",,,,,,,,,
,,,,Mill Street Main,,,,,,,,,
,,,,Replacement and LSL,,,,,,,,,
6,Milton,3200,LSL replacement,replacement,"$1,330,000",,620,LSLR,2.00%,20 years,,$0,
,,,,Service line,,,,,,,,,
,,,,improvements and,,,,,,,,,
,,,,LSL removal $22.5M,,,,,,,94%,,
6,Wilmington,107976,LSL Removal,LSLR,"$22,500,000","E, W",620,LSLR,,,LSLR,"$12,875,792",
,,,Martin Farms LSL,,,,,,,,,,
7,Seaford,6699,Abatement,Abatement,"$2,072,149",,590,Corpus,2.00%,TBD,,$0,
,,,Raw Water,From Brandywine,,,,,,,,,
,,,Transmission,Creek to either Porter,,,,Suppleme,,,Sup,,
8,Wilmington,107976,Improvements,or Hoopes,"$10,000,000","E, W",580,ntal,,,DAC,"$5,626,080",
,,,,Consolidation Capes,,,,Suppleme,,,,,
9,Lewes BPW,3000,Capes Cove,Cove MHP,"$320,600",,560,ntal,2.00%,20 years,,$0,
,,,Woolford Street LSL,,,,,,,,,,
9,Seaford,6699,Abatement,Abatement,"$601,574",,560,Corpus,2.00%,TBD,,$0,
,,,Jackson St. Service,,,,,,,,,,
10,Frederica,870,Connections,LSL replacement,"$512,000",A*,530,LSLR,,,,"$512,000",
,,,,Water Main,,,,,,,Base,,
11,Magnolia,425,North Main Street,Improvements,"$900,000",A*,525,Base,,,DAC,"$900,000",
,,,,LSL regulatory,,,,,,,,,
,Dover,,LSL inventory,requirements,,,,LSLR,,,,,
12,,38000,,,"$60,000","E,",480,,,,,"$60,000",
,,,,,DAC? -,,Funding,,,Anticipa,,,
,Water System/,Population,Comprehensive,,"A, E, W,",,Appropri,,,ted,Anticipated,,
Rank,Borrower,Served,Project Name,"Project Description
Amount",U,Total Points,ation,Financing,Terms,subsidy,Subsidy Amount,Notes,
,,,,"New 6"" Water well and",,,,,,Base,,,
12,Greenwood,973,Well Replacement,"test well
$378,000",A*,480,Base,,,DAC,"$378,000",,
,,,,,,,Suppleme,,,,,,
,New Castle,,Delaware Street,Water Main Extension,,,ntal,,,,,,
12,,5364,,"$1,743,000",W,480,,2.00%,20 years,,$0,,
,,,Porter Filter Plant,,,,,,,,,,
,,,PFAs Removal- $45M,,,,,,,,,,
13,Wilmington,107976,project EC,"Construct GAC vessels $4,787,405","E, W",450,EC,,,,"75% EC $4,787,405",,
,,,Porter Filter Plant,,,,,,,,,,
,,,PFAs Removal -,,,,,,,,,,
13,Wilmington,107976,$45M project Base,"Construct GAC vessels $40,212,595","E, W",450,Corpus,2.00%,20 years,,$0,,
,,,Dulany Well Abandon,,,,,,,,,,
,,,and Nylon Well,Abandonment and,,,,,,,,,
14,Seaford,6699,Rehab,"Rehabilitation
$1,901,990",,430,Corpus,2.00%,20 years,,$0,,
,,,,,,,,,,Base,,,
15,Frederica,870,Market Street,"Water Main Renewal
$328,000",A*,420,Base,,,DAC,"$328,000",,
,,,Waterline and Service,1 of (7?) Phases to,,,,,,,,,
,,,Line Replacements,replace water and,,,,,,,,,
,Rehoboth Beach,,Phase I,service lines,,,LSLR,,,,,,
16,,1400,,"$2,527,000",,410,,2.00%,20 years,,$0,,
,,,,Pressure and,,,,,,Base,,,
17,Magnolia,425,Elevated Storage Tank,"Redundancy
$2,637,700",A*,405,Base,,,DAC,"$800,000",,
,,,,Mapping and,,,,,,,,,
,Lewes BPW,,LSL inventory,Replacement Planning,,,LSLR,,,,,,
18,,3000,,"$263,000",,400,,2.00%,20 years,,$0,,
,,,,Well and Treatment,,,,,,,,,
,,,Federal Street Well,upgrades with ARPA,,,,,,,,,
18,Milton,3200,and WT,"match
$301,381",,400,Base,2.00%,20 years,,$0,,
,,,SWFWTP PFAs,,,,,,,,,,
19,Newark,40000,Treatment - $4.4M EC PFA WTP Upgrades,"$1,591,169",,380,EC,,,,"25% EC $1,591,169",,
,,,SWFWTP PFAs,,,,,,,,,,
,,,Treatment $4.4M,,,,,,,,,,
19,Newark,40000,Base,"PFA WTP Upgrades
$2,808,831",,380,Corpus,2.00%,20 years,,$0,,
,,,,Clearwell and,,,,,,,,,
,,,Porter Clearwell,associated,,,,,,,,,
19,Wilmington,107976,Improvements,"infrastrucure
$19,000,000","E, W",380,Corpus,2.00%,20 years,,$0,,
,,,Brandywine Springs,,,,Suppleme,,,,,,
20,Artesian,209706,Manor,"Water Main Renewal
$1,035,000",,375,ntal,2.00%,20 years,,$0,,
,,,,,,,Suppleme,,,,,,
20,Artesian,13511,Knox Street,"Water Main Renewal
$250,000",,375,ntal,2.00%,20 years,,$0,,
20,Artesian,209706,Stratford,"Water Main Renewal
$1,354,000",,375,Corpus,2.00%,20 years,,$0,,
,,,Water Production,,,,,,,,,,
20,Magnolia,425,Well,"Well Improvements
$850,500",A*,375,Corpus,2.00%,20 years,,$0,,
,,,,,,DAC? -,,Funding,,,Anticipa,,
,Water System/,Population,Comprehensive,,,"A, E, W,",,Appropri,,,ted,Anticipated,
Rank,Borrower,Served,Project Name,Project Description,Amount,U,Total Points,ation,Financing,Terms,subsidy,Subsidy Amount,Notes
,,,School Lane Solar,Install of additional,,,,,,,,,
21,New Castle,5364,Panels,solar panels,"$547,000",W,370,Base,2.00%,20 years,,$0,
,,,SCADA,SCADA and,,,,,,,,,
21,New Castle,5364,Improvements,monitoring Upgrades,"$50,000",W,370,Bse,2.00%,20 years,,$0,
22,Artesian,1872,Delaware City,Interconnect,"$3,850,000",,360,Corpus,2.00%,20 years,,$0,
,,,"John, S. Laws, Oak",,,,,,,,,,
,,,Streets and Elem,,,,,,,,,,
22,Bridgeville,2256,School,Water Main Renewal,"$2,033,000",,360,Corpus,2.00%,20 years,,$0,
,Cheswold/TUI,,Main and Commerce,Water Main Extension,,,,,,,,,
22,Garrison Lake,12567,Street,Loop,"$290,000","E,",360,Corpus,2.00%,20 years,,$0,
,,,,LSL inventory and,,,,,,,,,
22,Dover,38000,Brandywine Court,replacement,"$115,000","E,",360,LSLR,2.00%,20 years,,"$115,000",
,,,,Water Main,,,,,,,,,
22,Lewes BPW,3000,Kings Highway,Replacement,"$4,300,000",,360,Corpus,2.00%,20 years,,$0,
,,,,School Lane WTP,,,,,,,,,
22,New Castle,5364,PFAs Treatment,Expansion,"$2,092,000",W,360,Corpus,2.00%,20 years,,$0,
,,,,Pressure and,,,,,,,,,
23,Frederica,870,Water Storage Tower,Redundancy,"$3,715,000",A*,350,Corpus,2.00%,20 years,,$0,
24,Artesian,13511,Railroad Street,Water Main Renewal,"$320,000",,345,Corpus,2.00%,20 years,,$0,
,,,,WTP Electrical,,,,,,,,,
25,Wilmington,107976,Porter Filter Plant,Upgrades,"$11,000,000","E, W",330,Corpus,2.00%,20 years,,$0,
,,,,Install of emergency,,,,,,,,,
,,,School Lane Natural,standby generator for,,,,,,,,,
