Loan Applicant,L17#,Project Description,"Facility No,","Est.
Construction
Start",Estimated Loan Amount
ALBION,TBD,CONSTRUCT NEW TREATMENT PlANT TO ELIMINATE MANGANESE,IL0470050,2023-02-01 0:00:00,13000000
ARCOLA,TBD,WATERMAIN REPLACEMENT,IL0410020,2023-02-16 0:00:00,"$1,200,000"
BELVIDERE,TBD,NEW WELL HOUSE & WELL HOUSE TO REPLACE WELLS WITH PFAS,IL0070050,3/1/2023,"$5,135,000"
BOND MADISON WATER COMPANY,4892,"WATER SYSTEM IMPROVEMENTS: WATERMAIN LOOPING & EXTENSIONS, TOWER PAINTING, AND
SCADA UPGRADES",IL0050020,2023-10-01 0:00:00,2000000
BREESE,TBD,"NEW 300,000-GALLON ELEVATED WATER TANK",IL0270250,2023-11-01 0:00:00,2140000
CHANNAHON,TBD,NEW DEEP WELL & WATER TREATMENT PlANT,ll1970200,2022-11-01 0:00:00,7200000
CHATSWORTH,TBD,"REPLACEMENT OF WATERMAIN, FIRE HYDRANT, AND VALVE & LOOPING",ll1050100,2024-04-20 0:00:00,1270000
CHESTER,3508,WATER PLANT RENOVATIONS WITH LIME SILO,!L1570100,2022-05-01 0:00:00,4100000
CHICAGO,3628,REHAB SEDIMENT FORCE MAIN,IL0316000,2023-03-06 0:00:00,5550000
CHICAGO,TBD,WATER METER REPLACEMENT,lL0316000,2022-10-31 0:00:00,20000000
CLINTON,TBD,"REPLACEMENT OF ELEVATED STORAGE TANK WITH 300,000-GALLON TANK, WATERMAIN
REPLACEMENT, & TREATMENT PLANT REHAB",JL03900SO,2023-09-30 0:00:00,7200000
CREST HILL,5754,DRILL NEW WELL AND CONSTRUCT TREATMENT PLANT,IL1970250,2022-10-18 0:00:00,4591900
CREST HILL,5755,DRILL NEW WELL AND CONSTRUCT TREATMENT PLANT,ll1970250,2022-10-18 0:00:00,4591900
DECATUR,TBD,ELECTRICAL SYSTEM AND RAW WATER PUMP STATION UPGRADES,IL11S0150,2024-06-01 0:00:00,20000000
DOWNERS GROVE,6103,WATERMAIN & METER REPLACEMENT; BACKUP WELLS & STORAGE TANK REHAB,IL0430300,2023-07-31 0:00:00,3500000
DOWNERS GROVE,6104,WATERMAIN & METER REPLACEMENT; BACKUP WELLS & STORAGE TANK REHAB,IL0430300,2024-05-15 0:00:00,3500000
DOWNERS GROVE,6105,WATERMAIN & METER REPLACEMENT; BACKUP WELLS & STORAGE TANK REHAB,!L0430300,2025-05-08 0:00:00,3500000
DOWNERS GROVE,6106,WATERMAIN & METER REPLACEMENT; BACKUP WELLS & STORAGE TANK REHAB,IL0430300,2026-05-08 0:00:00,3500000
DOWNERS GROVE,6107,WATERMAIN & METER REPLACEMENT; BACKUP WELLS & STORAGE TANK REHAB,IL0430300,2027-05-07 0:00:00,3500000
EDINBURG,3922,WATERMAIN CONNECTION AND WATERMAIN INTERCONNECT,IL0210150,2022-07-25 0:00:00,NOT PROVIDED
EMINGTON,6140,WATER TREATMENT PLANT IMPROVEMENTS,IL1050300,2023-03-13 0:00:00,1300000
EUREKA,TBD,WATER SYSTEM IMPROVEMENTS,ll2030200,2022-12-30 0:00:00,2686000
GLEN CARBON,TBD,CONSTRUCT FOUR NEW WELLS,IL1190300,"3/15/20""24",18300000
GLENWOOD,3827,"WATERMAIN, VALVES ANO HYDRANT REPLACEMENT",!L03110S0,2023-06-05 0:00:00,6300000
GRAND TOWER,5673,WATERMAIN & FIRE HYDRANT REPLACEMENT,1L0770400,2022-09-01 0:00:00,1850000
GRANVILLE,TBD,"INSTALL LOOPED WATERMAINS, FIRE HYDRANTS & VALVES",lllSSOOSO,2021-06-01 0:00:00,420000
HARWOOD HEIGHTS,TBD,WATERMAIN REPLACEMENT,IL0311140,2023-10-02 0:00:00,"$2,500,000"
HILLCREST,3517,PHASE 1- WATERMAIN REPLACEMENT,IL14102SO,2023-02-01 0:00:00,2661184
HOPKINS PARK,TBD,WATER METER REPLACEMENT,!L0910040,2022-10-01 0:00:00,"$456,000"
IRVINGTON,6117,REPAINT ELEVATED STORAGE TANK,1L1890250,2022-06-01 0:00:00,350000
ITASCA,TBD,NORTH SIDE WATERMAIN & SERVICE LINE REPLACEMENT,IL0430500,2023-10-20 0:00:00,6500000
ITASCA,TBD,NORTH SIDE WATERMAIN & SERVICE LINE REPLACEMENT,IL0430500,2024-10-20 0:00:00,6200000
KENILWORTH,TBD,WATERMAIN REPLACEMENT,IL0311500,2023-03-20 0:00:00,911789
KINCAID,6059,WATERMAIN & METER REPLACEMENT; INSTALLATION OF NEW WATERMAINS,lL0210250,2022-07-01 0:00:00,1329000
KINCAID,6061,INSTALLATION OF NEW WATERMA1NS,1L0210250,2023-04-01 0:00:00,1785000
KINCAID,6062,"REPAIR WATER TOWER, CONSTRUCT NEW 100,000-GALLON WATER TOWER, & WATERMAIN LOOPING",IL0210250,2024-04-01 0:00:00,1891000
KIRKWOOD,6139,UPDATE VERTICAL PRESSURE FILTER SYSTEM,IL1870050,2023-02-28 0:00:00,267800
LAKE MATTOON PUBLIC WD,6064,NEW WATERMAIN INSTALLATION,IL0295250,2022-07-01 0:00:00,574000
LONG CREEK TOWNSHIP,2661,NEW WELL AND TWO ELEVATED WATER STORAGE TANKS,lL1155150,2023-02-01 0:00:00,7525000
LOVES PARK,6052,PHASE 1 - WATERMAIN EXTENSION,ll2010150,2022-08-01 0:00:00,2102860
LOVES PARK,6053,PHASE 2 - WATERMAIN REPLACEMENT,IL2010150,2024-04-01 0:00:00,2951812
LOVES PARK,6054,PHASE 3 - NEW WELL & WELL HOUSE,IL2010150,2025-04-01 0:00:00,"$4,540,900"
LOVES PARK,6055,PHASE 4 - ELEVATED STORAGE TANK NO. 2 REPAINTING,IL2010150,2027-04-01 0:00:00,539650
LOVES PARK,6056,PHASE 5 - NEW ELEVATED STORAGE TANK NO. 5,!L2010150,2028-04-01 0:00:00,"$5,835,160"
LOVES PARK,6149,PHASE 3B - NEW ELEVATED STORAGE TANK NO. 4,IL2010150,2025-04-01 0:00:00,4501960
LOVES PARK,6150,PHASE 2B - INSTALL BOOSTER PUMP & PRV,IL2010150,2024-04-01 0:00:00,1330000
MACOMB,4231,NEW WATER TREATMENT PLANT WITH 5 DEEP WELLS,!L1090350,2025-02-14 0:00:00,25000000
MARINE,TBD,ELEVATED WATER TOWER REPAINTING & WATERMAIN REPLACEMENT,lll190300,2024-03-01 0:00:00,800000
MORRIS,TBD,NEW WATER TREATMENT PLANT & DRILL TWO WELLS,IL0630600,2023-08-01 0:00:00,17500000
MOUND PUBLIC WATER AND SEWER DISTRICT,TBD,WATER TANK PAINTING & METER REPLACEMENT,IL1835050,7/1/2023,"450,000"
MT. VERNON,5591,"REPLACEMENT OF WATER TANK WITH A NEW 5OO,OO0-GALLON STORAGE TANK",ILOB10300,2022-07-18 0:00:00,2180000
MURLDALE WATER DISTRICT,6157,"WATERMAIN REPLACEMENT; UPGRADING OF GENERATORS AND PUMP STATIONS; WATER TANK
REHAB",IL0775200,2022-10-01 0:00:00,1093000
NEW LENOX,TBD,"REPlACEMENT OF WATERMAIN, FIRE HYDRANT & SERVICE",IL1970700,2023-06-01 0:00:00,1400000
NEWMAN,TBD,ELEVATED STORAGE TANK & OENTENTION TANK REPAINTING; FILTER MEDIA REPLACEMENT; FILTER REHAB,ll0410250,2022-06-01 0:00:00,664000
NORTH PARK PUBLIC WATER DISTRICT,6151,NW BOOSTER PUMP STATION & GENERATOR,IL2015500,2023-03-01 0:00:00,964800
OAK LAWN,5086,#8 - TRANSMISSION MAIN PALOS HILLS & PALOS PARK,IL0312220,2023-06-01 0:00:00,4391560
OAK LAWN,5086,#8 - TRANSMISSION MAIN PALOS HILLS & PALOS PARK,IL0312220,2023-06-01 0:00:00,4391560
PALOS HEIGHTS,TBD,REPLACEMENT OF APPROXIMATELY 4000FT WATERMAIN,IL0312370,2025-06-02 0:00:00,1500000
PALOS HEIGHTS,TBD,REPLACEMENT OF APPROXIMATELY 6000FT WATERMAIN,IL0312370,2027-06-01 0:00:00,2900000
PALOS HEIGHTS,TBD,REPLACEMENT Of APPROXIMATELY 1800FT WATERMAIN,IL0312370,2023-06-01 0:00:00,1100000
PALOS HEIGHTS,TBD,REPLACEMENT OF APPROXIMATELY 3200FT WATERMAIN,IL0312370,2024-06-03 0:00:00,1500000
PALOS HEIGHTS,TBD,REPLACEMENT OF APPROXIMATELY 900FT WATERMAIN,IL0312370,6/l/'l026,1220000
PALOS PARK,5228,WATERMAIN REPLACEMENT,IL0311000,2023-03-01 0:00:00,2185000
PLEASANT VALLEY PUBLIC WATER DISTRICT,6112,"NEW 100,000-GALLON ELEVATED WATER STORAGE TANK",!L143S470,2022-09-05 0:00:00,"$1,500,000"
PORT BYRON,TBD,CONSTRUCTION OF A NEW WTP & WATERMAIN REROUTING,ILOS01722,2023-10-16 0:00:00,4000000
ROBINSON PALESTINE WATER COMMISSION,TBD,NEW WATER TREATMENT PLANT,IL033S030,2023-01-01 0:00:00,NOT PROVIDED
ROCHELLE,5443,CONSTRUCT IRON REMOVAL SYSTEM AT WELL NO. 8,!L1410SOO,2023-03-01 0:00:00,7644000
ROCKDALE,TBD,WATERMAIN REPLACEMENT PROJECT BELLEVIEW AVE FROM MIDLAND TO WHEELER,IL19708SO,2025-04-01 0:00:00,1635000
ROCKDALE,TBD,WATERMAIN REPLACEMENT PROJECT MOUND ROAD FROM MIDLAND WEST,ll19708SO,2025-04-01 0:00:00,675000
ROCKDALE,TBD,WATERMAIN REPLACEMENT PROJECT MEADOW AVE FROM MORRIS TO WHEELER,!L19708SO,2024-04-01 0:00:00,"$2,950,000"
ROCKDALE,TBD,TWO WATERMAIN VAULTS AND CONNECTION WITH JOLIET,IL19708SO,2027-04-01 0:00:00,4200000
ROCKFORD,4594,WELL 34 TREATMENT IMPROVEMENTS TO REMOVE RADIUM AND IRON,IL2010300,2022-07-01 0:00:00,8517500
Round Lake Beach,TBD,Watermain and meter replacement.,IL0971550,2023-11-01 0:00:00,1300000
