Loan Applicant,L17#,Project Description             ,Facility No.,"Estimated Construction
Start",Estimated Loan Amount
CHICAGO HEIGHTS,4823,REHAB PUMP STATION EQUIPMENT,ll03104SO,2023-04-01 0:00:00,2700000
CHICAGO HEIGHTS,6014,PAINTING AND REHABING WATER TOWER AND STORAGE TANK,ll03104SO,2023-04-01 0:00:00,2500000
BUTLER,6039,PHASE 3-WATERMAIN REPLACEMENT,!Ll350050,2023-04-01 0:00:00,1500000
MINOOKA,3890,WATERMAIN EXTENSION,IL0630550,2023-04-30 0:00:00,3493890
MASON CITY,6008,"REPLACEMENT OF OLD TOWER WITH NEW STEEL 500,000-GALLDN WATER TOWER",IL125035O,2023-05-01 0:00:00,3800000
MAHOMET,5789,"REPLACEMENT OF WATERMAIN, FIRE HYDRANTS, & VALVES",IL01904SO,2023-05-01 0:00:00,3651000
MARSHALL,3486,INSTALLATION OF 100 WATER METERS,IL0230100,2023-05-01 0:00:00,465000
CHICAGO,5652,REPLACE SO MILES OF WATERMAINS,IL0316000,2023-05-22 0:00:00,83500000
BLUE MOUND,5762,PHASE 3 -TREATMENT PLANT IMPROVEMENTS & WATERMAIN REPLACEMENT,IL115010D,2023-06-01 0:00:00,970100
FREEPORT,5643,PHASE 3- NEW WELL N0,lL1770200,2023-06-01 0:00:00,11000000
CRESTWOOD,5525,"WATERMAIN, VALVE, HYDRANT AND SERVICE LINE",IL0310600,2023-06-01 0:00:00,2988980
GALATIA,6072,"WATERMAIN, FIRE HYDRANT & VALVE REPLACEMENT",IL16501SO,2023-06-01 0:00:00,1000000
SCHRAM CITY,5974,PHASE 3 -WATERMAIN REPLACEMENT (4700FT),IL1350600,2023-06-01 0:00:00,700000
FORSYTH,5925,"REPAIR OF THE WATER TOWER, GROUND STORAGE TANK, AERATOR, AND FILTERS",IL1150200,2023-06-05 0:00:00,1698000
MT. VERNON,5592,WATERMAIN REPLACEMENT,1LOB10300,2023-07-01 0:00:00,3235000
IVESOALE,5884,WATERMAIN REPLACEMENT,IL0194560,2023-08-01 0:00:00,800000
ST. ANNE,6043,EXPAND WELLHOUSE FOR IRON & MANGANESE FILTRATION SYSTEM,1L0910700,B/1/2023,1130000
ST. ANNE,6070,PHASE 3 - WATERMAIN REPLACEMENT,IL0910700,2023-08-01 0:00:00,1450000
SESSER,5796,PHASE 3 - REPLACEMENT OF OLD CAST IRON & ACP WATERMAINS,!LOSS0450,2023-08-01 0:00:00,800000
MURRAYVILLE-WOODSON WC,6063,"REPLACEMENT OF WATERMAIN, FIRE HYDRANTS, VALVE & SCADA SYSTEM",ll1375150,2023-08-15 0:00:00,632180
LEE,6167,WATERMAIN REPLACEMENT & LOOPING,IL1034600,2023-08-29 0:00:00,1377000
MOUNT CARROLL,6006,WATEMAIN REPLACEMENT & LOOPING,1L0150200,9/1/2023,890000
PINGREE GROVE,6159,WATER TOWER REPLACEMENT,ILOB90160,2023-09-01 0:00:00,4500000
POLO,6050,NEW WELL & CONSTRUCT NEW WATER TREATMENT BUILDING,IL1410450,2023-10-01 0:00:00,2289000
DIXMOOR,5976,WATER METER REPLACEMENT PHASE 2,IL0310660,2023-10-15 0:00:00,327000
DOWNS,6036,"PHASE 2- CONSTRUCT 125,000-GALLON WATER STORAGE TANK",IL1130500,2023-11-01 0:00:00,"$1,500,000"
MOULTRIE COUNTY RURAL PWD,5875,"WATERMAIN REPLACEMENT, REHABILITATION OF 3 WATER TOWERS, & GENERATOR INSTALLATION",lll3951SO,2023-11-01 0:00:00,1147000
CULLOM,5877,NEW CARBON ACTIVATED IRON/MANGANESE FILTRATION SYSTEM,ll1050200,2023-11-07 0:00:00,1150000
SPARTA,5881,"REPLACE 7.5MI RAW WATERMAIN, NEW MAIN & METER CONNECT TO COULTERVILLE",IL1570600,2023-12-01 0:00:00,4200000
HARRISTOWN,5990,WATERMAIN LOOPING & REPAIR WATER TOWER,IL1150210,2023-12-04 0:00:00,1113000
WEST FRANKFORT,6144,PHASE 3 - WATER METER REPLACEMENT,IL0550700,2023-12-30 0:00:00,800000
ENFIELD,6135,PHASE 2 - REPLACE 474 WATER METERS & METER READ SYSTEM,IL1930200,2024-02-01 0:00:00,400000
DIXON,5649,PHASE 5 - WATERMA\N REPLACEMENT,IL1030200,2024-03-01 0:00:00,2871000
BROUGHTON,5819,PHASE 3 -WATERMAIN REPLACEMENT,IL0650100,2024-04-01 0:00:00,800000
KIRKLAND,5852,NEW WELL & WELL HOUSE,IL0370300,2024-04-01 0:00:00,2984000
FORRESTON,5807,PHASE 2 - WATERMAIN REPLACEMENT,IL0730200,2024-05-01 0:00:00,1429771
MARSHALL,3487,WATERMAIN LOOPING,!L0230100,2024-06-01 0:00:00,1247000
MT. VERNON,5593,WATERMAIN REPLACEMENT,1LOB10300,2024-07-01 0:00:00,3235000
NORTH CHICAGO,4589,"NEW 2,000,000-GALLON WATER TOWER & CONNECTING TRANSMISSION MAIN",!L0971250,2024-07-01 0:00:00,6647920
IVESDALE,5885,WATERMAIN REPLACEMENT,IL0194560,2024-08-01 0:00:00,800000
SESSER,5797,PHASE 4 - REPLACEMENT OF OLD CAST IRON & ACP WATERMAINS,ILOSS04SO,2024-08-01 0:00:00,800000
ELMHURST,4294,NORTH RESERVOIR & BOOSTER STATION REHAB,IL0430350,2024-10-15 0:00:00,7300000
MOULTRIE COUNTY RURAL PWD,5876,WATERMAIN EXTENTION &VALVE INSTALLATION,!L1395150,2024-11-01 0:00:00,1066500
DIXON,5650,PHASE 4 - WATERMAIN REPLACEMENT,lL1030200,2025-03-01 0:00:00,2057000
BROUGHTON,5820,PHASE 4- WATERMAIN REPLACEMENT,IL0550100,2025-04-01 0:00:00,675000
KIRKLAND,5851,REPAINT ELEVATED STORAGE TANK,IL0370300,2025-04-01 0:00:00,2984000
MARSHALL,5917,REHABILITATION OF NORTH WATER TOWER,IL0230100,2025-06-01 0:00:00,650000
MT. VERNON,5594,WATERMAIN REPLACEMENT,ILOB10300,2025-07-01 0:00:00,3235000
FORSYTH,5926,WATERMAIN REPLACEMENT,ll1150200,2025-09-01 0:00:00,1787000
MARSHALL,5918,"INSTALLATION OF NEW 500,000-GALLON WATER TOWER",IL0230100,6/1/2026,"$2,783,000"
