Loan Applicant,L17#,Project Description,Facility No.,Est. Construction Start, Estimated Loan Amount
ALGONQUIN,TBD,LEAD SERVICE LINE REPLACEMENT PROJECT (250 LINES),IL1110050,2024-03-01 0:00:00,"$4,000,000"
ARCOLA,TBD,LEAD SERVICE LINE REPLACEMENT PROJECT,ILD410020,2023-02-16 0:00:00,"$1,200,000"
ARLINGTON HEIGHTS,6158,LEAD SERVICE LINE REPLACEMENT PROJECT,!L0314030,2023-05-01 0:00:00,"$4,000,000"
BARTLITT,6113,LEAD SERVICE LINE REPLACEMENT PROJECT (201 LINES),ll0314120,2022-06-01 0:00:00,"$3,126,426"
BERWYN,TBD,LEAD SERVICE LINE REPLACEMENT PROJECT,ll0310210,2023-10-02 0:00:00,"$4,000,000"
BURNHAM,TBD,REPLACE LEAD SERVICE LINES,IL0310360,2023-10-17 0:00:00,"$4,000,000"
BURNHAM,TBD,REPLACE LEAD SERVICE LINES,IL0310360,2023-10-17 0:00:00,"$1,550,000"
CALUMET PARK,TBD,REPLACE LEAD SERVICE LINES,IL0310420,2023-10-15 0:00:00,"$4,000,000"
CANTON,6094,LEAD SERVICE LINE REPLACEMENT PROJECT (375 LINES),IL0570250,2023-08-15 0:00:00,"$3,055,150"
CICERO,TBD,REPLACEMENT OF APPROXIMATELY 320 LEAD SERVICE LINES,IL03010510,2023-04-03 0:00:00,"$4,000,000"
COAL CITY,6111,LEAD SERVICE LINE REPLACEMENTPROJECT,IL0530050,2023-03-06 0:00:00,"$11,810,000"
DECATUR,TBD,LEAD SERVICE LINE REPLACEMENT PROJECT,IL1150150,2023-04-01 0:00:00,"$4,000,000"
DOLTON,TBD,LEAD SERVICE LINE REPLACEMENT PROJECT,IL0310690,2023-10-01 0:00:00,"$4,000,000"
ELMWOOD PARK,6166,LEAD SERVICE LINE REPLACEMENT PROJECT,IL0310780,2023-04-03 0:00:00,"$4,000,000"
EVANSTON,5993,DEVELOP PLAN TO REPLACE LEAD SERVICE LINES & REPLACEMENT,!L0310810,2023-05-09 0:00:00,"$3,803,089"
FOREST PARK,TBD,LEAD SERVICE LINE REPLACEMENT & METER REPLACEMENT,1L0310900,2023-05-01 0:00:00,"$4,000,000"
GALENA,6109,LEAD SERVICE LINE REPLACEMENT PROJECT,IL0850200,2022-08-01 0:00:00,"$3,729,455"
GRAND RIDGE,TBD,LEAD SERVICE LINE REPLACEMENT PROJECT,IL0990200,2021-04-01 0:00:00,"$650,000"
HARWOOD HEIGHTS,TBD,LEAD SERVICE LINE REPLACEMENT PROJECT,IL0311140,2023-10-02 0:00:00,"$4,000,000"
HENNEPIN PUBLIC WD,TBD,LEAD SERVICE LINE REPLACEMENT PROJECT,IL1555100,2022-04-01 0:00:00,"$680,000"
KINCAID,6060,POTHOLING & REMOVAL AND REPLACEMENT OF 328 LEAD SERVICE LINES,!L02102SO,2022-07-01 0:00:00,"$3,862,000"
KNOXVILLE,6000,REPLACE 45 LEAD SERVICE LINES,!L0950200,2023-01-01 0:00:00,"$1,300,000"
LANSING,6119,LEAD SERVICE LINE REPLACEMENT PROJECT,IL0311S90,2024-01-01 0:00:00,"$4,000,000"
LINCOLNWOOD,TBD,LEAD SERVICE LINE REPLACEMENT & REPLACEMENT OF MTU READERS,IL03il6SO,2023-05-01 0:00:00,NOT PROVIDED
LOCKPORT,6116,LEAD SERVICE LINE REPLACEMENT PROJECT,!L1970500,2023-03-06 0:00:00,"$1,850,000"
MATTESON,TBD,REPLACE 641 LEAD SERVICE LINES,IL0311800,2024-01-01 0:00:00,"$4,000,000"
MIDLOTHIAN,TBD,REPLACE LEAD SERVICE LINES,IL0311920,2023-10-17 0:00:00,"$4,000,000"
MIDLOTHIAN,TBD,REPLACE LEAD SERVICE LINES,IL0311920,2024-10-17 0:00:00,"$4,000,000"
MORRIS,TBD,LEAD SERVICE LINE REPLACEMENT PROJECT,IL0630500,2023-03-01 0:00:00,"$13,250,000"
NAPERVILLE,4061,REPLACE 350 LEAD SERVICE LINES,!L0434670,2023-03-01 0:00:00,"$8,021,337"
NORRIDGE,TBD,LEAD SERVICE LINE REPLACEMENT PROJECT,IL0312040,2023-10-02 0:00:00,"$4,000,000"
NORTHFIELD,6120,LEAD SERVICE LINE REPLACEMENT PROJECT {114 LINES),IL0312100,2023-03-01 0:00:00,"$2,421,400"
NORTHLAKE,TBD,LEAD SERVICE LINE REPLACEMENT PROJECT (130 LINES),!L03147io,2023-05-01 0:00:00,"$2,500,000"
PALATINE,TBD,REPLACE LEAD SERVICE LINES,!L0312340,2024-01-01 0:00:00,"$4,000,000"
PECATONICA,6138,LEAD SERVICE LINE REPLACEMENT PROJECT,ll2010250,2023-04-01 0:00:00,"$1,250,000"
PERU,TBD,LEAD SERVICE LINE REPLACEMENT PROJECT,IL0990850,2023-05-01 0:00:00,"$1,500,000"
PORT BYRON,TBD,REPLACEMENT OF APPROXIMATELY 125-160 LEAD SERVICE LINES,IL0501722,2023-07-24 0:00:00,"$1,600,000"
RIVERSIDE,TBD,LEAD SERVICE LINE REPLACEMENT PROJECT,1L0312670,2023-04-03 0:00:00,"$4,000,000"
ROCKDALE,TBD,LEAD SERVICE LINE REPLACEMENT PROJECT (Sl LINES),IL1970850,2026-04-01 0:00:00,"$1,115,000"
ROCKFORD,6066,PHASE 6 - LEAD SERVICE LINE REPLACEMENT PROJECT,!l2010300,2024-04-01 0:00:00,"$4,500,000"
SAVANNA,TBD,LEAD SERVICE LINE REPLACEMENT PROJECT,IL0150250,2023-07-17 0:00:00,"$2,500,000"
SHELBYVILLE,5869,LEAD SERVICE LINE REPLACEMENT PROJECT,IL1730300,4/1/2023,"$20,673,200"
SOUTH HOLlAND,TBD,REPLACE LEAD SERVICE LINES,IL0312970,2023-10-17 0:00:00,"$4,000,000"
SOUTH HOLLAND,TBD,REPLACE LEAD SERVICE LINES,IL0312970,2024-10-17 0:00:00,"$2,500,000"
ST. CHARLES,5905,REPLACE LEAD SERVICE LINES,IL0894830,2023-03-01 0:00:00,"$20,000,000"
STEGER,TBD,REPLACE LEAD SERVICE LINES,IL0314860,2023-10-02 0:00:00,"$4,000,000"
STICKNEY,TBD,REPLACEMENT OF APPROXIMATELY 320 LEAD SERVICE LINES,IL03013000,2023-04-03 0:00:00,"$4,000,000"
VANDALIA,TBD,LEAD SERVICE LINE REPLACEMENT PROJECT.,ll0510350,2023-02-15 0:00:00,"$1,200,000"
VILLA PARK,TBD,LEAD SERVICE LINE REPLACEMENT PROJECT,IL0430800,2023-05-01 0:00:00,"$4,000,000"
WAUKEGAN,TBD,LEAD SERVICE LINE REPLACEMENT PROJECT,!L0971900,2024-01-01 0:00:00,"$4,000,000"
WESTERN SPRINGS,TBD,LEAD SERVICE LINE REPLACEMENT PROJECT,IL0313180,3/1/2024,"$584,375"
WYANET,TBD,LEAD SERVICE LINE REPLACEMENT PROJECT,IL0111150,2022-04-01 0:00:00,"$1,494,000"
