Loan Applicant,L17#,Project Description             ,Facility No.,"Estimated Construction
Start","Projected
Loan Amount","Disadvantaged Community
Principal
Forgiveness","Service
Population","Loan Priority
Score"
DIAMOND,3919,LEAD SERVICE UNE & LEAD METER REPLACEMENT PROJECT,IL0630250,2022-10-01 0:00:00,335693,,2506,125
HAZEL CREST,6028,REPLACE 4600 WATERMAINS & METER READ SYSTEM,IL0311170,2022-11-01 0:00:00,1122000,,14000,125
MOULTRIE COUNTY RURAL PWD,5999,"WATERMAIN REPLACEMENT, EXTENSION, & LOOPING",IU395150,2022-11-01 0:00:00,962000,,2699,125
NILWOOD,5978,REPLACEMENT OF ELEVATED STORAGE TANK & METERS,IU1707SO,2022-06-15 0:00:00,2659000,,1063,125
PECATONICA,5996,REHAB ELEVATED STORAGE TANK,IL2010250,2022-07-01 0:00:00,850000,,2090,125
VOLO,3860,NORTHEAST WATER TRANSMISSION MAIN,IL0971770,2021-09-07 0:00:00,4000000,,6122,125
WATSEKA,5979,WATERMAIN REPLACEMENT - N 3RD ST & ELM ST,ll0750900,2022-11-01 0:00:00,"$1,500,000",,5400,125
SIDELL,2942,NEW ELEVATED STORAGE TANK & 380 FT OF WATERMAINS,IU830850,2023-03-01 0:00:00,1185500,,590,120
NEW MEMPHIS PWO,4240,WATERMAIN REPLACEMENT,IL0275350,2023-03-31 0:00:00,950000,,900,110
IND!AN HEAD PARK,6065,REHAB PUMP STATION & EXTERIOR GENERATOR,ll0311410,2022-11-08 0:00:00,1600000,,3059,105
ATKINSON,5866,"REPLACMENT OF 2,7SO lF � F.8"" WATERMAIN",!L0730200,2022-11-01 0:00:00,1566044,,972,100
DESOTO,6068,INSTALL RADIO READ METERS & WATERMAlN REPLACEMENT,IL0770200,2022-10-01 0:00:00,"$1,015,287",,2380,100
PLAINFIELD,6147,OLD TOWN PHASE 2 UTILITY IMPROVEMENTS-WATERMAIN REPLACEMENT,lll970800,2023-03-01 0:00:00,2323056,,39581,95
PIERRON,5829,REHABILITATION TO EAST & WEST ELEVATED STORAGE TANKS,!U194760,2022-08-01 0:00:00,495000,,600,90
LOST LAKE UT!UTY DISTRICT,6092,WATERMAIN REPLACEMENT & LOOPING,!U415100,2022-12-01 0:00:00,1009000,,704,70
STEWARD,6082,PHASE 1-WATERMETER REPLACEMENT,lU030450,2022-10-01 0:00:00,900010,,238,70
COUNTRY CLUB HILLS,5716,"REPAINTING BOTH 2,000,000.GALlON STEEL WATER RESERVOIRS",IL0310540,2022-07-11 0:00:00,1950000,,16637,60
OREANA,6024,WATERMAIN REPLACEMENT AND SERVICE LINES,lll150450,1/3/2023,"$818,000",,804,50
WATERLOO,3864,NEW WATER TREATMENT PLANT,IU330300,1/15/2023,"$24,000,000",,10450,25
