Loan Applicant,L17#,Project Description,Facility No.,"Estimated Construction
Start",Estimated Loan Amount,"Service
Population","Loan
Priority Score"
GALESBURG,5826,LEAD SERVICE LINE REPLACEMENT PROJECT,IL0950200,2022-07-15 0:00:00,2000000,40000,455
MARSHALL,3485,LEAD SERVICE LINE REPLACEMENT PROJECT,IL0230100,2022-07-01 0:00:00,800000,7786,365
ASSUMPTION,5909,LEAD SERVICE LINE REPLACEMENT PROJECT (140 LINES),IL0210050,2022-07-20 0:00:00,1380273,1368,355
ROCKFORD,5690,PHASE 5 - REMOVE/REPLACE LEAD SERVICE LINES,ll2010300,2023-03-01 0:00:00,4000000,149597,325
BATAVIA,5844,LEAD SERVICE LINE REPLACEMENT PROJECT (260 LINES),IL0894130,2023-05-01 0:00:00,3984353,26422,305
NOKOMIS,6047,LEAD SERVICE LINE REPLACEMENT PROJECT,IL1350450,2022-08-15 0:00:00,300000,2055,280
SYCAMORE,6101,REPLACE 120 LEAD SERVICE LINES,ll0370550,2022-08-01 0:00:00,4000000,17897,265
BARRINGTON,3695,LEAD SERVICE LINE REPLACEMENT PROJECT (250 LINES),ll0974080,2023-03-01 0:00:00,4000000,12131,255
ROBBINS,5893,LEAD SERVICE LINE REPLACEMENT PROJECT,ll0312700,2022-10-17 0:00:00,4000000,5460,255
lTASCA,5906,REPLACE LEAD SERVICE LINES,lL0430500,2022-10-30 0:00:00,2700000,8694,250
CALUMET CITY,5717,LEAD SERVICE LINE REPLACEMENT PROJECT (400 LINES),ll0310390,2022-12-01 0:00:00,3998000,36033,240
DIXMOOR,5898,LEAD SERVICE LINE REPLACEMENT PROJECT PHASE 1,IL031066D,2022-10-15 0:00:00,4000000,3158,240
ELGIN,5871,LEAD SERVICE LINE REPLACEMENT PROJECT (350 LINES),IL0894380,2023-03-27 0:00:00,4000000,120000,235
FREEPORT,5921,PHASE 3 - LEAD SERVICE LINE REPLACEMENT PROJECT,IL1770200,2022-05-01 0:00:00,4000000,23973,210
SEATON,5806,LEAD SERVICE LINE REPLACEMENT PROJECT,IL1310350,2022-11-16 0:00:00,753000,222,175
JOLIET,5746,REPLACE LEAD SERVICE LINES ALONG 21MI OF WATERMAIN,ll19704S0,2023-03-01 0:00:00,4000000,148693,165
PLAINFIELD,6148,LEAD SERVICE LINE REPLACEMENT PROJECT,ll1970800,2023-03-01 0:00:00,409933,39581,165
HAZEL CREST,4218,LEAD SERVICE LINE REPLACEMENT PROJECT,ll0311170,2022-11-01 0:00:00,4000000,14000,160
