PPL Rank,PPL Score,Participant,MHI,Population Served,PWSID No(s).,SRF Project No.,Project Description,Lead Service Line Replacement Cost,Emerging Contaminants?,Disadvantaged Community?,Estimated Green Project Reserve Cost,Green Project Reserve Category,"Current User Rate (per 4,000 gallons)","Estimated Post-Project User Rate (per 4,000 gallons)",Requested Funds,Cumulative Requested Funds,SFY 2023 Fundable Range ($100 Million)
1,92,Evansville - Treatment Plant,"$42,623 ","173,000",5282002,DW220482 03,New Treatment Plant,$0 ,No,Yes,TBD,TBD,$33.74 ,$45.86 ,"$200,000,000 ","$200,000,000 ",X
2,85,Northwest Jasper Regional Water District Distribution System Improvements,"$53,155 ","3,815",5237015,DW210837 02,Water Main Extension and Storage,$0 ,No,Yes,$0 ,N/A,$44.01 ,$49.50 ,"$5,500,000 ","$205,500,000 ",X
3,80,BBP Water Corporation,"$44,375 ","9,650",5260001,DW231260 02,Distribution Improvements,$0 ,No,Yes,$0 ,N/A,$48.76 ,$56.56 ,"$5,625,250 ","$211,125,250 ",X
4,77,Frankton,"$51,714 ","1,800",5248008,DW223648 01,"Storage, Distribution, and Supply Improvements + Lead  Service Line Replacement","$3,201,000 ",No,Yes,TBD,TBD,$42.28 ,$236.58 ,"$21,362,000 ","$232,487,250 ",X
5,65,Poseyville,"$50,511 ",966,5265008,DW230565 01,Treatment Improvements,$0 ,No,Yes,TBD,TBD,$65.36 ,$96.75 ,"$2,950,000 ","$235,437,250 ",X
6,52,Milton,"$39,688 ",650,5289011,DW224189 01,"Storage, Treatment, Distribution Improvements + Lead  Service Line Replacement","$1,176,750 ",No,Yes,TBD,TBD,$58.76 ,$186.77 ,"$2,399,860 ","$237,837,110 ",X
7,50,Oxford,"$42,250 ","1,200",5204005,DW223404 01,Supply and Treatment Improvements,"$1,854,050 ",No,Yes,$0 ,N/A,$29.18 ,$113.97 ,"$12,344,000 ","$250,181,110 ",X
8,49,LaFontaine,"$45,917 ",906,5285004,DW223085 02,"Supply, Treatment, and Distribution System Improvements","$872,000 ",No,Yes,$0 ,N/A,$41.95 ,$101.59 ,"$4,223,700 ","$254,404,810 ",X
9,48,Monticello - RCA Neighborhood,"$42,565 ","5,300",5291011,DW220791 03,Distribution System Improvements + Lead Service Line  Replacement,"$659,000 ",No,Yes,$0 ,N/A,$22.05 ,$25.07 ,"$4,100,000 ","$258,504,810 ",X
10,48,Kentland,"$48,864 ","1,735",5256005,DW222156 01,"Storage, Treatment, and Distribution Improvements","$217,000 ",No,Yes,TBD,TBD,$26.13 ,$80.01 ,"$11,063,500 ","$269,568,310 ",X
