Rank,Points,Project Title,Project Number,Benefited Population,Problem Description,Project Description,Applicant Name,County,Leg District,Cong District,W/S,PFA,Public/Private,System Size,Disadvantaged,Start Date,End Date,Total Cost ($),Green Cost ($),MDE Funding Requested ($),CD Code,Loan Interest,Audit,Plan,Green Type,Design Date,Project Type,Compliance,pwsid,requested_funding
1,117,NEW WINTERS RUN WATER TREATMENT FACILITY,DW0016,15500,70-YEAR OLD PLANT SITUATED IN 100-YR FLOOD PLAIN + TREATMENT REQUIRED FOR CRYPTOSPORIDIUM IN SUPPLY,CONSTRUCT NEW 2 MGD WATER TREATMENT PLANT IN STAGES TO REPLACE AGING PLANT,"BARRY L. SUITS, MARYLAND AMERICAN WATER",Harford,34B,1,N,3,PRIVATE,Large,0,09/01/2022,06/30/2024,"$18,000,000","$9,000,000","$9,000,000",1,Y,Y,Y,,06/01/2021,TREATMENT,,MD0120003,9000000
2,110,POCOMOKE CITY WIIN-CIPP LINING MARKET STREET MAINS - PHASE I,DW0004,4075,HIGH RUST AND CONTAMINANTS IN WATER SYSTEM,RELINE WATER MAINS USING CIPP LINING PROCESS,"LINDA MCNEIL, POCOMOKE CITY",Worcester,38A,1,Y,2,PUBLIC,Small,1,05/01/2023,05/31/2024,"$2,256,700","$843,923",$0,1,,Y,,,06/01/2022,TRANSMISSION/DISTRIBUTION,Y,MD023006,843923
3,100,BRIERCREST APARTMENTS WATER SERVICE,DW0017,60,CONTAMINATED DRINKING WATER SOURCE SERVING 24 APARTMENT UNITS,CONSTRUCT 94 LF OF 8-IN WATER MAIN TO CONNECT APARTMENTS TO FREDERICK CO CAMBRIDGE FARMS WATER SYSTEM (PWS MD 0100033),"RODNEY WINEBRENNER, FREDERICK COUNTY",Frederick,3B,6,Y,Y,PRIVATE,Small,0,10/01/2023,12/31/2023,"$121,178","$121,178","$121,178",1,Y,,,,01/01/2023,TRANSMISSION/DISTRIBUTION,Y,MD0100004,121178
4,97,WINCHESTER ROAD WATER LINE REPLACEMENT (LAVALE),DW0025,6218,AGING AND FAILING WATER MAIN REQUIRES REPLACEMENT,"REPLACE ~15,000 LF WATER TRANSMISSION MAIN ALONG WINCHESTER ROAD IN LAVALE","DAVID S. WENDT, LAVALE SANITARY DISTRICT",Allegany,1B,6,Y,Y,PUBLIC,Small,1,06/01/2023,12/31/2024,"$5,072,800","$4,602,800","$4,602,800",1,Y,Y,Y,,02/01/2022,TRANSMISSION/DISTRIBUTION,,MD0010016,4602800
5,97,SPRINGFIELD WELLS / FAIRHAVEN WELL HOUSE,DW0015,32673,PROVIDE A RELIABLE SUPPLEMENTAL AND BACKUP GROUNDWATER SUPPLY TO LIBERTY RESERVOIR,DRILL 2 ADDITIONAL WELLS AND RESTORE FAIRHAVEN WELL AND WELLHOUSE TO OPERATING ORDER,"JEFFREY D. CASTONGUAY, BOARD OF CARROLL CO COMMISSIONERS",Carroll,9A,8,N,Y,PUBLIC,Large,0,03/01/2023,05/31/2024,"$4,030,000","$1,000,000",$0,1,,Y,,,03/01/2021,SOURCE,,MD006002,1000000
6,95,SPRINGVIEW MOBILE HOME PARK WATER SERVICE,DW0021,93,SOURCE DRINKING WATER CONTAMINATED WITH PFOA AND PFOS,"INSTALL 1,321 LF 8-IN WATER MAIN + 2-IN CONNECTION ETC TO CONNECT TO NEW DESIGN WATER SYS IN FRED CO","RODNEY WINEBRENNER, FREDERICK COUNTY",Frederick,3B,8,Y,Y,PUBLIC,Large,0,11/01/2023,03/31/2024,"$632,772","$632,772","$632,772",1,Y,,,,01/01/2023,TRANSMISSION/DISTRIBUTION,Y,MD0100030,632772
7,90,COULBOURNE LANE WELL BACKUP POWER,DW0002,2150,NO BACKUP POWER TO LARGEST PRODUCING WELL FOR WATER SYSTEM,FURNISH AND INSTALL EMERGENCY GENERATOR AND AUTOMATIC TRANSFER SWITCH TO TOWN'S LARGEST PRODUCTION WELL,"RICK POLLITT, TOWN OF SNOW HILL",Worcester,38B,1,Y,Y,PUBLIC,Small,1,06/01/2023,07/31/2023,"$223,064","$218,064","$218,064",1,Y,,,,07/01/2022,SOURCE,,MD0230007,218064
8,90,EMMITSBURG NORTH SETON AVENUE WATER LINE REPLACEMENT,DW0018,2770,WATER PRESSURE COMPLIANCE AND RESOLVE WATER QUALITY COMPLAINTS,"REPLACE 1,584 LF OF DETERIORATING 6-IN AND 4-IN UNLINED CAST IRON PIPING WITH NEW 8-IN DUCTILE IRON PIPE ALONG N. SETON AV","CATHY WILLETS, TOWN OF EMMITSBURG",Frederick,4,8,Y,Y,PUBLIC,Small,0,10/01/2023,01/31/2024,"$1,170,552","$1,145,552","$1,145,552",1,Y,Y,,G,09/01/2022,TRANSMISSION/DISTRIBUTION,,MD0100010,1145552
9,90,EMMITSBURG DEPAUL STREET WATER LINE REPLACEMENT,DW0019,6925,WATER PRESSURE COMPLIANCE AND RESOLVE WATER QUALITY COMPLAINTS,"REPLACE 1,850 LF 6-IN AND 4-IN UNLINED CAST IRON PIPING WITH 8-IN DUCTILE IRON PIPE","CATHY WILLETS, TOWN OF EMMITSBURG",Frederick,4,8,Y,Y,PUBLIC,Small,0,10/01/2023,01/31/2024,"$1,135,000","$1,110,000","$1,110,000",1,Y,Y,,,09/01/2022,TRANSMISSION/DISTRIBUTION,,MD0100010,1110000
10,90,MACK WATER STORAGE TANK REPLACEMENT,DW0034,25580,TANK HAS EXCEEDED USEFUL LIFE AND DEVELOPS LEAKS. EXTENDED REPAIRS LEAVE FIRE PROTECTION VULNERABLE.,REPLACE 50+ YEAR OLD 1M GAL GROUND STORAGE TANK,"WILLIAM LUHN, CITY OF HAGERSTOWN -- UTILITIES DEPARTMENT",Washington,2C,6,Y,2,PUBLIC,Large,1,05/01/2023,12/31/2023,"$4,600,000","$4,000,000","$4,000,000",1,Y,Y,Y,,07/01/2022,STORAGE,,MD0210010,4000000
