RANK,SYSTEM,PROJECT,PROJECT ID,POINTS,POPULATION,PROJECT COST
1,Westbrook,Treatment - New RO Plant for Nitrite,1170005-2,30,900,"$6,890,100.00"
2,Clitherall,New System - NO3 Connect to Battle Lake,1560033-2,30,25,"$9,634,500.00"
3,Hayward,Treatment - Radium Treatment & New Well,1240012-1,30,227,"$3,528,000.00"
4,Danube,Treatment - New Ra/Fe/Mn Plant,1650004-2,30,493,"$4,787,000.00"
5,Rush City,Treatment - Plant Upgrade,1130013-7,30,"3,175","$287,500.00"
6,Lake Lillian,Treatment - WTP Improvements Remove As,1340004-3,30,304,"$4,221,000.00"
7,Lexington,Treatment - Radium TP & Booster Station,1020032-2,30,"2,276","$4,988,000.00"
8,Elysian,Treatment - Radium Treatment with RO,1400003-2,30,703,"$7,600,000.00"
9,Tower,Treatment - Plant Improvements,1690051-2,25,500,"$4,500,950.00"
10,Easton,Consolidation - Connection to Wells,1220005-5,18,199,"$3,873,000.00"
11,Coates,Other - New System Supplied by Rosemount,1190035-1,17.5,25,"$16,800,000.00"
12,Cuyuna,Source - Repl with Wells #2 & #3/Treat,1180011-4,15,231,"$459,300.00"
13,Belview,Source - New Wells & Raw Watermain,1640001-1,15,360,"$474,000.00"
14,Brooten,Source - Replace Wells #1 & #2,1730005-5,15,647,"$1,258,000.00"
15,Middle River,"Source - New Well, Pumphouse & Sealing",1450006-2,15,309,"$325,000.00"
16,Aurora,Consolidation - E Mesabi Joint Water Sys,1690002-6,15,"2,225","$24,400,000.00"
17,LaSalle,Source - Connect to Red Rock RWS,1830009-2,15,90,"$701,000.00"
18,Balaton,Source - New Well & Sealing,1420001-3,15,601,"$568,100.00"
19,South Haven,Source - New Well & Pump House,1860021-2,15,179,"$1,700,000.00"
20,Wyoming,Treatment - New Ra/Fe/Mn Plant,1130018-4,15,"3,850","$8,057,500.00"
21,Lafayette,Treatment - Plant Addition,1520002-1,15,545,"$2,606,337.00"
22,Clinton,Source - New Well,1060003-1,13,450,"$196,250.00"
23,Morgan,"Source - New Wells, Seal Old Wells",1640006-4,13,896,"$225,000.00"
24,Kilkenny,Source - New Well & Wellhouse,1400007-1,13,119,"$1,500,000.00"
