Disadvantaged,Applicant,Project #,Description/Needs Category,Service Area Population,IUP Amount Requested,Loan Amount,Additional Subsidization Amount
D,St. Louis Water,DWLSL-101-23,LSLI,"304,709","$                     400,000",$                                -,"$                    400,000"
,Platte County PWSD No. 8,DWLSL-102-23,LSLI,"1,176","$                     100,000","$                          59,000","$                       41,000"
D,Rosebud,DWLSL-103-23,"LSLI, LSLRP",627,"78,687$",$                                -,"78,687$"
,Cole County PWSD No. 4,DWLSL-104-23,"LSLI, LSLRP, LSLR","3,000","$                     225,000","$                       132,750","$                       92,250"
D,Ellington,DWLSL-105-23,LSLI,790,"200,000$",$                                -,"200,000$"
D,Freeburg,DWLSL-106-23,LSLI,437,"$                     110,000",$                                -,"110,000$"
,Ashland,DWLSL-107-23,"LSLI, LSLRP","4,747","$                     200,000","$                       118,000","$                       82,000"
D,California,DWLSL-108-23,"LSLI, LSLRP, LSLR","4,411","225,000$",$                                -,"225,000$"
,Park Hills,DWLSL-109-23,LSLI,"8,708","$                     200,000","$                       118,000","$                       82,000"
D,Bourbon,DWLSL-110-23,"LSLI, LSLRP","1,866","$                     150,000",$                                -,"$                    150,000"
D,Mercer,DWLSL-111-23,LSLI,318,"12,000$",$                                -,"12,000$"
,Kirksville,DWLSL-112-23,LSLI,"17,530","$                       50,000","$                          29,500","$                       20,500"
,Vernon CPWSD 1,DWLSL-113-23,"LSLI, LSLRP","8,925","$                     240,000","$                       141,600","$                       98,400"
D,Reynolds PWSD 1,DWLSL-114-23,LSLI,634,"$                       22,200",$                                -,"$                       22,200"
,Boone PWSD 10,DWLSL-115-23,"LSLI, LSLRP","4,625","$                     202,000","$                       119,180","$                       82,820"
D,Braymer,DWLSL-116-23,"LSLI, LSLRP",660,"$                     135,000",$                                -,"$                    135,000"
D,Walker,DWLSL-117-23,"LSLI, LSLRP",404,"$                     130,000",$                                -,"$                    130,000"
D,Sullivan PWSD 1,DWLSL-118-23,LSLI,"3,183","$                     200,000",$                                -,"$                    200,000"
D,Shelby PWSD 1,DWLSL-119-23,"LSLI, LSLRP","3,074","$                     202,000",$                                -,"$                    202,000"
,Wellington,DWLSL-120-23,"LSLI, LSLRP",812,"$                       78,750","$                          46,463","$                       32,287"
D,Unionville,DWLSL-121-23,LSLI,"1,827","$                     200,000",$                                -,"$                    200,000"
D,Clark County CPWSD 1,DWLSL-122-23,LSLI,"7,140","$                     500,000",$                                -,"$                    500,000"
D,Atchison PWSD 1,DWLSL-123-23,"LSLI, LSLRP",703,"$                       85,287",$                                -,"$                       85,287"
D,Henry County Water Company,DWLSL-124-23,"LSLI, LSLRP","8,792","$                     520,000",$                                -,"$                    520,000"
,Ray County PWSD 2,DWLSL-125-23,LSLI,"9,750","$                     250,000","$                       147,500","$                    102,500"
D,Leadwood,DWLSL-126-23,"LSLI, LSLRP","1,192","$                     300,000",$                                -,"$                    300,000"
D,Viburnum,DWLSL-127-23,"LSLI, LSLRP",643,"300,000$",$                                -,"$                    300,000"
D,Meta,DWLSL-128-23,"LSLRP, LSLR",108,"$                       25,000",$                                -,"$                       25,000"
D,Ripley County PWSD No. 1,DWLSL-129-23,LSLI,"2,598","$                     300,000",$                                -,"$                    300,000"
D,Ava,DWLSL-130-23,"LSLI, LSLRP, LSLR","2,903","225,000$",$                                -,"225,000$"
,Centertown,DWLSL-131-23,"LSLI, LSLRP",309,"$                     150,000","$                          88,500","$                       61,500"
D,Schuyler CPWSD 1,DWLSL-132-23,LSLI,"3,176","200,000$",$                                -,"$                    200,000"
D,Madison PWSD 1,DWLSL-133-23,LSLI,"2,610","$                     300,000",$                                -,"300,000$"
,Jackson PWSD 2,DWLSL-134-23,LSLI,"16,500","$                       70,000","$                          41,300","$                       28,700"
,Centralia,DWLSL-135-23,LSLI,"4,651","500,000$","$                       397,500","$                    102,500"
,Marshfield,DWLSL-136-23,LSLI,"7,425","$                     350,000","$                       247,500","$                    102,500"
D,Appleton City,DWLSL-137-23,LSLI,"1,126","$                       80,000",$                                -,"$                       80,000"
D,Keytesville,DWLSL-138-23,LSLI,441,"23,500$",$                                -,"23,500$"
,Stone PWSD 1,DWLSL-139-23,"LSI, LSLRP","2,130","$                       30,640","$                          18,078","$                       12,562"
D,Laurie,DWLSL-140-23,LSLRP,916,"25,000$",$                                -,"$                       25,000"
D,Mansfield,DWLSL-141-23,LSLI,"1,193","35,000$",$                                -,"$                       35,000"
D,Pilot Knob,DWLSL-142-23,"LSLI, LSLRP",671,"$                     300,000",$                                -,"$                    300,000"
D,Parma,DWLSL-143-23,"LSLI, LSLRP",555,"177,625$",$                                -,"177,625$"
D,Naylor,DWLSL-144-23,LSLI,731,"$                     200,000",$                                -,"200,000$"
