"Project","Project Description","Zip
Code","Priority
Points","Service Area
Population","Eligible
PF Amount","Green
Project","Loan Amount Requested","Statewide
Cum. $"
"Category III: Primary Drinking Water Standards Projects",NA,NA,NA,NA,NA,NA,NA,NA
"Hazlehurst, Town of","Water Treatment Facility\Water System Improvements",39083,1074,3838,500000,0,4490015,4490015
"Taylorsville Water Association","Water & Distribution System Improvements",39073,227,1294,0,0,1800000,6290015
"Doddsville, Town of","New Well",38736,180,215,288000,0,683470,6973485
"Golding Acres Water Assn., Inc.","New Water Well",38701,117,105,190895,0,444012,7417497
"Category V: Pressure Deficiencies Projects",NA,NA,NA,NA,NA,NA,NA,NA
"Central Yazoo Water Association,","Water Distribution Improvements",39194,1705,9960,500000,0,1650000,9067497
"Pisgah Water Association, Inc.","New Water Well and Distribution Improvements",39047,508,2144,0,0,1600000,10667497
"Pearl, City of","Distribution Improvements",39208,270,26500,287500,0,1150000,11817497
"Category VII: System Capacity Expansion to Serve Existing Unserved Residences/Businesses",NA,NA,NA,NA,NA,NA,NA,NA
"West Harrison Water and Sewer","Improve Water Distribution System",39571,125,17210,184550,0,1230529,13048026
"Category VIII: Back-up Water Supply Sources Projects",NA,NA,NA,NA,NA,NA,NA,NA
"Meridian, City of","New Well",39301,2794,36347,500000,0,6699116,19747142
"Diamondhead Water & Sewer Dist.","New Elevated Storage Tank",39525,2251,8048,0,0,1954480,21701622
"NE Itawamba Water Assn., Inc.","Water System Improvements",38847,1594,4689,371532,0,1589330,23290952
"Southern Rankin Water Assn","Water System Improvements",39073,925,3700,193050,0,2400000,25690952
"Eudora Utilities Association","New W.T. Plant/300,000. Gal Tank/12"" Water Lines",38632,708,3702,0,0,906000,26596952
"Rocky Creek Utilities, Inc.","New Elevated Storage Tank",39452,561,2200,158100,0,3503948,30100900
"Wiggins, City of","Water Distribution Improvement/ New Well",39577,440,4390,416191,0,3773463,33874363
"Central Water Association","Rehab/ Replacement of Existing Facilities",39350,415,20143,0,0,4038251,37912614
"-------------------------------------------------------------------------------------$42,500,000 Funding Line-----------------------------------------------------------------------------------",NA,NA,NA,NA,NA,NA,NA,NA
"Yokena Jeff Davis Water District","New Facilities/ Treatment",39180,117,2800,0,0,6289345,44201959
"Category IX: Existing Facilities Upgrade (Meeting Primary Standards)",NA,NA,NA,NA,NA,NA,NA,NA
"Clarkdale Water Association","SCADA Upgrade",39301,22133,4000,7721,0,51470,44253429
"North Hinds Water Association","Rehab Storage Facilities",39071,4693,10150,187950,0,537000,44790429
"Hattiesburg, City of","Rehab/ Replacement of Existing Facilities",39403,3741,45951,500000,0,1511937,46302366
"Brandon, City of","Replace Water Lines",39042,3288,26355,0,0,5000000,51302366
"Copiah Water Association","Water System Improvements",39083,1111,6400,500000,0,2007002,53309368
"Crystal Springs Water Service","Water System Improvements",39059,1083,5050,48342,0,193368,53502736
"Magee's Creek Water Assn.","Water System Improvements",39667,598,7194,219800,0,780500,54283236
"Hub Water Association","50,000 G Tank/400 GPM Well/Valves/Elec. Controls",39429,579,3300,436063,0,2458500,56741736
"Clarkdale Water Association","Water Distribution and Radio Meters",39301,551,4000,309900,0,2066000,58807736
"Mendenhall, City of","New 500 GPM Well/250,000-Gal Tank/Treatment",39114,476,2504,500000,0,2634100,61441836
"Union, City of","Rehab/ Replacement of Existing Facilities",39365,442,1897,500000,0,3289626,64731462
"Quitman, City of","Rehab/ Replacement of Existing Facilities",39355,424,2386,500000,0,2613060,67344522
"Union Church Waterworks Assn.","Treatment plant rehabilitation and backup well",39668,414,1508,473060,0,1351600,68696122
"Friars Point, Town of","Distribution System Improvements",38631,357,1200,500000,0,1337914,70034036
"Thomasville Water Association","New Well",39073,338,1294,0,0,1450000,71484036
"Culkin Water District","Rehab/ Replacement of Existing Facilities",39183,324,11409,500000,0,5000000,76484036
"Diamondhead Water & Sewer Dist.","Residential Waterline Rehabilitation",39525,240,8048,0,0,2748488,79232524
"Stonewall, Town of","Rehab/ Replacement of Existing Facilities",39363,220,933,500000,0,3300725,82533249
"Decatur, Town of","Rehab/ Replacement of Existing Facilities",39327,148,1705,0,0,3300725,85833974
"Highway 98 East Water Association","Replace Approx. 50,000 LF Water Mains",39429,128,1650,427000,0,1221556,87055530
"West Harrison Water and Sewer","Installation of New Water Connections",39571,125,20000,184579,0,1541654,88597184
"Diamondhead Water & Sewer Dist.","Replace Approximately 9,700 LF of PVC",39525,73,9980,0,0,1653283,90250467
"Kiln Utility & Fire District of","Rehab Approx.10.3 Miles of Water Dist. System",39556,63,6349,0,0,2935797,93186264
"Diamondhead Water & Sewer Dist.","Commercial Waterline Rehabilitation",39525,61,8048,0,0,1645429,94831693
"Rose Hill Water Association","Rehab/ Replacement of Existing Facilities",39356,32,1188,500000,0,2028345,96860038
