Priority  Number,N1,D2,C3,Entity,Parent Entity,Ownership,State ID,Project  Population,Project  Service  Connections,Total  Points,MHI,Revised  Points,Project Description,Estimated Loan  Amount,Funded4
1,,,C,Humboldt County - DW,,Public,NV0003079,"1,300",553,4,0.94,3.75,Nitrate mitigation in Gold Country,"1,850,000.00  Yes",
2,N,,C,Truckee Meadows Water Authority - DW,,Public,NV0000190,"18,750","7,500",5,0.61,3.06,Spanish Springs Nitrate Treatment,"1,300,000.00",
3,,,C,Humboldt County - DW,,Public,Various,"5,000",700,3,0.94,2.81,Grass Valley Nitrate Septic Conversion,"27,395,592.00",
Total Class I Projects,,,,,,,,,,,,,,"30,545,592.00",
4,N,D,C,Esmeralda County-Goldfield - DW,Esmeralda  County - DW,Public,NV0000072,345,345,13,1.62,21.09,Arsenic Treatment Improvement,"475,393.04",
5,,,C,Alamo Sewer & Water GID - DW,,Public,NV0000005,"1,169",318,13,1.11,14.46,Industrial Well Treatment for Arsenic,"1,000,000.00  Yes",
6,N,,C,Gardnerville Ranchos GID - DW,,Public,NV0000066,"11,300","4,500",13,0.98,12.7,Well 5 Arsenic Treatment,"6,181,130.00",
7,,,C,Mount Rose Bowl POWC - DW,,Private,NV0000732,50,15,12,0.99,11.82,Storage Tank Upgrade & water treatment,"1,000,000.00  Yes",
8,,,C,Truckee Meadows Water Authority - DW,,Public,NV0000190,"59,700","23,870",13,0.91,11.81,Longley Plant HV3 and HV4  Improvement,"1,500,000.00",
9,,,C,Silver Knolls Mutual Water Company - DW,,Private,NV0004021,120,63,13,0.89,11.52,Arsenic Treatment,"400,000.00  Yes",
10,,,C,Douglas County - DW,,Public,NV0002216,"4,030","1,479",13,0.87,11.29,S. Airport Well Arsenic Mitigation,"8,691,750.00",
11,,,C,Crystal Trailer Park - DW,,Private,NV0000193,110,40,12,0.87,10.43,Consolidation with TMWA,"218,000.00  Yes",
12,,,C,Shoshone Estates Water Co Inc - DW,,Private,NV0005028,240,88,11,0.93,10.25,Well Modification & Arsenic treatment,"310,000.00  Yes",
13,,,C,Churchill County -DW,,Public,NV0000406,"1,800","1,449",4,1.1,4.41,Arsenic and Manganese Treatment,"11,574,360.00",
14,,,C,Hillcrest Manor Water Users Association - DW,,Private,NV0000145,450,121,4,1.09,4.35,Tank Rehabilitation,"125,000.00  Yes",
15,,,C,Truckee Meadows Water Authority - DW,,Public,NV0000190,"440,000","133,000",4,0.91,3.64,Well Head TTHM Mitigation,"2,500,000.00",
16,,,NTNC,TRI- GID - DW,,Public,NV0000913,"20,000",193,12,0.97,11.63,Arsenic Treatment and Blending,"977,500.00",
Total Class II Projects,,,,,,,,,,,,,,"34,953,133.04",
17,,D,C,Beatty Water & Sanitation District - DW,,Public,NV0000009,908,624,82,1.57,128.92 Water System Rehab,,"2,629,000.00",
18,,D,C,Walker Lake GID - DW,,Public,NV0000268,450,210,48,2.46,118.19,Preliminary Engineering Report &  Environmental Review,"85,000.00",
19,,D,C,Walker Lake GID - DW,,Public,NV0000268,450,210,48,2.46,118.19,System Improvements,"16,269,000.00",
20,N,D,C,Mina Luning Water System,Hawthorne  Utilities - DW,Public,NV0000074,200,125,68,1.71,116.38,Mina-Luning Water PER & ER,"85,000.00",
21,N,D,C,Las Vegas Valley Water District - Big Bend -  DW,Las Vegas Valley  Water District -  DW,Public,NV0004092,"2,179","2,197",63,1.69,106.49,Additional Storage,"24,375,000.00",
22,,,C,Truckee Meadows Water Authority - DW,,Public,NV0000190,"34,432","11,400",100,1.06,105.53,APW Program at American Flat,"117,000,000.00",
23,,D,C,Hawthorne Utilities - DW,,Public,NV0000073,"2,616","1,665",53,1.84,97.58,Hawthorne Tanks - Phase 2,"3,371,000.00",
24,N,,C,Gardnerville Ranchos GID - DW,,Public,NV0000066,"11,300","3,020",90,0.98,87.94,Regional Interconnection,"2,685,650.00",
25,N,D,C,Las Vegas Valley Water District - DW,,Public,NV0000089,1,9,41,2.11,86.41,Jean Chemical Feed Upgrade,"428,000.00",
26,N,,C,Carson City - DW,,Public,NV0000015,"58,000","18,000",79,1.06,84.06,Quill Water Treatment Plan Upgrade,"10,890,424.00",
27,,D,C,Hawthorne Utilities - DW,,Public,NV0000073,"2,616","1,569",41,1.84,75.49,Water System Improvements,"23,885,000.00",
