,Project.Number,County,System.Name,Borrower,DAC,Pop,Description,Project.Cost,Score,Cumulative.Total
0,19287,Rensselaer,TROY CITY PWS , Troy (C) ,DAC,"49,170","Lead service line inventory., Upgrade Distribution System","$572,000.00",70,"$572,000.00"
1,19411,Cayuga,AUBURN , Auburn (C) ,DAC,"29,788","Lead Service Line Inventory., Upgrade Distribution System","$917,988.00",65,"$1,489,988.00"
2,19365,Orange,NEWBURGH CITY , Newburgh (C) ,DAC,"28,000","Lead Service Line Inventory., Upgrade Distribution System","$968,000.00",65,"$2,457,988.00"
3,19326,Dutchess,AMENIA WATER DISTRICT NO 1, Amenia (T) ,DAC,"1,000","Lead Service Line Inventory., Upgrade Distribution System","$481,000.00",50,"$2,938,988.00"
4,19426,Herkimer,ILION (V) WATER WORKS , Ilion (V) ,DAC,"8,610","Lead service line replacement., Upgrade Distribution System","$4,071,590.00",45,"$7,010,578.00"
5,19425,Herkimer,ILION (V) WATER WORKS , Ilion (V) ,DAC,"8,610","Lead service line inventory., Upgrade Distribution System","$1,077,380.00",45,"$8,087,958.00"
6,19423,Herkimer,HERKIMER VILLAGE , Herkimer (V) ,DAC,"7,606","Lead service line inventory., Upgrade Distribution System","$801,340.00",45,"$8,889,298.00"
7,19424,Herkimer,HERKIMER VILLAGE , Herkimer (V) ,DAC,"7,606","Lead service line replacement., Upgrade Distribution System","$13,208,720.00",45,"$22,098,018.00"
8,19370,Orange,WARWICK VILLAGE , Warwick (V),,"6,083","Lead Service Line Inventory, Upgrade Distribution System","$575,770.00",45,"$22,673,788.00"
9,19407,Onondaga,SYRACUSE (C) , Syracuse (C) ,DAC,"160,000","Lead Service Line Inventory., Upgrade Distribution System","$2,266,000.00",40,"$24,939,788.00"
10,19317,NY City,NEW YORK CITY , NYCMWFA ,DAC,"72,903","Lead service line replacement (Area B)., Upgrade Distribution System","$12,022,780.00",40,"$36,962,568.00"
11,19316,NY City,NEW YORK CITY , NYCMWFA ,DAC,"49,440","Lead service line replacement (Area A)., Upgrade Distribution System","$7,218,660.00",40,"$44,181,228.00"
12,19405,Niagara,NIAGARA FALLS (C) , Niagara Falls (C) ,DAC,"48,500","Lead Service Line Inventory., Upgrade Distribution System","$472,780.00",40,"$44,654,008.00"
13,19320,NY City,NEW YORK CITY , NYCMWFA ,DAC,"37,749","Lead service line replacement (Area E)., Upgrade Distribution System","$14,411,320.00",40,"$59,065,328.00"
14,19318,NY City,NEW YORK CITY , NYCMWFA ,DAC,"24,872","Lead service line replacement (Area C)., Upgrade Distribution System","$5,686,580.00",40,"$64,751,908.00"
15,19433,Otsego,ONEONTA (C) , Oneonta (C) ,DAC,"16,000","Lead service line inventory., Upgrade Distribution System","$1,200,000.00",40,"$65,951,908.00"
16,19319,NY City,NEW YORK CITY , NYCMWFA ,DAC,"15,929","Lead service line replacement (Area D)., Upgrade Distribution System","$9,780,120.00",40,"$75,732,028.00"
17,19321,NY City,NEW YORK CITY , NYCMWFA ,DAC,"15,168","Lead service line replacement (Area F)., Upgrade Distribution System","$8,365,970.00",40,"$84,097,998.00"
18,19277,Monroe,ROCHESTER (C) , Rochester (C) ,DAC,"15,000","Lead Service Line Replacement 2024., Upgrade Distribution Syste","$48,410,000.00",40,"$132,507,998.00"
19,19473,St.Lawrence,OGDENSBURG (C) , Ogdensburg (C) ,DAC,"10,064","Lead service line inventory., Upgrade Distribution System","$2,688,300.00",40,"$135,196,298.00"
20,19408,Onondaga,SYRACUSE (C) , Syracuse (C) ,DAC,"8,600","Lead Service Line Replacement., Upgrade Distribution System","$41,341,728.00",40,"$176,538,026.00"
21,19467,Franklin,MALONE (V) , Malone (V) ,DAC,"8,560","Lead service line inventory., Upgrade Distribution System","$190,358.00",40,"$176,728,383.00"
22,19447,St.Lawrence,POTSDAM (V) , Potsdam (V) ,DAC,"8,312","Lead service line inventory., Upgrade Distribution System","$1,077,380.00",40,"$177,805,763.00"
23,19441,Columbia,HUDSON (C) , Hudson (C) ,DAC,"6,700","Lead service line inventory., Upgrade Distribution System","$257,500.00",40,"$178,063,263.00"
24,19384,Steuben,BATH (V) , Bath (V) ,DAC,"5,432","Lead Service Line Inventory, Upgrade Distribution System","$1,382,000.00",40,"$179,445,263.00"
25,19385,Steuben,BATH (V) , Bath (V) ,DAC,"5,432","Lead service line replacement., Upgrade Distribution System","$1,561,000.00",40,"$181,006,263.00"
26,19368,Herkimer,LITTLE FALLS (C) , Little Falls (C) ,DAC,"4,605","Lead service line inventory., Upgrade Distribution System","$541,780.00",40,"$181,548,043.00"
27,19436,Fulton,GLOVERSVILLE WATER WORKS , Gloversville WW ,DAC,"3,838","Lead service line replacement., Upgrade Distribution System","$7,701,485.00",40,"$189,249,528.00"
28,19437,Oneida,BOONVILLE (V) , Boonville (V) ,DAC,"2,500","Lead service line inventory., Upgrade Distribution System","$762,000.00",40,"$190,011,528.00"
29,19406,Yates,DUNDEE (V) , Dundee (V) ,DAC,"1,690","Lead Service Line Inventory., Upgrade Distribution System","$545,000.00",40,"$190,556,528.00"
30,19409,Erie,BUFFALO (C) , Buffalo (C) ,DAC,900,"Lead Service Line Replacement., Upgrade Distribution System","$5,460,000.00",40,"$196,016,528.00"
