Entity,epic_project_id,Project,County,Estimated.Loan.Amount,Estimated.Principal.Forgiveness,Loan.Type,Estimated.Award.Date,Project.Score,Readiness.To.Proceed,Rate
Beaver,42,2022 Waterline Replacement,Pike,"$799,663.00",,Construction,Apr-23,4,,DIS
Bowerston,53,New Water Treatment Plant and Raw Water Improvements Project1,Harrison,"$386,650.00","$193,325.00",Design,Jul-22,8,2,PLN/DES
Brilliant Water and Sewer District,61,2022-2023 Waterline Replacement,Jefferson,"$2,030,300.00",,Construction,Mar-23,5,,DIS
Brown County Rural Water Association,62,Village of Ripley / Ripley Union Water System Improvements,Brown,"$5,446,050.00","$2,723,025.00",Construction,Oct-22,7,3,DIS/REG
Burr Oak Regional Water District,65,Morgan County- Bishopville Expansion,Athens,"$665,800.00",,Construction,Mar-23,6,3,DIS/REG
Coshocton,133,Warsaw Waterline Replacement and Extension,Coshocton,"$960,300.00","$480,150.00",Design,Jun-23,11,2,DIS/REG
East Palestine,145,Waterline Replacement Project2,Columbiana,"$5,605,510.00","$2,302,755.00",Construction,Apr-23,8,3,DIS/LSL
Fairport Harbor,153,Water System Regionalization,Lake,"$4,420,000.00","$2,210,000.00",Construction,Feb-23,13,3,DIS/REG
Fayette,154,Water Distribution System Replacement,Fulton,"$7,740,000.00",,Construction,May-23,5,,DIS
Fayette County,155,Lakewood Hills Area Water System Project,Fayette,"$1,319,886.00","$659,943.00",Construction,Jul-22,6,5,DIS/REG
Hamler,195,Water Tower and Distribution System Improvements,Henry,"$1,768,078.00","$884,039.00",Construction,Dec-22,9,3,DIS
Hebron,203,U.S. 40/S.R. 37 Water Line Extension,Licking,"$3,460,000.00","$1,730,000.00",Construction,Aug-22,11,4,DIS/REG
Hecla Water Association,204,Macedonia Hill Water Main Extension & Booster Station,Lawrence,"$5,297,000.00",,Construction,Oct-22,6,4,DIS/REG
Highland Ridge Water & Sewer Assoc.,206,St. Rt. 821 Waterline Relocation,Washington,"$663,400.00",,Construction,Aug-22,5,,DIS
"Jackson County Water Company, Inc.",227,Garrett Ridge Improvements,Jackson,"$5,965,300.00",,Construction,Oct-22,6,2,DIS/REG
Kenton,242,Downtown Revitalization Phase 2 (WL and LSLR),Hardin,"$6,519,108.00",,Construction,Dec-22,5,,DIS/LSL
La Rue,249,Water Treatment Plant Improvements1,Marion,"$108,000.00","$54,000.00",Design,Jul-22,8,2,PLN/DES
Lisbon,268,Water Tank & North End Pressure Improvements,Columbiana,"$3,267,750.00","$1,633,875.00",Construction,Jun-23,9,3,DIS
Logan,275,2022 Water System Improvements,Hocking,"$2,816,954.00",,Construction,Jan-23,5,,DIS/REG
London,278,Water Wells Development,Madison,"$3,685,000.00",,Construction,Feb-23,5,,DIS
Lowell,284,Lowell Water Treatment Plant Installation,Washington,"$2,011,791.00",,Construction,Aug-22,6,4,DIS
Madison County,286,"S.R. 56, US 40 and Summerford Waterline Extension Project",Madison,"$7,553,989.00",,Construction,Jan-23,6,4,DIS/REG
Malvern,295,Phase 1 Waterline Replacement2,Carroll,"$769,855.00","$367,178.00",Construction,Sep-22,7,4,DIS/LSL
