call_label,severity,field,issue,suggestion
1_col_names,ERROR,oh-ppl-base.csv,Column '...1' is unexpected and appears to be an unnamed index column,"Remove or rename '...1' to a meaningful column name, or verify if this is a data export artifact"
1_col_names,WARNING,All files,"Column naming convention mismatch: Data dictionary expects simple names (e.g., 'County', 'Population') but data files use dot notation (e.g., 'Estimated.Loan.Amount', 'Estimated.Principal.Forgiveness')",Standardize column names to either all simple (Estimated_Loan_Amount) or all dot-notation format consistently
1_col_names,WARNING,"oh-lslr.csv, oh-ppl-hab-pfas.csv",Missing 'PWSID' column defined in data dictionary as standardized category,Add PWSID column to these files for consistency across all project list files
1_col_names,WARNING,"oh-lslr.csv, oh-ppl-hab-pfas.csv",Missing 'Population' column defined in data dictionary as standardized category,Add Population column to these files for consistency across all project list files
1_col_names,INFO,All files,Column 'epic_project_id' appears in all files but is not defined in the data dictionary as a standardized category,Add 'epic_project_id' to data dictionary or verify if this maps to 'Project ID' from the dictionary
1_col_names,INFO,"oh-ppl-pf.csv, oh-ppl-regional-pf.csv",Columns 'Readiness.To.Proceed' present but not defined in data dictionary,Add definition for 'Readiness.To.Proceed' to data dictionary or verify intended purpose
1_col_names,INFO,oh-lslr.csv,Column 'Estimated.LSL.Eligible.Costs' present but not defined in data dictionary,Add definition for 'Estimated.LSL.Eligible.Costs' to data dictionary or verify if this should map to an existing category
1_col_names,WARNING,All files,Data dictionary defines 'Project ID' and 'Project Name' as separate standardized categories but source files appear to combine these into single 'Project' column,"Clarify whether 'Project' column should be split into separate ID and Name columns, or update dictionary definition"
2_types_nulls,ERROR,Estimated.Loan.Amount,Data type is character but should be numeric according to data dictionary which defines it as 'Requested Amount' (financial value). Files oh-ppl-base-id.csv and oh-ppl-base.csv have currency formatting ($) preventing numeric operations.,"Convert to numeric by removing '$' and ',' characters, then parse as numeric type"
2_types_nulls,ERROR,Estimated.LSL.Eligible.Costs,Data type is character but represents a financial value. Currency formatting prevents numeric operations in oh-lslr.csv.,"Convert to numeric by removing '$' and ',' characters, then parse as numeric type"
2_types_nulls,ERROR,Estimated.Principal.Forgiveness,"Data type is character but represents a financial value. Contains currency formatting, 'BYPASS' string literal, and NA values mixed together in oh-ppl-pf.csv and oh-ppl-regional-pf.csv. Should be numeric.","Standardize: convert valid currency strings to numeric, map 'BYPASS' to $0 or explicit code, and handle NA consistently"
2_types_nulls,ERROR,Estimated.Award.Date,"Data type is character but represents dates in 'Mon-YY' format (e.g., 'Jun-23'). Should be date type for proper sorting and temporal analysis.",Parse as date type using format '%b-%y' after standardizing century (20xx vs 19xx)
2_types_nulls,WARNING,Estimated.Principal.Forgiveness,"51.2% NA rate in oh-ppl-pf.csv and 87.2% NA rate in oh-ppl-regional-pf.csv. Dictionary notes 'No Information' is acceptable for some projects, but high NA rates suggest potential data collection gaps or incomplete source documents.","Verify against source document (SFY23 DAC PPL, Regionalization PPL, Lead PPL) to confirm which projects legitimately have no PF data vs. missing data"
2_types_nulls,WARNING,Readiness.To.Proceed,34.9% NA in oh-ppl-pf.csv and 53.2% NA in oh-ppl-regional-pf.csv. Data dictionary does not define this column or its expected values/requirements.,Add Readiness.To.Proceed definition to data dictionary with expected values (1-5 scale interpretation) and rules for NA handling
2_types_nulls,WARNING,epic_project_id,"oh-lslr.csv uses range [5, 441] and oh-ppl-base-id.csv uses range [1, 440], but oh-ppl-pf.csv and oh-ppl-regional-pf.csv reference IDs from broader range. Potential for ID collisions or missing mappings between files.",Verify that epic_project_id is unique and consistent across all files; document ID assignment logic
2_types_nulls,WARNING,...1,"oh-ppl-base.csv contains unnamed index column '...1' with range [0, 439]. This appears to be a rownum artifact from source data export and is not in data dictionary.",Remove this column as it serves no analytical purpose and is not defined in the data dictionary
2_types_nulls,WARNING,Project,"Dictionary states Project Name should be 'No Information' (not captured), but all files contain Project column with 354-440 distinct values. This contradicts the data standardization rules.","Clarify whether Project Name/Description is being captured. If yes, update dictionary. If no, verify these are actually the Project column from source documents"
2_types_nulls,WARNING,Population,"oh-ppl-base-id.csv and oh-ppl-base.csv show Population with range [10, 1,300,000] and 240 distinct values. Dictionary maps Population column correctly, but values seem sparse (240 distinct across 440 rows = ~45% coverage). Verify this is expected.",Confirm whether 55% of projects lack population data or if values are missing from source documents
2_types_nulls,INFO,Rate,"Rate column used to categorize Project Type (Lead, EC, General) per dictionary. Values include combinations (e.g., 'DIS/LSL', 'REG/PFAS', 'DIS/REG'). Logic for parsing compound Rate values not fully specified in dictionary.",Document explicit mapping rules for compound Rate values (hyphenated or slash-separated) to Project Type categorization
2_types_nulls,INFO,Loan.Type,"Dictionary does not define Loan.Type column. File data shows values: Design, Construction, Planning. This is a valid source column but needs documentation.","Add Loan.Type to data dictionary with description and valid values (Design, Construction, Planning)"
2_types_nulls,INFO,Project.Score,"oh-ppl-pf.csv and oh-ppl-regional-pf.csv contain numeric Project.Score (range [1-15] and [4-13]). Dictionary maps 'Project Score' only from Regionalization PPL and DAC PPL, but both files contain scores.",Clarify which files/projects should have Project.Score and confirm mapping rule covers all populated instances
3_script_logic,ERROR,disadvantaged,The script does not implement the Lead PPL rule: projects on the Lead PPL that contain 'DIS' in Rate should be marked disadvantaged='Yes'. The script only sets disadvantaged='Yes' for DAC PPL projects and defaults all others to 'No'.,"After merging oh_lead_ppl data, add a case_when condition that checks for 'DIS' in the rate column for Lead PPL projects and sets disadvantaged='Yes' accordingly."
3_script_logic,ERROR,principal_forgiveness,The dictionary specifies 'No Information' for Lead PPL projects that do NOT contain '*' in Project column. The script hardcodes 'No Information' for a fixed list of epic_project_ids (lead_ni_pf) rather than checking for the absence of '*' in the Project column of the Lead PPL. Projects not in lead_ni_pf but also lacking '*' in Project will be incorrectly assigned '$0' instead of 'No Information'.,"Replace the hardcoded lead_ni_pf id list logic with a check: ifelse(!grepl('\\*', project), 'No Information', NA) when processing oh_lead_ppl."
3_script_logic,ERROR,principal_forgiveness,The dictionary states projects with '*' in Project on the Lead PPL should receive $0 PF (no PF expected). The script does not implement this rule at all for Lead PPL projects with '*' in Project.,"In the oh_lead_ppl mutate block, add logic: if epic_project_id has '*' in Project, set principal_forgiveness to '0'."
3_script_logic,ERROR,principal_forgiveness,The dictionary states PF should only be pulled from the DAC PPL or Regionalization PPL for projects that are on the Fundable List and NOT in the 'projects that currently do not meet programmatic requirements' section. The script applies PF values without this Fundable List restriction.,"Before assigning principal_forgiveness from DAC/Reg PPL, filter or conditionally apply only when expecting_funding == 'Yes'."
3_script_logic,ERROR,diadvantaged,"In oh_lead_extra, the column is named 'diadvantaged' (typo, missing 's') instead of 'disadvantaged'. This will result in a missing disadvantaged value for project 441 after bind_rows.",Rename 'diadvantaged' to 'disadvantaged' in the oh_lead_extra mutate block.
