Borrower,Loan Amount,Project Type
Boys & Girls Club of Newport*     ,"$29,290.00",General
Lincoln Water Commission,"$6,819,000.00",General
Block Island Water Company ,"$950,000.00",General
Village on Chopmist Hill*,"$1,000,000.00",General
Kingston Water District*,"$75,000.00",General
Providence Water,"$21,000,000.00",General
Prudence Island Water District*,"$1,000,000.00",General
Smithfield Water Supply Board*,"$2,000,000.00",General
Bristol County Water Authority,"$1,000,000.00",Lead
City of East Providence,"$100,000.00",Lead
Harrisville Fire District*,"$100,000.00",Lead
City of Newport,"$5,150,000.00",Lead
Town of North Kingstown,"$900,000.00",Lead
Pawtucket Water Supply Board,"$2,000,000.00",Lead
Providence Water,"$25,000,000.00",Lead
City of Warwick,"$2,500,000.00",Lead
Woonsocket Water,"$575,000.00",Lead
Quonochontaug East Beach*,"$450,000.00",Emerging Contaminants
University of Rhode Island,"$10,000,000.00",Emerging Contaminants
West Glocester Elementary*,"$450,000.00",Emerging Contaminants
