Rank,Points,Entity,PWS ID,Population,Project Description,Requested Phase(s),Total Project Cost
1,56.83,Moran,TX2090002,270,This project included identifying and replacing lead service lines.,PDC,767050
2,55.4,Lorenzo,TX0540002,1182,Inventory and Replace Lead Service Lines.,PDC,1460000
3,54.04,Morton,TX0400001,1690,Inventory and Replace Lead Service Lines.,PDC,2530000
4,53.37,Rocksprings,TX0690012,1857,"Conduct Lead and copper service line inventory and lead and galvanized service line
replacement.",PDC,724888.48
5,52.14,Marlin,TX0730002,5967,"The City's initial Project is to conduct a complete Inventory of each of the household connections, documenting and classifying the entire service line inventory. Inventory Methodology will include Previous Materials Evaluation/ Construction Records and Plumbing Codes/ Water System Records/ Distribution System Inspections and Records; and will also utilize identifications during normal Operations - Meter Reading, Repair, Replacement; Service Line Repair, Replacement. Investigation Methods will include as may be required - visual at meter pit/ CCTV I water quality
sampling/ mechanical excavation.",P,195000
6,51.91,Buffalo Gap,TX2210003,1422,This project included identifying and replacing lead service lines.,PDC,2257150
7,51.81,Paducah,TX0510001,1186,Inventory and Replace Lead Service Lines.,PDC,1940000
8,51.68,Eden,TX0480001,1899,"Inventory of the materials of construction and replacement of the lead and galvanized
water service lines in the distribution system.",P,230000
9,50.45,Benjamin,TX1380011,258,This project included identifying and replacing lead service lines.,PDC,960311
10,50.36,Roma,TX2140007,19123,"Inventory of the materials of construction and replacement of the lead and galvanized
water service lines in the distribution system.",P,654000
11,50.12,Mertzon,TX1180002,700,"Inventory of the materials of construction and replacement of the lead and galvanized
water service lines in the distribution system.",P,119000
12,50.11,Devine,TX1630006,4318,"Inventory, Identify and replace lead service line connections.",PDC,11675250
13,49.12,Carbon,TX0670015,440,This project included identifying and replacing lead service lines.,PDC,1236550
14,48.69,Alto,TX0370001,1523,"The intent of this project is to identify all lead service lines within the distribution
system and replace/upgrade these service lines.",PDC,855000
15,48.49,Mart,TX1550005,2200,"The project will include a comprehensive and accurate inventory of water service lines, including locating and mapping, to identify whether lead service lines are present or not for both the City of Mart and the customers. From the inventory information, a plan for replacement of lines will be determined and costs for replacement will be developed. The City of Mart plans to apply for funding to accomplish the replacement of lead lines in future TWDB applications. Additionally, as part of this application, the City of Mart will be creating a GIS of the system to manage the data collected through the inventory process as well as update system
information as updating of lines is completed.",P,212000
16,48.03,Brady,TX1540001,5371,"Inventory of the materials of construction and replacement of the lead and galvanized
water service lines in the distribution system.",PDC,5282000
17,47.99,Idalou,TX1520001,2250,Inventory and Replace Lead Service Lines.,PDC,1650000
18,47.85,Lexington,TX1440002,2376,"Conduct field work and prepare Service Line Inventory for TCEQ by October 16, 2024. Replace public water system and private service lines between water main line
and customer's house connection.",PADC,2339500
19,47.47,Glidden FWSD # 1,TX0450021,860,"Conduct a thorough search on Colorado CAD website by customer name and/or street address as a large number of the customers live in or on rental property or in a RV/Trailer Park; research existing ""as built"" plans for the system or CSI documentation; contact customers or property owners to get their knowledge of materials used from the meter to the house tap; and if needed, excavate around the water meters to verify materials used on both side of the meter. Once all this information is obtained, will make plans to proceed with replacing any lead service
lines identified.",PC,343750
20,47.4,Hamilton,TX0970001,2871,"Use the survey data to identify areas of the city that have lead lines that are in need
of replacing. We will also do physical inspections as necessary.",PDC,7360411
21,47.33,Munday,TX1380003,1300,This project included identifying and replacing lead service lines.,PDC,2663975
