"SELFScore",Municipality,"ProjectNumber",Project Description,"EstimatedProject Cost",Region,CME
597,"KENDALL, VILLAGE OF",5398-01,Rehab Well #2 Including Well House and Treatment Upgrades,"$2,235,307.00",WC,Cameron
560,"RIPON, CITY OF",5289-04,"Replace well #5, treatment, storage, filtration & SCADA","$9,500,000.00",NE,Hannes
552,"WOODVILLE, VILLAGE OF",5490-02,"Construct well #3, wellhouse, SCADA; abandon well #1","$1,500,000.00",WC,Cameron
544,"RIPON, CITY OF",5289-06,"Upgrade well #8 filtration, building, pumps, SCADA","$2,500,000.00",NE,Hannes
421,"AUGUSTA, CITY OF",5186-05,Replace Well #7 with new Well #11,"$5,131,050.00",WC,Cameron
370,"OCONOMOWOC, CITY OF1",5452-04,"New Well No. 8, well facility, treatment, backup power","$2,200,000.00",SE,Fuja
366,"BANGOR, VILLAGE OF",5145-06,"Construct Well /House 3, Con.Main, Treatment; Abandon Well 1","$2,650,000.00",WC,Cameron
365,"MAYVILLE, CITY OF",5443-10,Replace Public-Side LSLs,"$470,905.00",SC,Zettl
361,"ARLINGTON, VILLAGE OF",4758-07,Construct New Treatment Facility & Connecting Mains,"$2,500,000.00",SC,Zettl
359,"RHINELANDER, CITY OF",5288-15,Add Treatment at Well #7 for PFAS,"$3,524,319.00",NO,Andruczyk
353,"PRESCOTT, CITY OF",4991-05,Construct New Well at Existing Well #3 Site,"$1,750,000.00",WC,Cameron
353,"PRESCOTT, CITY OF",4991-07,Nitrate Treatment at Well #3,"$1,750,000.00",WC,Cameron
353,"PRESCOTT, CITY OF",4991-06,Construct New Well at New Site,"$1,750,000.00",WC,Cameron
353,"PRESCOTT, CITY OF",4991-08,Reconstruct Well #3,"$1,750,000.00",WC,Cameron
338,"REEDSVILLE, VILLAGE OF",4892-02,Nitrate Treatment at Well #3,"$2,454,000.00",NE,Hannes
334,"LA CROSSE, CITY OF1",5406-06,Replace Well #23,"$6,000,000.00",WC,Cameron
334,"LA CROSSE, CITY OF1",5406-07,Replace Well #24,"$6,000,000.00",WC,Cameron
