"PriorityScore","FinancialNeedPoints3","ProjectPoints4",Municipality,"ProjectNumber",Project Description,Region,County,"ProjectManager",CME,Population,"MHI(<$49,397)","% ofMarketRate","RequestedProject Costs","Estimated LoanAmount","Total PFPoints","EligiblePF %",PF Estimate
108.75,30.75,78,"MILWAUKEE, CITY OF1,2",4851-41,"Replace WMs, Multiple Locations",SE,Milwaukee,Atkinson,Binder,"587,976","41,838",55%,"$5,232,950.00","$3,732,950.00",205,60%,"$    1 ,500,000"
49.75,3.75,46,"MADISON, CITY OF1",4837-06,Water Main Improvements 2023,SC,Dane,Leizinger,Zettl,"259,233","65,332",55%,"$5,826,899.00","$5,826,899.00",25,0%,$              -
50,0,50,"OCONOMOWOC, CITY OF1",5452-04,"New Well No. 8, well facility, treatment, backup power",SE,Waukesha,Brietzman,Binder,"17,808","88,662",55%,"$4,000,000.00","$4,000,000.00",0,0%,$              -
52,9,43,"MENASHA, CITY OF",4845-21,2023 WM Replacements,NE,Winnebago,Atkinson,Hannes,"17,741","54,274",55%,"$745,943.00","$671,348.00",60,10%,"$        7 4,595"
51.5,10.5,41,"BEAVER DAM, CITY OF1",4764-05,"Watermain Replacement, Third St",SC,Dodge,Surillo,Zettl,"17,038","50,742",55%,"$725,729.00","$616,869.00",70,15%,"$108,860.00"
51.5,10.5,41,"BEAVER DAM, CITY OF1",4764-06,"Watermain Replacement, Haskell St",SC,Dodge,Surillo,Zettl,"17,038","50,742",55%,"$598,195.00","$508,465.00",70,15%,"$        8 9,730"
47.5,10.5,37,"BEAVER DAM, CITY OF1",4764-08,"Watermain Replacement, South Spring St",SC,Dodge,Surillo,Zettl,"17,038","50,742",55%,"$1,244,572.00","$1,057,886.00",70,15%,"$186,686.00"
47.5,10.5,37,"BEAVER DAM, CITY OF1",4764-07,"Watermain Replacement, East Davis St",SC,Dodge,Surillo,Zettl,"17,038","50,742",55%,"$871,285.00","$740,592.00",70,15%,"$130,693.00"
102.75,3.75,99,"KAUKAUNA, CITY OF1",5120-09,"Replace WMs on 6th,7th,8th,Whitney,Sullivan,Hendricks,Island",NE,Outagamie,Cassidy,Hannes,"16,634","62,822",55%,"$2,430,747.00","$2,430,747.00",25,0%,$              -
156.5,13.5,143,"TWO RIVERS, CITY OF1",4920-48,"Replace WM & LSLs on Roosevelt,Wilson,17th,26th,35th,Jackson,Lincoln",NE,Manitowoc,Aerts,Hannes,"11,411","47,228",55%,"$2,056,759.00","$1,645,407.00",90,20%,"$411,352.00"
138.5,13.5,125,"TWO RIVERS, CITY OF1",4920-42,Replace Public LSLs (2023),NE,Manitowoc,Aerts,Hannes,"11,411","47,228",55%,"$359,750.00","$287,800.00",90,20%,"$        7 1,950"
71.5,10.5,61,"ALTOONA, CITY OF",5209-05,"Construct well #8, wellhouse, emergency power & connect main",WC,Eau Claire,Leja-Brennan,Cameron,"8,651","55,571",55%,"$1,823,503.00","$1,549,977.00",70,15%,"$273,526.00"
46.5,10.5,36,"ALTOONA, CITY OF",5209-06,"Construct well #9, wellhouse, emergency power & connect main",WC,Eau Claire,Leja-Brennan,Cameron,"8,651","55,571",55%,"$1,822,205.00","$1,548,874.00",70,15%,"$273,331.00"
57.25,29.25,28,"ANTIGO, CITY OF2",4754-10,Replace 0.15MG Tower/SCADA,NO,Langlade,Brietzman,Andruczk,"8,227","39,863",33%,"$2,923,960.00","$1,423,960.00",195,55%,"$    1 ,500,000"
43.5,7.5,36,"JEFFERSON, CITY OF",5463-06,Improve Well #3,SC,Jefferson,Cassidy,Zettl,"7,932","59,407",55%,"$2,719,500.00","$2,719,500.00",50,0%,$              -
69.5,22.5,47,"RHINELANDER, CITY OF",5288-17,"Replace WMs along Oneida, King, Conro, and Anderson",NO,Oneida,Leizinger,Andruczk,"7,832","40,822",33%,"$3,336,969.00","$2,002,181.00",150,40%,"$    1 ,334,788"
185,15,170,"MAYVILLE, CITY OF",5443-10,Replace Public-Side LSLs,SC,Dodge,Surillo,Zettl,"5,112","46,889",33%,"$522,996.00","$392,247.00",100,25%,"$130,749.00"
79,15,64,"MAYVILLE, CITY OF",5443-09,Replace Existing Water Treatment System/SCADA,SC,Dodge,Surillo,Zettl,"5,112","46,889",33%,"$2,856,890.00","$2,142,667.00",100,25%,"$714,223.00"
40,9,31,"DODGEVILLE, CITY OF",4795-09,Rehab/Upgrade Well #6,SC,Iowa,Calhoon,Zettl,"4,714","59,911",55%,"$2,647,000.00","$2,382,300.00",60,10%,"$264,700.00"
32.5,4.5,28,"CROSS PLAINS, VILLAGE OF",5337-06,"Replace WM, Brewery Rd",SC,Dane,Brietzman,Zettl,"4,032","84,861",55%,"$1,017,860.00","$1,017,860.00",30,0%,$              -
95,33,62,"LADYSMITH, CITY OF",5369-18,Construct STH27 WM Loop w/ River Crossing,NO,Rusk,Olson,Andruczk,"3,322","39,888",33%,"$644,576.00","$257,830.00",220,60%,"$386,746.00"
67,33,34,"LADYSMITH, CITY OF",5369-17,Replace WMs along W. 5th St. N.,NO,Rusk,Olson,Andruczk,"3,322","39,888",33%,"$348,086.00","$139,234.00",220,60%,"$208,852.00"
60.25,14.25,46,"MINERAL POINT, CITY OF",5446-07,"Replace WM, High Street",SC,Iowa,Cargill,Zettl,"2,503","52,283",55%,"$3,789,261.00","$2,841,945.00",95,25%,"$947,316.00"
51.5,13.5,38,"FENNIMORE, CITY OF",5619-02,"Replace WMs on Grant, 13th, Madison, 5th, and Cleveland Streets",SC,Grant,Mills,Zettl,"2,503","60,145",55%,"$1,217,264.00","$973,811.00",90,20%,"$243,453.00"
152.25,11.25,141,"WINNECONNE, VILLAGE OF",4939-04,"Treatment at Well 2, Upgrade Pumping Facilities",NE,Winnebago,Balgooyen,Hannes,"2,502","64,606",55%,"$3,238,805.00","$2,752,984.00",75,15%,"$485,821.00"
144.25,11.25,133,"WINNECONNE, VILLAGE OF",4939-03,"Treatment at Well 1, Upgrade Pumping Facilities",NE,Winnebago,Balgooyen,Hannes,"2,502","64,606",55%,"$3,238,805.00","$2,752,984.00",75,15%,"$485,821.00"
64,30,34,"ABBOTSFORD, CITY OF",4748-10,Replace WM along Cedar St.,WC,Clark,Mills,Cameron,"2,502","46,842",33%,"$360,140.00","$144,056.00",200,60%,"$216,084.00"
55,30,25,"ABBOTSFORD, CITY OF",4748-11,Water Tower Rehab,WC,Clark,Mills,Cameron,"2,502","46,842",33%,"$501,655.00","$200,662.00",200,60%,"$300,993.00"
67.5,40.5,27,"PARK FALLS, CITY OF",5249-09,"Replace 4500 ft WM on Case, Sherry, Avery, Paddock & Linden",NO,Price,Leizinger,Andruczk,"2,465","37,827",33%,"$338,442.00","$118,454.00",270,65%,"$219,988.00"
72.5,10.5,62,"DENMARK, VILLAGE OF",5550-05,Connect to CBCWA for water supply,NE,Brown,Bushby,Hannes,"2,322","65,759",55%,"$1,471,727.00","$1,250,967.00",70,15%,"$220,760.00"
51,15,36,"WESTBY, CITY OF",5440-08,Replace WMs on Sunset/Greenbriar/Meadowlark/Blackhawk/Ulland,WC,Vernon,Cassidy,Cameron,"2,231","53,667",55%,"$2,658,135.00","$1,993,601.00",100,25%,"$664,534.00"
73,18,55,"SPENCER, VILLAGE OF2",5436-07,Construct New Well/Treatment/SCADA,WC,Marathon,Cargill,Andruczk,"1,932","54,063",55%,"$5,006,850.00","$3,506,850.00",120,30%,"$    1 ,500,000"
58.5,34.5,24,"CRANDON, CITY OF",5397-04,"Replace WMs Along E Glen St, S Park St & Polk St",NO,Forest,Aerts,Andruczk,"1,806","38,409",33%,"$1,609,213.00","$643,685.00",230,60%,"$965,528.00"
28.5,13.5,15,"MAZOMANIE, VILLAGE OF",4948-02,Replace WM on Hudson St.,SC,Dane,Balgooyen,Zettl,"1,700","65,673",55%,"$748,260.00","$598,608.00",90,20%,"$149,652.00"
