Project #,Applicant Name,Project Name,Project Description Attachment,Project Description,City/Town,County,"Justice 40MapCoverage",Population,"FinancialRank",DW Ratio,Disadvantged Rank,"PriorityRankingPoints","DW BIL-Lead FY","DW BIL-LeadAmount Granted","DW BIL LSL Amountof PF","DW BIL-Lead % ofPF","Applied for ProjectAmount"
FS010122-18,Birmingham Water Works Board,Birmingham Water Works and Sewer Board – Birmingham Lead Service Line Repair,"The Birmingham Water Works Board proposes to replace all the known lead and/or unknown
service lines in the entire distribution system.  Completion of this project would improve water
quality for all affected customers and improve compliance with the Lead and Copper Rule.","Lead Service LineReplacement (Supplemental)",Birmingham,Jefferson,Yes,"202,234",-,N/A,N/A,SUPP,2023,"$9,925,186.00",$0.00,0%,"$9,925,186.00"
FS010325-01,"Brewton, City of",City of Brewton – Lead Service Line Replacement,"The City of Brewton proposes to eliminate approximately 6,000 linear feet of galvanized service
lines downstream of lead goose necks.  This project would improve water quality for affected
customers and improve compliance with the Lead and Copper Rule.","Water SystemImprovements - LeadService Lines Replacement",Brewton,Escambia,No,"5,288",1,1.36,2.36,170,2023,"$3,937,875.00","$1,575,150.00",40%,"$3,937,875.00"
FS010455-01,"Camden, City of",Cit of Camden – Lead Service Line Inventory,"The City of Camden proposes to conduct a lead service line inventory.  The inventory will
identify service lines made of lead and/or any service lines made of galvanized steel downstream
of lead goose necks.  The inventory is required to be submitted by October 16, 2024.","2022 Lead Service LineInventory and Replacement",Camden,Wilcox,Yes,"2,128",1,1.22,3.22,35,2023,"$2,027,323.00","$2,027,323.00",100%,"$2,027,323.00"
FS010177-02,"Centreville Water Works andSewer Board","Centreville Water Works and Sewer Board – 2022 Cast Iron Water Main/Lead Service Line
Replacement","The Centreville Water Works and Sewer Board has proposed eliminating known galvanized
service lines that contain lead goosenecks downstream from the main and replace with new
copper service lines.","Lead Service LineReplacement",Centreville,Bibb,No,"2,789",-,1.44,2.44,45,2023,"$1,295,641.00","$1,295,641.00",100%,"$1,295,641.00"
FS010444-03,"Eutaw, City of",City of Eutaw – Lead Service Line Inventory,"The City of Eutaw proposes to conduct a lead service line inventory.  The inventory will identify
service lines made of lead and/or any service lines made of galvanized steel downstream of lead
goose necks.  The inventory is required to be submitted by October 16, 2024.",Lead Service Line Inventory,Eutaw,Greene,Yes,"1,480",-,0.91,1.91,25,2023,"$101,669.00","$101,669.00",100%,"$101,669.00"
FS010401-01,Florala Utilities Board,Florala Utilities Board – Lead Service Line Replacement,"Florala Utilities Board proposes to replace service lines downstream of galvanized main line and
lead goosenecks.  The project would improve water quality for affected customers and improve
compliance with the Lead and Copper Rule.","Water Main Replacement -Lead Service Line",Florala,Covington,,"1,779",-,1.74,2.74,70,2023,"$1,270,515.00","$653,943.00",51%,"$1,694,020.00"
FS010413-01,"Gadsden Water Works & SewerBoard",Gadsden Water Works and Sewer Board – Lead Service Line Inventory,"The Gadsden Waterworks and Sewer Board proposes to conduct a lead service line inventory.
The inventory will identify service lines made of lead and/or any service lines made of
galvanized steel downstream of lead goose necks.  The inventory is required to be submitted by
October 16, 2024.",Lead Service Line Inventory,Gadsden,Etowah,Yes,"34,317",-,2.22,2.22,45,2023,"$955,000.00","$955,000.00",100%,"$955,000.00"
FS010187-03,"Haleyville Water Works andSewer Board",Haleyville Water Works and Sewer Board – Lead Service Line Replacement,"The Haleyville Water Works and Sewer Board proposes to replace known service lines with lead
goosenecks downstream of galvanized main line with copper service lines.  The project would
improve water quality for all affected customers and improve compliance with the Lead and
Copper Rule.","Lead Service LineReplacement",Haleyville,Winston,Yes,"4,343",-,2.84,3.84,50,2023,"$894,641.00","$894,641.00",100%,"$894,641.00"
FS010427-01,"Hartford, City of",City of Hartford – Lead Service Line Replacement,"The City of Hartford proposes to remove and replace lead service lines downstream of cast iron
and galvanized mains with lead joints and lead “gooseneck” connections throughout the City.
This project would improve water quality for all affected customers and improve compliance
with the Lead and Copper Rule.","Water Improvements - LeadService Line",Hartford,Geneva,No,"2,630",-,0.55,1.55,65,2023,"$3,588,950.00","$1,256,133.00",35%,"$3,588,950.00"
FS010552-01,"Jasper, City of",Jasper Waterworks and Sewer Board – Lead Service Line Inventory,"The Jasper Waterworks and Sewer Board proposes to conduct a lead service line inventory.  The
inventory will identify service lines made of lead and/or any service lines made of galvanized
steel downstream of lead goose necks.  The inventory is required to be submitted by October 16,
2024",Lead Service Line Inventory,Jasper,Walker,,"14,370",1,0.99,0.99,25,2023,"$100,000.00","$100,000.00",100%,"$100,000.00"
