PPL No,Total Points,PWS ID.,Entity,Project Cost,Est. Binding Commitment,Population,Small System (Y/N),MHI,"Dis-
advantaged (Y/N)",Project Description,Commission Approval Date,Estimated or Scheduled Loan Closing Date
4,144,465,"Central Arkansas Water
(CAW)
West Pulaski","$16,300,000",Sep-23,"313,588",NO,"51,165",YES,New Water Distribution System,05/26/2021,Sep-23
4,144,465,"Central Arkansas Water
(CAW)
West Pulaski","$2,200,000",Sep-23,"313,588",NO,"51,165",YES,New Water Distribution System,05/27/2021,Sep-23
4,144,465,"Central Arkansas Water
(CAW)
West Pulaski - Service
Line Program","$1,200,000",Feb-24,"313,588",NO,"51,165",YES,Service Line Project,05/28/2021,Feb-24
63,30,623,"Central Arkansas Water
as the receiver for City
of Perla - Meters","$425,000",Sep-23,204,YES,"35,375",YES,"Replacement of new water
meters and installation of
sampling and flushing stations
for the water system.",03/16/2022,Sep-23
845,3,899,Benton County #4,"$4,530,260",Jun-24,"1,468",YES,"69,925",NO,Water main replacement,06/01/2022,Jun-24
346,3,172,Dumas (Pickens),"$376,995",Nov-23,"6,061",YES,"35,625",YES,"Installation of a waterline form
Dumas connecting to the town
of Pickens.",01/20/2021,Nov-23
270,3,83,Eudora,"$1,630,211",Nov-23,"3,158",YES,"18,438",YES,Water system improvements,05/26/2021,Nov-23
270,3,83,Eudora,"$543,404",Nov-23,"3,158",YES,"18,438",YES,Water system improvements,05/26/2021,Nov-23
812,3,822,Kimzey Regional water,"$2,480,000",Aug-23,"5,066",YES,"32,607",YES,Water Transmission line,12/02/2022,Aug-23
165,11,1076,Lonoke White PWA,"$12,970,441",Aug-23,"101,000",NO,"44,479",YES,Storage Tank,01/18/2023,Aug-23
191,3,184,Monticello,"$2,136,616",Nov-23,"9,467",YES,"33,802",YES,"Replace and relocate water
mains.",08/11/2022,Nov-23
131,19,542,Mountain View Water,"$10,054,475",Jun-24,"2,953",YES,"28,837",YES,Water systems improvements,12/02/2022,Jun-24
113,36,887,North Garland County,"$4,110,000",Dec-23,"3,219",YES,"45,358",YES,"Water treatment plant
expansion",12/02/2022,Dec-23
50,34,,"Horsehead Water Users
Association","$2,507,150",Sep-23,"2,275",YES,"51,561",YES,Water system improvements,09/28/2022,Sep-23
3,174,438,Mena (Irons Fork),"$7,000,000",Jul-23,"5,590",YES,"28,222",YES,"Replace Existing Clearwell &
High Service Pump Station",05/26/2021,Jul-23
883,3,252,"Rock-Moore Public
Water","$4,262,000",Nov-23,"3,442",YES,"42,369",YES,"Install new water tank and water
system improvements",08/11/2022,Nov-23
34,40,185,"South White County
PWA","$14,441,906",Sep-23,"11,270",NO,"43,950",YES,Water system improvements,08/11/2022,Sep-23
832,3,870,SE Bradley,"$505,323",Nov-23,"2,665",YES,"36,310",YES,Water system improvements,08/11/2022,Aug-23
118,21,195,Vilonia Waterworks,"$17,604,875",Jun-24,"9,455",YES,"67,992",NO,Water system improvements,12/02/2022,Jun-24
515,3,384,Brinkley (PF),"$918,460",TBA,"1,540",YES,"32,857",YES,Water plant Rehab,06/22/2023,TBA
515,3,384,Brinkley (L),"$306,153",TBA,"1,540",YES,"32,857",YES,Water plant Rehab,06/22/2023,TBA
505,3,372,Joiner (PF),"$1,115,041",TBA,278,YES,"21,800",YES,Water system improvements,06/22/2023,TBA
505,3,372,Joiner (L),"$371,680",TBA,278,YES,"21,800",YES,Water system improvements,06/22/2023,TBA
16,53,250,Cushman (PF),"$1,706,241",TBA,"1,200",YES,"35,412",YES,Water system improvements,06/22/2023,TBA
16,53,250,Cushman (L),"$568,747",TBA,"1,200",YES,"35,412",YES,Water system improvements,06/22/2023,TBA
408,3,250,Batesville (L),"$110,000,000",TBA,"4,905",YES,"4,905",YES,"Water treatment plant
improvements",06/22/2023,TBA
18,52,951,"Montgomery Co.
Regional PWA (L)","$1,504,970",TBA,"1,176",YES,"38,254",YES,"Water Plant rehab and
expansion",06/22/2023,TBA
220,3,26,Big Flat (PF),"$2,894,205",TBA,212,YES,"50,703",YES,Water System Rehab,06/22/2023,TBA
220,3,26,Big Flat (L),"$964,735",TBA,212,YES,"50,703",YES,Water System Rehab,06/22/2023,TBA
23,47,186,Tillar (L),"$869,310",TBA,183,YES,"34,298",YES,"Water System Replacement and
Expansion",06/22/2023,TBA
24,45,485,CAW Jack Willson III (L),"$11,000,000",TBA,"156,000",NO,"51,687",YES,Resiliency project,06/22/2023,TBA
848,3,886,"SWARWFB Hempstead
Co. (PF)","$1,083,382",TBA,978,YES,"43,233",YES,"Water Improvements and
building repairs",06/22/2023,TBA
848,3,886,"SWARWFB Hempstead
Co. (L)","$361,127",TBA,978,YES,"43,233",YES,"Water Improvements and
building repairs",06/22/2023,TBA
32,40,465,CAW Perla (PF),"$350,000",TBA,"156,000",NO,"51,687",YES,Perla Regionalization project,06/22/2023,TBA
