IUP No.,Project Name,B/C Date # Actual ^ Estimated,Term (in years),Interest Rate,Principal Forgiveness Amt,Disadvantaged eligible (Y/N),Disadvantaged Funds,Green Project Reserve Amt (estimate),GPR Category (estimate)
4,Central Arkansas Water (CAW) West Pulaski,Sep-23,30,2.25%,0,YES,**0,0,N/A
4,Central Arkansas Water (CAW) West Pulaski,Sep-23,30,2.25%,"2,200,000",YES,**0,0,N/A
4,Central Arkansas Water (CAW) West Pulaski - Service Line Program,Feb-24,n/a,n/a,"1,200,000.00",YES,**0,0,N/A
63,Central Arkansas Water as the receiver for City of Perla - Meters,Sep-23,10,1.00%,0,YES,**0,0,N/A
845,Benton County #4,Jun-24,20,1.75%,0,NO,**0,0,0
346,Dumas (Pickens),Nov-23,20,1.75%,0,YES,**0,0,N/A
270,Eudora,Nov-23,20,1.75%,"887,838",YES,"**742,372",0,Water Efficiency
270,Eudora,Nov-23,20,1.75%,0,YES,**0,"543,404",Water Efficiency
812,Kimzey Regional water,Aug-23,20,1.75%,0,YES,**0,"2,480,000",Water Efficiency
165,Lonoke White PWA,Aug-23,20,1.75%,0,YES,**0,0,n/a/
191,Monticello,Nov-23,30,2.25%,0,YES,**0,0,N/A
131,Mountain View Water,Jun-24,20,1.75%,0,YES,**0,0,0
0,North Garland County,Dec-23,20,75.00%,0,YES,**0,0,0
50,Horsehead Water Users Association,Sep-23,20,1.75%,0,YES,**0,"2,507,150",Water Efficiency
3,Mena (Irons Fork),Jul-23,30,2.25%,0,YES,**0,0,N/A
883,Rock-Moore Public Water,Nov-23,20,1.75%,0,YES,**0,0,N/A
34,South White County PWA,Sep-23,20,1.75%,0,YES,**0,"14,441,906",0
505,Joiner,TBA,0,0.00%,0,yes,"**1,115,041",,
667,Judsonia,TBA,0,0.00%,"1,007,225",yes,**0,,
113,Junction City,TBA,0,0.00%,"1,913,833",yes,**0,,
895,Keo,TBA,0,0.00%,"1,185,167",yes,**0,,
221,Lake View,TBA,0,0.00%,"331,536",yes,**0,,
76,Marshall,TBA,0,0.00%,0,yes,"**652,875",,
97,Morning Star,TBA,0,0.00%,0,yes,"**356,325",,
56,Mountainburg,TBA,0,0.00%,0,yes,"**750,000",,
116,Rison,TBA,0,0.00%,0,yes,"**1,351,787",,
136,Sevier County,TBA,0,0.00%,"434,153",yes,**0,,
848,SWARWFB Hempstead Co,TBA,0,0.00%,"361,127",yes,**0,,
665,Tumbling Shoals,TBA,0,0.00%,0,yes,"**637,500",,
39,Winslow,TBA,0,0.00%,"1,536,951",yes,**0,,
144,Bald Knob,TBA,0,0.00%,0,yes,"**152,200",,
220,Big Flat,TBA,0,0.00%,"2,894,205",yes,**0,,
911,DesArc,TBA,0,0.00%,"1,105,650",yes,**0,,
64,Gould,TBA,0,0.00%,0,yes,"**337,500",,
115,Flippin,TBA,0,0.00%,0,yes,"**5,976,777",,
88,Fulton Co,TBA,0,0.00%,"2,815,931",yes,**0,,
80,Glenwood,TBA,0,0.00%,"2,815,931",yes,**0,,
64,Gould,TBA,0,0.00%,0,yes,"**337,500",,
90,Clark County WFB,TBA,0,0.00%,"802,200",yes,**0,,
129,Conway CORP (EC),TBA,0,0.00%,"7,457,100.00",no,**0,,
333,Cherry Valley (EC),TBA,0,0.00%,0,yes,"**2,486,528",,
339,Carthage,TBA,0,0.00%,"994,774",yes,,,
49,Amity,TBA,0,0.00%,0,yes,"**469,354",,
147,Calhoun Co Water ASSC,TBA,0,0.00%,"494,321",yes,**0,,
515,Brinkley,TBA,0,0.00%,"335,742",yes,**0,,
832,SE Bradley,Nov-23,20,1.75%,0,YES,"**505,323","505,323",Energy Efficiency
