Loan Applicant,Project Description,L17#,Estimated Construction Start Date,Requested Loan Amount,Facility No.,Loan Priority Score,Service Population,Reserved Principal Forgiveness Amount,Reserved Loan Amount
Coal City,Replace lead service lines.,6111,3/7/24,"4,000,000",IL0630060,395,"5,294","$2,755,000.00 ",0
Waukegan,Replace lead service lines.,3957,12/1/23,"4,000,000",IL0971900,350,"85,453",0,"$2,027,000 "
Naperville,Replace approximately 350 lead service lines.,4061,10/15/23,"8,021,337",IL0434670,305,"149,294",0,"$2,027,000 "
Aurora,"Year 2 - Replace 24,000 lead service lines.",6016,7/1/23,"4,000,000",IL0894070,295,"196,383",0,"$2,027,000 "
Knoxville,Replace 145 lead service lines.,6000,10/16/23,"1,300,000",IL0950200,290,"2,692","$1,300,000.00 ",0
Schiller Park,Replace lead service lines.,6360,11/1/23,"3,574,555",IL0312850,285,"11,709","$2,755,000.00 ",0
Freeport,Phase 3 - Replace lead service lines.,5921,10/2/23,"4,000,000",IL1770200,280,"23,973","$2,755,000.00 ",0
Springfield,Replace 300 lead service lines.,6235,8/1/23,"2,200,000",IL1671200,275,"152,000",0,"$2,027,000 "
Carlinville,Replace 42 lead service lines.,4403,3/1/24,"349,000",IL1170150,270,"6,112","$349,000.00 ",0
Joliet,Replace lead service lines.,5747,2/29/24,"4,920,000",IL1970450,270,"150,372",0,"$2,027,000 "
Elgin,Replace 860 lead service lines.,5872,3/1/24,"14,500,000",IL0894380,260,"110,196",0,"$2,027,000 "
Chicago,Replace lead service lines.,5857,7/31/23,"4,000,000",IL0316000,255,"2,677,643",0,"$2,027,000 "
Robbins,Phase 2 - Replace lead service lines.,5894,10/17/23,"4,000,000",IL0312700,255,"5,460","$2,755,000.00 ",0
Richton Park,Replace lead service lines.,6126,1/1/24,"2,650,000",IL0312550,240,"13,138","$2,650,000.00 ",0
Berwyn,Replace lead service lines.,6316,12/1/23,"4,000,000",IL0310210,230,"57,250",0,"$2,027,000 "
Galena,Replace lead service lines.,6109,8/1/23,"3,988,500",IL0850200,230,"3,429","$2,755,000.00 ",0
Hazel Crest,Replace lead service lines.,6596,11/1/23,"4,000,000",IL0311170,230,"14,000","$2,755,000.00 ",0
Steger,Replace lead service lines.,4175,10/2/23,"4,000,000",IL0314860,230,"9,111","$2,755,000.00 ",0
Hillsboro,Replace 74 lead and galvanized service lines.,4223,3/1/24,"583,000",IL1350300,225,"4,359","$583,000.00 ",0
Shelbyville,Replace lead and galvanized steel service lines.,5869,8/14/23,"5,500,000",IL1730300,215,"4,420","$2,755,000.00 ",0
Polo,Replace 50 lead service lines.,6298,3/2/24,"2,000,000",IL1410450,210,"2,291","$2,000,000.00 ",0
