Loan Applicant,L17#,Project Description,Facility No.,Estimated Construction Start Date,Requested Loan Amount,Disadvantaged Community Principal Forgiveness,Service Population,Loan Priority Score
Assumption,6542,"Construction of a new WTP building with new filters, softeners, nitrate removal vessels, aerator, brine tank and chemical feed
systems, extend raw watermain and construct finished watermain.",IL0210050,11/29/23,"$3,617,000 ","1,650,000",1368,340
Elizabeth,5787,Well #2 improvements.,IL0850150,6/1/23,"$385,000 ","192,500",761,320
Yates City,6114,Construction of a new well and associated piping.,IL0950700,3/1/24,"$1,100,000 ","550,000",641,300
South Lawrence Water Corporation,4538,"Construction of approximately 3 miles of 3"" and 4"" waterlines with valves, hydrants and other appurtenances. Installation of a booster pump station with 2 master meters to serve as an interconnection between South Lawrence Water Corporation, the City of St. Francisville and the City of Bridgeport. Complete replacement of Booster Pump Station #1 and replacment of pumps in Booster Pump Station #2.",IL1010020,9/14/23,"$1,048,000 ","524,000",5801,265
Oquawka,6230,"Installation of new water meters in dwellings and existing meter pits. Replacement of water service lines, valves and fire hydrants. Installation of new Well #4 and abandon Well #1 Install.",IL0710300,3/1/24,"$1,172,360 ","586,180",1244,255
Oak Lawn,5085,"Construction of 42"" and 36"" transmission main from Wheeler Drive to Booster Station No. 2.",IL0312220,12/14/23,"$38,080,000 ",0,332936,250
St. Anne,6043,Expansion of the existing well house to accommodate the addition of an Iron/Manganese filtration system.,IL0910700,9/21/23,"$1,400,000 ","700,000",1209,245
Grand Tower,5673,"Replacement of 20,000 LF of watermains and fire hydrants.",IL0770400,3/4/24,"$3,202,500 ","1,601,250",605,240
Kirkwood,6139,"Update, refurbish and replace internal and external components of the water vertical pressure filter system.",IL1870050,9/1/23,"$669,832 ","334,916",714,235
Hillcrest,3517,Watermain improvements.,IL1410250,8/11/23,"$2,680,000 ","1,340,000",1400,230
Joliet,6075,"Replacement and installation of new watermain, hydrants, valves, water services, and trench restoration.",IL1970450,2/29/24,"$76,484,000 ",0,150372,225
Blue Mound,5761,"Phase 2 - Replacement of 5,500 LF of watermain and rehab 2 existing water towers.",IL1150100,7/1/23,"$2,189,000 ","1,094,500",1300,220
Lee,3252,Construction of a new well; and construction of a new a water tower to eliminate the current pressure tank and air compressor system.,IL1034600,5/23/23,"$1,607,000 ","803,500",313,220
Mount Vernon,5592,"Replacement of 23,750 LF of watermain.",IL0810300,10/2/23,"$3,235,000 ","1,617,500",14600,205
Carlinville,4334,"Replacement of 6"" watermain with 8"" watermain, replacement of vales and watermain connections.",IL1170150,3/1/24,"$1,085,000 ","542,500",6112,200
Carlinville,4404,"Replacement of 6"" watermain with 8"" watermain, replacement of vales and watermain connections.",IL1170150,8/21/23,"$1,504,000 ","752,000",6112,200
Industry,6177,"Phase 1 - Replacement of the 50,000 gal. multi-legged steel elevated storage tank with a new 50,000 gal. pedestal tank.
Abandonment of Well #2 and demolition of existing water treatment plant clearwell and high service pump building.
Construction of a new water facilities building, approximately 1,800 square feet.",IL1090300,8/30/23,"$1,900,000 ","950,000",399,200
Newman,6164,"Coating the elevated storage tank and detention tank, replacement of media in the iron filters and rebuilding the red-water filter at
the water treatment plant.",IL0410250,6/1/23,"$655,000 ","327,500",836,200
Chicago,3772,"The proposed project involves the replacement of various electrical systems within the Lakeview Punp Station. Specific activities
include the replacement of the two motor control centers, two duplex pumps, and improvements to the HVAC system.",,11/1/23,"$3,000,000 ", ,2746000,195
Enfield,6135,Replacement of 450 water meters and a new radio read system.,IL1930200,3/20/24,"$415,000 ","207,500",548,195
Downs,6036,"Phase 2 - Construction of an 150,000 gal. pedesphere water storage tank.",IL1130500,3/1/24,"$2,100,000 ","1,050,000",949,190
Hoopeston,6171,"Replacement of existing high service pumps and generator. NEC Code compliance improvements. Installation of new watermain,
chlorination system, back-up power system, security cameras and perimeter fence. Aeration treatment unit, ground storage and
pressure filter improvements.",IL1830450,1/1/24,"$2,762,000 ","1,381,000",4915,190
Mount City,4312,Water System Improvements - Interconnection with Southwater,IL1530100,9/18/23,"$1,107,430 ","553,715",490,190
Sparta,5881,"Replacement of approximately 7.5 miles of 16"" raw water main, and installation of a new watermain and master meter vault for a
connection to the Village of Coulterville.",IL1570600,12/1/23,"$4,200,000 ","1,650,000",4326,190
Valley View Water Works Association,6091,Connection of watermain between existing CTPWD water distribution system and existing Valley View Subdivision water distribution system.,IL2030010,7/1/23,"$492,600 ","246,300",112,190
Mount Vernon,5591,"Replacement of the 150,000 gal. elevated water tank with a new 500,000 gal. elevated water tank.",IL0810300,10/2/23,"$2,500,000 ","32,500",14600,185
Quincy,5752,Rehabilitation and flood proof water treatment plant raw water and high service pump station.,IL0010650,7/17/23,"$8,500,000 ",0,42000,185
Bensenville,6531,Replacement of underground pressure adjusting station with an above grade pressure adjusting station.,IL0434140,8/1/23,"$7,535,000 ","1,650,000",18273,180
Galatia,6072,"Phase 3 - Replacement of approximately 9,600' of watermain with 6"" watermain, valves, and hydrants.",IL1650150,3/1/24,"$1,300,000 ","650,000",1000,180
