Loan Applicant,L17#,Project Description,Facility No.,"Estimated
Construction Start Date",Project Loan Amount
Atlanta,TBD,WTP Improvements.,IL1070050,2024-04-15 0:00:00,$        -
Barry,3458,"Connecting 8"" watermain and installation of master meter and two booster pumps.",IL1490050,2024-04-01 0:00:00,850000
Bloomington,3500,Watermain replacement; installation of 1 MG elevated storage tank.,IL1130200,2024-01-01 0:00:00,10452000
Bloomington,TBD,"Phase 9 - Installing watermains, storm and sanitary sewer.",IL1130200,2026-05-01 0:00:00,1900000
Bloomington,TBD,"Phase 8 - Installing watermains, storm and sanitary sewer.",IL1130200,2025-05-01 0:00:00,3600000
Breese,4189,"New 300,000 gal. elevated storage tank.",IL0270250,2023-11-01 0:00:00,2150000
Brownsville,6538,Rehab elevated storage tank.,IL1930020,2024-02-01 0:00:00,513500
Buysse Water Association,TBD,Replace water tower.,IL0735000,2024-03-01 0:00:00,1400000
Carmi,6543,Rehab elevated storage tank.,IL1930100,2024-02-01 0:00:00,826300
Cary,TBD,New deep well and WTP.,IL1110100,2025-01-15 0:00:00,7479000
Central Lake County Joint Action Water Agency,5186,54-inch raw water intake into Lake Michigan.,IL0971070,2026-06-30 0:00:00,21000000
Central Lake County Joint Action Water Agency,TBD,Connect CLCJAWA to Village of Lake Zurich.,IL0971070,2026-03-01 0:00:00,90000000
Cerro Gordo,4822,"Recoat elvated tank, replace treatment plant controls, electrical, softeners, telemetry, valves and piping and replace watermains.",IL1470100,2024-05-01 0:00:00,2987000
Channahon,6271,Well house and transmission main for Well #7.,IL1970200,2024-11-29 0:00:00,5000000
Crest Hill,6383,"Installation of watermain, a 3.75 gallon standpipe and pump station.",IL1970250,2024-01-01 0:00:00,37821000
Curran Gardner Townships Public Water District,6294,"Install a 12"" raw watermain. Install a backup generator, automatic transfer switch and access road to the well field.",IL1675350,2024-05-01 0:00:00,1679000
Delavan,6545,Replace 770 water meters and install a new well.,IL1790150,2024-03-01 0:00:00,1325000
Edinburg,3922,"Replace 11,000 LF of 6' raw and 1700 LF of 4' potable water mains, valves, fittings, hydrants and appurtenances.",,2023-07-25 0:00:00,1009000
Elmhurst,TBD,Rehab North Reservoir and Booster Station.,IL0430350,2024-10-15 0:00:00,18000000
Eureka,TBD,"Watermain replacement and looping. Construct a 100,000 gal. ground storage tank.",IL2030200,2024-05-20 0:00:00,3500000
Evanston,5393,Watermain replacement and lining.,IL0310810,2024-05-16 0:00:00,860000
Evanston,6577,Electrical system rehab.,IL0310810,2024-04-01 0:00:00,11953000
"Ewing-Ina Water
Commission",6380,"Install control valves and plug valves, and a new SCADA system.",IL0555350,2024-01-01 0:00:00,500000
Fairbury,TBD,Treatment system improvements.,IL1050350,2025-01-15 0:00:00,6546500
Fayette Water Company,6552,"Construct a 100,000 gal. detention tank, 500,000 gal. ground storage tank, and loop watermain.",IL0510010,2024-07-01 0:00:00,3361000
Flat Rock,6529,"Replacement of wateramins, vales and hydrants.",IL0330050,2024-02-29 0:00:00,276437
Flossmoor,TBD,Demolish the Sterling Avenue tank.,IL0310870,2026-04-06 0:00:00,250000
Flossmoor,TBD,Vollmer Road pump station and reservoir rehabilitation.,IL0310870,2026-08-10 0:00:00,1800000
Flossmoor,TBD,The Sterling Avenue pump station rehabilitation.,IL0310870,2025-10-01 0:00:00,400000
Forrest,6389,"Replacement of watermain, valves and hydrants.",IL1050450,2024-03-31 0:00:00,1765000
Gilman,1880,Construct a new water treatment plant.,IL0750450,2024-03-01 0:00:00,2450000
Glen Carbon,6220,Construct 3 new groundwater wells and a 3.0 MGD water treatment plant.,IL1190300,2025-01-09 0:00:00,19900000
Glenwood,TBD,"Replacement of watermains, valves and hydrants.",IL0311050,2023-06-05 0:00:00,6300000
Gorham,TBD,"New radio read metering system, pumps, valves and control panel, and 2 new 2"" master meters.",IL0770350,2024-03-01 0:00:00,429000
Grayville,TBD,Construction of a ground water treatment plant and a ground storage tank.,IL1934000,2025-08-01 0:00:00,17198301
Hanna City,TBD,"Construct a 200,000-gallon elevated storage tank, valve control building; install generator and watermain.",IL1430400,2025-03-07 0:00:00,$        -
Kingston,TBD,Well 5 and 6 Iron Removal System.,IL0370250,2024-10-07 0:00:00,1884830
