Loan Applicant,Project Description,L17#,"Estimated
Construction Start Date",Estimated Loan Amount,Facility No.
Aurora,"Year 3 - Replace 24,000 lead service lines.",6017,2024-07-01 0:00:00,4000000,IL0894070
Aurora,"Year 4 - Replace 24,000 lead service lines.",6018,2025-07-01 0:00:00,4000000,IL0894070
Aurora,"Year 5 - Replace 24,000 lead service lines.",6019,2026-07-01 0:00:00,4000000,IL0894070
Brookfield,Project B - Replace 248 lead service lines.,6368,2024-10-01 0:00:00,3593650,IL0310330
Brookfield,"Project C - Replace 1,200 lead service lines.",6369,2024-10-01 0:00:00,16905000,IL0310330
Canton,Replace approximately 375 lead service lines.,6094,2024-08-15 0:00:00,4000000,IL0570250
Evanston,Phase 1 - Replace lead service lines.,5993,2024-05-01 0:00:00,3803084,IL0310810
Evanston,Phase 2 - Replace lead service lines.,6321,2025-05-01 0:00:00,5035636,IL0310810
Evanston,Phase 3 - Replace lead service lines.,6322,2026-05-01 0:00:00,5035636,IL0310810
Evanston,Phase 4 - Replace lead service lines.,6323,2027-05-01 0:00:00,5035636,IL0310810
Evanston,Phase 5 - Replace lead service lines.,6324,2028-05-01 0:00:00,5035636,IL0310810
Freeport,Phase 4 - Replace lead service lines.,5922,2024-10-02 0:00:00,4000000,IL1770200
Kincaid,Replace lead service lines.,6060,2024-05-31 0:00:00,3500000,IL0210250
Marshall,"Phase 2 - Replace lead service lines along 5th, 6th, 7th, and 8th streets.",6582,2025-06-01 0:00:00,900000,IL0230100
Midlothian,Replace lead service lines.,4236,2024-11-17 0:00:00,4000000,IL0311920
Monmouth,Replace 135 lead and galvanized service lines.,6325,2024-05-31 0:00:00,1031000,IL1870150
Peoria Heights,Replace 102 lead and galvanized service lines.,6332,2024-05-31 0:00:00,789000,IL1434750
Peoria Heights,Replace 102 lead service lines and galvanized service lines.,6333,2025-05-31 0:00:00,798000,IL1434750
Peoria Heights,Replace 102 lead service lines and galvanized service lines.,6334,2026-05-31 0:00:00,822000,IL1434750
Peoria Heights,Replace 102 lead service lines and galvanized service lines.,6335,2027-05-31 0:00:00,847000,IL1434750
Peoria Heights,Replace 102 lead service lines and galvanized service lines.,6336,2028-05-31 0:00:00,873000,IL1434750
Rockford,Phase 6 - Replace lead service lines.,6066,2024-04-01 0:00:00,4000000,IL2010300
Schiller Park,Replace lead service lines.,6361,2025-11-01 0:00:00,2000000,IL0312850
South Holland,Phase 2 - Replace lead service lines.,6219,2024-10-17 0:00:00,2500000,IL0312970
