"System Name","PWSID","Est. Loan Amount","Points","Rank","Population","Project Description","Est. Date to Close Loan"
"Atlanta Water System, Inc","1127001","1918000","59","1","900","Construction of a production well, booster station, aeration system, standpipe rehab, emergency power system, meter replacement and distribution improvements and related items to allow Atlanta Water to consolidate the Wheeling System","October-24"
"City of Opelousas","1097010","14679975","57","2","20397","The proposed facilities include the following:a. Rehabilitation of existing water wells b. Rehabilitation of existing storage facilities c. Replacement of existing City owned galvanized steel water mains and service lines d. Replacement of defective fire hydrants e. Replacement of existing valves or installation of new isolation valves on existing mains throughout the water system f. Setting up an Asset Management Plan including GIS mapping of existing facilities g. Construct hydraulic model of water system (including report) h. Assist the City with implementation of a Backflow Prevention Program i. Assist the City with training and organizational management as it relates to the operations of the water system j. Other capital improvements as determined from hydraulic modeling or as outlined in the System Improvement Plan","September-24"
"River Road Water Works, Inc.","1083008","2380000","51","3","3510","The WS proposes new treatment specifically for iron removal and DBP remediation.The proposed project will include the following renovations; River Road Station shall include a new GST, booster station, iron removal system, disinfection system, electrical and control upgrades. Goose Hollow Station a new GST, booster station, disinfection, electrical and control upgrades, and the South EST is to be fully rehabbed.","September-24"
"City of Morgan City","1101005","7000000","51","4","11472","BIL GS Funding Install new filters and high service pumps, and new clear-well to improve the water production capacity and reliability of the existing water treatment plant. The improved system is part of Phase 2 of the improvements. Phase 1 included the clarifiers.","October-24"
"Tri Water System","1111020","250000","50","5","1245","Proposed change from Chlorine water Disinfection to chloromines water disinfection in all four well location within the system.","December-24"
"Grand Coteau Water System","1097001","6800000","50","6","6800","The proposed improvements include the construction of a new water treatment plant consisting of: a new buillding, filters, service pumps, a ground storage tank, a separate chlorine building, an emergency generator, and piping all on property currently owned by the Town of Grand Coteau. BIL EC Funding","October-24"
"City of Opelousas","1097010","10500000","50","7","20397","*The purpose of the proposed project is to upgrade the existing 3 MGD WTP to treat high levels of iron and manganese. The system's raw water wells contain high levels of iron and manganese. Iron and manganese levels exceed the secondary maximum containment levels as established by the EPA. Accordingly, this project is proposed under the Emerging Containments program of DWRLF*","October-24"
"Town of Many","1085016","5400000","48","8","4575","The majority of the Town of Many water supply comes from its surface water treatment plant which takes raw water from the Hurricane Creek outfall into Toledo Bend. Because of its location in the creek outfall, the turbidity of the water spikes after rain events, and manganese levels as high as 1.7 mg/L have been recorded. The intake does not have thecapability of varying the elevation that water is taken from, so droughts and low lake level are also problematic. To improve the quality of source water, construction of a new intake is proposed where Bayou La Nana connects to the lake, preferably close to the river channel so as to provide the most flexibility for depth of water. A new raw water pumping station will be built, and water will be pumped through a new raw water transmission main from the intake/pumping station to the current treatment plant. The new transmission piping will also allow for the existing asbestos cement transmission main to be abandoned.te surface water intake.","September-24"
"Calcasieu Parish WW District No. 5","1019084","10000000","47","9","4680","BIL GS Funding Construction of a new 0.65MG ground storage tank, installation of automated meter reading technology, rehabilitation of two (2) elevated storage tanks, and necessary waterline connection from improved transmission/distribution in the water system.","July-24"
"Creston Water System, Inc.","1069003","1310000","43","10","660","*The purpose of the proposed project is to construct improvements to the Creston Water System, Inc. to resolve ongoing deficiencies. The project includes select distribution system replacement, ground storage tank, booster station, electrical & control upgrades, iron/manganese treatment system, generators, site work, site piping and related work. The system's raw water wells contain high levels of iron and manganese. Iron and manganese levels exceed the secondary maximum containment levels as established by the EPA. Accordingly, this project is proposed under the BIL Emerging Containments program of DWRLF*","November-24"
"Backwood Village Water System, Inc.","1127022","2060000","43","11","750","Construction of a GAC treatment unit, GST, booster station, chloramination system, site piping and associated items. BIL GS funding","November-24"
"Hebert Water System, Inc.","1021006","3985715","38","12","2585","New main pump station with Ground Storage Tank, new ground storage tank with pump station at well site, painting elevated tank, new elevated storage tank, and distribution main upgrades to supply the elevated storage tank. BIL GS funding","December-24"
"Bastrop Water System, Inc.","1067003","4150000","37","13","18105","The proposed project includes construction of 2 production well, chlorination systems, emergency power, transmission mains, aeration systems, site work, site piping and related work. BIL Emerging Containments","December-24"
"Bastrop Water System, Inc.","1067003","8700000","37","14","18105","The proposed project includes construction of a new booster station, ground storage tank, treatment systems, site piping, site work, and related items at the Donaldson Facility / replace existing metering system with electronic read meters. BIL Base Supplemental","November-24"
"Tannehill Water System, Inc. (Loan 2)","1073060","1600000","36","15","4800","The proposed project is to construct two new GAC treatment plants one at the Tannehill site and the other at the Hanna's Mill site and associated items. The project also provides for a new booster station enclosures and electrical at both stations. A new ground storage tank is also proposed at the Tannehill Station.","December-24"
"L and R Utilities: Country Estates Water System (North)","1073011","2000000","35","16","1073","The proposed project consist of constructing a new ground storage tank, booster station, chlorination equipment and enclosure, granular activated carbon (GAC) treatment plant, and a new production water well and associated items at the North site. Ouachita Parish is co-funding project with $500,000. AO: C-17-073-016-ETT","October-24"
"Jefferson Parish (Loan 2)","1051001","30000000","33","17","432552","Rehabilitate the raw water intake pump station. Construct a new 40MGD treatment facility including; flow split/flash mixing, floccluation/sedimentation, filtration, chemical storage/feed facilities, clearwell and high service pump, solid handiling. Construct a new 10,000 sqft chemistry laboratory, and rehabilitate plant 3 to a facility capable of treating 62MGD.","June-26"
"Southwest Ouachita Waterworks, Inc","1073047","6120000","32","18","10092","System wide meter replacements and distribution system renovations","August-24"
"City of Scott (Loan 2)","1055026","6400000","30","19","3131","This project will consist of upgrading and improving the City of Scott Water System. This will be accomplished by purchasing property, constructing a water well (to produce approx 40% of the water it now puchases from LUS nad provide for source redundancy), constructing a water treatment facility to treat water produced from the new water well, constructing an onsite ground storage tank (to provide up to 2 days of potable water storage) with transmission pumps, installing water mains to tie into the existing City water system, installing larger water mains in existing areas of the City water system to eliminate low pressure areas, installing SCADA programming and controls for the system, and installing associated appurtenances.","December-24"
"City of Natchitoches (Loan 4)","1069007","2110000","28","20","17831","Phase I of the project shall provide the complete replacement of several sections of the water distribution system within the City of Natchitoches that have recorded many leaks and complaints of pressure loss. The project shall include mains, meters, valves, hydrants, erosion control and related work.","December-24"
"Village of Provencal","1069009","600000","26","21","825","Proposed facilities will include new water well, emergency backup connection to Belwood Water System, new emergency backup generator, chlorine facilities, water transmission main and related work","November-24"
"City of Grambling Water System","1061006","2200000","26","22","5000","Proposed project involves renovation of the City's distribution system. The project shall install various distribution piping, valving, and metering improvements to eliminate excessive water losses. Currently the City has an excess water loss of 25%. BIL GS funding","June-24"
"L & R Utilities(Lincoln Subdivsion)","1073090","431500","25","23","965","All four systems consolidating together will then purchase water from Better Waterworks PWS ID NO. LA1073003 (Pop Served 2160 Service Connections 720). Four WS to consolidate to Lincoln PWS ID NO. 1073090; Lincoln PWS ID NO: LA1073090 (Private for Profit, Community GW System); Population Served 490 via 163 Service Connections (SDWIS States 150 via 50 SCs); Hidden WS PWS ID No. LA1073061 (Private Not for Profit, Community GW System) Population Served 390 via 130 SCs; Wildwood WS PWS ID No. LA1073110 (Private Not for Profit, Community GW System) Population Served 72 via 24 SCs; Pecan WS PWS ID No. LA1073063 (Private Not for Profit, Community GW System) Population Served 50 via 17 SCs; Ouachita, OPH Region 8, District 4","October-24"
"Walnut Bayou Water Association, Inc Loan 2","1065004","1000000","25","24","3100","Proposed project involves the construction of new water main from the WS existing elevated tank to the WS Office Booster Station site. USDA will pay the remaining amount from existing USDA loan. This contract is a part of the original interim finance project in Loan 1.","December-24"
"West Monroe","1073056","6069000","25","25","13065","The project will allow increase in source water, disinfection, storage of treated water, modernize controls, and generators. November-24","November-24"
"Hebert Water System","1021006","2600000","24","26","2875","This project consists of the construction of an Office/Shop Building, Pumping Plant Rehabilitation, 150K Gal EST, Paint Existing EST, Waterline Replacement (10,000' of 10"" dia, 13,515' of 8"" dia, 6,990' of 6"" dia., and 12,000' of 4"" dia.) and other related system improvements.","June-24"
"Southwest Ouachita Waterworks, Inc.","1073047","2000000","24","27","8500","Purchase and installation of 3300 automatic read meters","July-24"
"New Orleans SWB","1071001","4600000","24","28","50591","Meter replacement, approximately 15,500 meters","September-24"
"Town of Zwolle","1085032","680000","22","29","1924","The general scope of the project includes the installation of a filtration system and other treatment system improvements, along with associated piping to deliver water to the filtration system, electric power and controls and miscellaneous other items to complete the project. AO: C-16-085-035-ETT for DBP, (TTHM and HAA5s).","November-24"
"City of Lake Charles-Southwest WTP","1019029","1300000","21","30","85000","Southwest WTP - Chemical Feed upgrade/replacement Proposed project will include upgrade and replacement existing chemical feed The chemical feed system is essential to address iron and manganese treatment. The project is submitting for Emerging Contaminant funding from BIL to address manganese treatment.","August-24"
"City of Lake Charles-George West WTP","1019029","1300000","21","31","85000","George West WTP - Chemical Feed upgrade/replacement Proposed project will include upgrade and replacement existing chemical feed The chemical feed system is essential to address iron and manganese treatment. The project is submitting for Emerging Contaminant funding from BIL to address manganese treatment.","August-24"
"Frost Town Water System","1073014","1470000","20","32","1386","The proposed project consist of constructing a new well, ground storage tank, booster station, electrical controls, generator, site piping and miscellaneuos items associated with the project.","October-24"
"St. Bernard Parish","1087001","5000000","20","33","46694","Replacement of existing aged and deteriorated cast iron water line segments in the St. Bernard Parish water distribution system","August-24"
"Lafayette Parish WWD North (2nd Loan)","1055171","10527000","18","34","30588","The LPWDN has complied an extensive list of future projects. It is believed it will take at least 10 years to complete all the projects. The projects include: installation of electronic meters, new transmission line from Gloria Switch Rd to Jolie Rd, a new waterline along East I-49 Service Rd, one along Hwy 1252, and another on landry Rd from Tabb Rd to North Fieldspan Rd.","December-24"
"Monterey Rural Water System, Inc.","1029007","6700000","17","35","5600","Consist of 3 new water wells, approximately 13,600 L.F. of water transmission main and a new 100,000 gallon GST. BIL BS funding","November-24"
"Desoto Parish Water Works Distict 1","1031030","500000","16","36","7455","Upgrade existing membranes modules with a more improved module to aid in removal of manganes and total organics. BIL EC Funding","November-24"
"Savoy Swords Water System, Inc. (Loan 3)","1097024","913000","16","37","8306","Proposed project involves the construction of a new second water well at the Richard Well Field, two standby generators at booster station sites, and upgrade computer and PLC controllers for SCADA systems.","September-24"
"Prarie Ronde Water System, Inc.","1097014","710000","14","38","6700","Addition of reinforcing water lines and repair and paint Whiteville Elevated Storage","November-24"
"St. Martin Parish Waterworks District No. 3- Cade","1099028","4550000","13","39","3249","WWDN3 proposes to place additonal water lines, water wells, storage unit, and service pump in the system. Automatic read meters are also being proposed to replace the existing outdated meters","December-24"
