"System Name","PWSID","Est. Loan Amount","Points","Rank","Population","Project Description","Est. Date to Close Loan"
"Backwood Village Water System, Inc.","1127022","2060000","43","","750","Construction of a GAC treatment unit, GST, booster station, chloramination system, site piping and associated items. BIL BS FUNDING","November-24"
"West Monroe","1073056","6069000","25","","13065","The project will allow increase in source water, disinfection, storage of treated water, modernize controls, and generators. BIL BS FUNDING","November-24"
"Savoy Swords Water System, Inc. (Loan 3)","1097024","913000","16","","8306","Proposed project involves the construction of a new second water well at the Richard Well Field, two standby generators at booster station sites, and upgrade computer and PLC controllers for SCADA systems. BIL BS FUNDING","September-24"
"St. Martin Parish Waterworks District No. 3- Cade","1099028","4550000","13","","3249","WWDN3 proposes to place additonal water lines, water wells, storage unit, and service pump in the system. Automatic read meters are also being proposed to replace the existing outdated meters. BIL BS FUNDING","December-24"
"Mire Branch Water Corporation, Inc.","1001024","6130000","12","","9063","Replace Well #1 with a new 750 gpm well; piping modifications so new well and well #3 can supply both Plants #1 and #2; new filter and softener, new 500K grd storage tank and replace existing high service pumps and generator. BIL BS FUNDING","October-24"
"Town of Basile","1039001","750000","9","","2400","Recoat failing coatings onexisting 250,000 gallon elevated storage tank. Bring the Town's facilities into compliance with Section 225(S) of the LA Water Standards, which requires that proper protectionshall be given to metal surfaces by paints or other protective coatings. BIL BS FUNDING","October-24"
"Savoy Swords Water System, Inc. (Loan 3)","1097024","468000","16","","8306","Proposed project involves the construction of a new second water well at the Richard Well Field, two standby generators at booster station sites, and upgrade computer and PLC controllers for SCADA systems. BIL BS FUNDING","December-22"
"Bastrop Water System, Inc.","1067003","4150000","37","","18105","The proposed project includes construction of 2 production well, chlorination systems, emergency power, transmission mains, aeration systems, site work, site piping and related work. . Due to the high concentrations of manganese and a complete lack of treatment at the Ogden Facility, use of the wells has ceased. All production occurs at the Donaldson Facility. BIL EC FUNDING","November-24"
"City of Lake Charles-Southwest WTP","1019029","1300000","21","","85000","Southwest WTP - Chemical Feed upgrade/replacement Proposed project will include upgrade and replacement existing chemical feed The chemical feed system is essential to address iron and manganese treatment. The project is submitting for Emerging Contaminant funding from BIL to address manganese treatment. BIL EC FUNDING","August-24"
"City of Lake Charles-George West WTP","1019029","1300000","21","","85000","George West WTP - Chemical Feed upgrade/replacement Proposed project will include upgrade and replacement existing chemical feed The chemical feed system is essential to address iron and manganese treatment. The project is submitting for Emerging Contaminant funding from BIL to address manganese treatment. BIL EC FUNDING","August-24"
"St. Bernard Parish","1087001","5000000","20","","46694","Replacement of existing aged and deteriorated cast iron water line segments in the St. Bernard Parish water distribution system to minimize the ability of Naegleria Fowleri developing within the water system. BIL EC FUNDING","August-24"
"Buckeye Water District No. 50, Inc Loan 3","1079004","3630000","11","","11955","The lower pressure plane consist of two (2) wells (Wells 1 and 5) that produce manganese .The proposed project includes a new production well in higher plane, adding a new entry point to the system and installing 6"" wter main to complete the loop of the two sides.","July-24"
"City of Bossier City","1015004","550000","10","","75585","Pilot study on nanofiltration membrane system in series with a Greensand filtration system to determine if water quality improves by removel of manganese and total organics. BIL EC FUNDING","August-24"
"Northwest Allen Parish Water District","1003003","2125000","9","","1692","Install 2 greens sand type filters, filter housing buildings, backwash lagoons at the water district's 2 well sites for manganese removal. BIL EC FUNDING","August-24"
"Town of Walker","1063017","2301125","5","","13530","The proposed project is for manganese filtration system to be installed at Well #4 that has elevated manganese levels. The project is submitted for BIL Emerging Contaminants funds to address manganese treatment. BIL EC FUNDING","August-24"
"French Settlement Water Company, Inc.","1063028","2750000","4","","2676","Installation of greensand filter banks at the Firestation and Simoneaux well sites to remove manganese. The project is submitted for BIL Emerging Contaminants funds to address manganese treatment. BIL EC FUNDING","December-24"
